timestamp,station_id,temp,humid,condition
2026-02-14 16:55:49.705364,Berlin-b046,0,46,Normal
2026-02-14 16:55:50.705364,Berlin-b046,50,80,Normal
2026-02-14 16:55:51.705364,Berlin-b046,27,43,Normal
2026-02-14 16:55:52.705364,Berlin-b046,1,5,Normal
2026-02-14 16:55:53.705364,Berlin-b046,-20,94,Normal
2026-02-14 16:55:54.705364,Berlin-b046,-7,27,Normal
2026-02-14 16:55:55.705364,Berlin-b046,-29,90,Normal
2026-02-14 16:55:56.705364,Berlin-b046,-2,33,Normal
2026-02-14 16:55:57.705364,Berlin-b046,34,67,Normal
2026-02-14 16:55:58.705364,Berlin-b046,11,43,Normal
2026-02-14 16:55:59.705364,Berlin-b046,3,74,Normal
2026-02-14 16:56:00.705364,Berlin-b046,-5,14,Normal
2026-02-14 16:56:01.705364,Berlin-b046,0,24,Normal
2026-02-14 16:56:02.705364,Berlin-b046,21,57,Normal
2026-02-14 16:56:03.705364,Berlin-b046,-12,88,Normal
2026-02-14 16:56:04.705364,Berlin-b046,-11,36,Normal
2026-02-14 16:56:05.705364,Berlin-b046,31,6,Normal
2026-02-14 16:56:06.705364,Berlin-b046,-15,93,Normal
2026-02-14 16:56:07.705364,Berlin-b046,-22,29,Normal
2026-02-14 16:56:08.705364,Berlin-b046,7,99,Normal
2026-02-14 16:56:09.705364,Berlin-b046,31,59,Normal
2026-02-14 16:56:10.705364,Berlin-b046,20,84,Normal
2026-02-14 16:56:11.705364,Berlin-b046,18,99,Normal
2026-02-14 16:56:12.705364,Berlin-b046,15,4,Normal
2026-02-14 16:56:13.705364,Berlin-b046,48,92,Normal
2026-02-14 16:56:14.705364,Berlin-b046,9,74,Normal
2026-02-14 16:56:15.705364,Berlin-b046,41,84,Normal
2026-02-14 16:56:16.705364,Berlin-b046,-9,23,Normal
2026-02-14 16:56:17.705364,Berlin-b046,47,32,Normal
2026-02-14 16:56:18.705364,Berlin-b046,21,4,Normal
2026-02-14 16:56:19.705364,Berlin-b046,-7,29,Normal
2026-02-14 16:56:20.705364,Berlin-b046,8,76,Normal
2026-02-14 16:56:21.705364,Berlin-b046,42,76,Normal
2026-02-14 16:56:22.705364,Berlin-b046,2,18,Normal
2026-02-14 16:56:23.705364,Berlin-b046,-22,36,Normal
2026-02-14 16:56:24.705364,Berlin-b046,-30,51,Normal
