timestamp,station_id,temp,humid,condition
2026-02-16 22:00:13.929168,Berlin-d088,37,86,Normal
2026-02-16 22:00:14.929168,Berlin-d088,4,4,Normal
2026-02-16 22:00:15.929168,Berlin-d088,-4,71,Normal
2026-02-16 22:00:16.929168,Berlin-d088,15,79,Normal
2026-02-16 22:00:17.929168,Berlin-d088,3,37,Normal
2026-02-16 22:00:18.929168,Berlin-d088,26,94,Normal
2026-02-16 22:00:19.929168,Berlin-d088,30,89,Normal
2026-02-16 22:00:20.929168,Berlin-d088,3,6,Normal
2026-02-16 22:00:21.929168,Berlin-d088,-10,63,Normal
2026-02-16 22:00:22.929168,Berlin-d088,1,32,Normal
2026-02-16 22:00:23.929168,Berlin-d088,-27,100,Normal
2026-02-16 22:00:24.929168,Berlin-d088,-25,61,Normal
2026-02-16 22:00:25.929168,Berlin-d088,-10,95,Normal
2026-02-16 22:00:26.929168,Berlin-d088,16,80,Normal
2026-02-16 22:00:27.929168,Berlin-d088,-5,78,Normal
2026-02-16 22:00:28.929168,Berlin-d088,-11,83,Normal
2026-02-16 22:00:29.929168,Berlin-d088,-18,97,Normal
2026-02-16 22:00:30.929168,Berlin-d088,25,87,Normal
2026-02-16 22:00:31.929168,Berlin-d088,-22,27,Normal
2026-02-16 22:00:32.929168,Berlin-d088,32,56,Normal
2026-02-16 22:00:33.929168,Berlin-d088,-15,61,Normal
2026-02-16 22:00:34.929168,Berlin-d088,-16,47,Normal
2026-02-16 22:00:35.929168,Berlin-d088,4,70,Normal
2026-02-16 22:00:36.929168,Berlin-d088,50,62,Normal
2026-02-16 22:00:37.929168,Berlin-d088,26,24,Normal
2026-02-16 22:00:38.929168,Berlin-d088,-27,44,Normal
2026-02-16 22:00:39.929168,Berlin-d088,-26,21,Normal
2026-02-16 22:00:40.929168,Berlin-d088,-28,11,Normal
2026-02-16 22:00:41.929168,Berlin-d088,-23,95,Normal
2026-02-16 22:00:42.929168,Berlin-d088,-2,71,Normal
2026-02-16 22:00:43.929168,Berlin-d088,12,54,Normal
2026-02-16 22:00:44.929168,Berlin-d088,11,48,Normal
2026-02-16 22:00:45.929168,Berlin-d088,15,15,Normal
2026-02-16 22:00:46.929168,Berlin-d088,29,25,Normal
2026-02-16 22:00:47.929168,Berlin-d088,14,11,Normal
2026-02-16 22:00:48.929168,Berlin-d088,19,39,Normal
2026-02-16 22:00:49.929168,Berlin-d088,-4,55,Normal
2026-02-16 22:00:50.929168,Berlin-d088,21,6,Normal
2026-02-16 22:00:51.929168,Berlin-d088,16,47,Normal
2026-02-16 22:00:52.929168,Berlin-d088,7,83,Normal
2026-02-16 22:00:53.929168,Berlin-d088,10,61,Normal
2026-02-16 22:00:54.929168,Berlin-d088,14,33,Normal
2026-02-16 22:00:55.929168,Berlin-d088,40,99,Normal
2026-02-16 22:00:56.929168,Berlin-d088,1,53,Normal
