timestamp,station_id,temp,humid,condition
2026-02-14 15:51:27.891377,Dubai-3b6b,49,53,Normal
2026-02-14 15:51:28.891377,Dubai-3b6b,4,88,Normal
2026-02-14 15:51:29.891377,Dubai-3b6b,13,87,Normal
2026-02-14 15:51:30.891377,Dubai-3b6b,2,44,Normal
2026-02-14 15:51:31.891377,Dubai-3b6b,-16,52,Normal
2026-02-14 15:51:32.891377,Dubai-3b6b,-7,86,Normal
2026-02-14 15:51:33.891377,Dubai-3b6b,22,57,Normal
2026-02-14 15:51:34.891377,Dubai-3b6b,40,75,Normal
2026-02-14 15:51:35.891377,Dubai-3b6b,38,4,Normal
2026-02-14 15:51:36.891377,Dubai-3b6b,-19,18,Normal
2026-02-14 15:51:37.891377,Dubai-3b6b,47,25,Normal
2026-02-14 15:51:38.891377,Dubai-3b6b,47,91,Normal
2026-02-14 15:51:39.891377,Dubai-3b6b,-19,11,Normal
2026-02-14 15:51:40.891377,Dubai-3b6b,-13,0,Normal
2026-02-14 15:51:41.891377,Dubai-3b6b,10,37,Normal
2026-02-14 15:51:42.891377,Dubai-3b6b,43,76,Normal
2026-02-14 15:51:43.891377,Dubai-3b6b,3,10,Normal
2026-02-14 15:51:44.891377,Dubai-3b6b,-13,48,Normal
2026-02-14 15:51:45.891377,Dubai-3b6b,7,9,Normal
2026-02-14 15:51:46.891377,Dubai-3b6b,30,34,Normal
2026-02-14 15:51:47.891377,Dubai-3b6b,46,71,Normal
2026-02-14 15:51:48.891377,Dubai-3b6b,-25,71,Normal
2026-02-14 15:51:49.891377,Dubai-3b6b,11,41,Normal
2026-02-14 15:51:50.891377,Dubai-3b6b,-15,95,Normal
2026-02-14 15:51:51.891377,Dubai-3b6b,45,57,Normal
2026-02-14 15:51:52.891377,Dubai-3b6b,42,65,Normal
2026-02-14 15:51:53.891377,Dubai-3b6b,46,93,Normal
2026-02-14 15:51:54.891377,Dubai-3b6b,-15,43,Normal
2026-02-14 15:51:55.891377,Dubai-3b6b,8,24,Normal
2026-02-14 15:51:56.891377,Dubai-3b6b,-24,28,Normal
2026-02-14 15:51:57.891377,Dubai-3b6b,-2,29,Normal
2026-02-14 15:51:58.891377,Dubai-3b6b,-6,71,Normal
2026-02-14 15:51:59.891377,Dubai-3b6b,43,43,Normal
2026-02-14 15:52:00.891377,Dubai-3b6b,-1,0,Normal
2026-02-14 15:52:01.891377,Dubai-3b6b,42,18,Normal
2026-02-14 15:52:02.891377,Dubai-3b6b,-5,83,Normal
2026-02-14 15:52:03.891377,Dubai-3b6b,46,42,Normal
2026-02-14 15:52:04.891377,Dubai-3b6b,40,10,Normal
2026-02-14 15:52:05.891377,Dubai-3b6b,-27,85,Normal
2026-02-14 15:52:06.891377,Dubai-3b6b,50,62,Normal
2026-02-14 15:52:07.891377,Dubai-3b6b,-12,27,Normal
2026-02-14 15:52:08.891377,Dubai-3b6b,-13,22,Normal
2026-02-14 15:52:09.891377,Dubai-3b6b,36,33,Normal
2026-02-14 15:52:10.891377,Dubai-3b6b,-28,79,Normal
2026-02-14 15:52:11.891377,Dubai-3b6b,-16,12,Normal
2026-02-14 15:52:12.891377,Dubai-3b6b,42,42,Normal
2026-02-14 15:52:13.891377,Dubai-3b6b,25,6,Normal
2026-02-14 15:52:14.891377,Dubai-3b6b,41,98,Normal
2026-02-14 15:52:15.891377,Dubai-3b6b,-12,85,Normal
2026-02-14 15:52:16.891377,Dubai-3b6b,-8,53,Normal
2026-02-14 15:52:17.891377,Dubai-3b6b,-28,38,Normal
2026-02-14 15:52:18.891377,Dubai-3b6b,-18,52,Normal
2026-02-14 15:52:19.891377,Dubai-3b6b,34,78,Normal
2026-02-14 15:52:20.891377,Dubai-3b6b,-18,62,Normal
2026-02-14 15:52:21.891377,Dubai-3b6b,-9,78,Normal
2026-02-14 15:52:22.891377,Dubai-3b6b,-29,97,Normal
2026-02-14 15:52:23.891377,Dubai-3b6b,-9,23,Normal
2026-02-14 15:52:24.891377,Dubai-3b6b,-2,69,Normal
2026-02-14 15:52:25.891377,Dubai-3b6b,41,4,Normal
2026-02-14 15:52:26.891377,Dubai-3b6b,25,31,Normal
2026-02-14 15:52:27.891377,Dubai-3b6b,-26,13,Normal
2026-02-14 15:52:28.891377,Dubai-3b6b,5,43,Normal
2026-02-14 15:52:29.891377,Dubai-3b6b,36,16,Normal
2026-02-14 15:52:30.891377,Dubai-3b6b,-18,35,Normal
2026-02-14 15:52:31.891377,Dubai-3b6b,-7,99,Normal
2026-02-14 15:52:32.891377,Dubai-3b6b,3,58,Normal
2026-02-14 15:52:33.891377,Dubai-3b6b,9,59,Normal
2026-02-14 15:52:34.891377,Dubai-3b6b,2,11,Normal
2026-02-14 15:52:35.891377,Dubai-3b6b,37,47,Normal
2026-02-14 15:52:36.891377,Dubai-3b6b,40,5,Normal
2026-02-14 15:52:37.891377,Dubai-3b6b,-18,96,Normal
2026-02-14 15:52:38.891377,Dubai-3b6b,-16,64,Normal
2026-02-14 15:52:39.891377,Dubai-3b6b,46,92,Normal
2026-02-14 15:52:40.891377,Dubai-3b6b,28,48,Normal
2026-02-14 15:52:41.891377,Dubai-3b6b,48,22,Normal
2026-02-14 15:52:42.891377,Dubai-3b6b,24,35,Normal
2026-02-14 15:52:43.891377,Dubai-3b6b,6,14,Normal
2026-02-14 15:52:44.891377,Dubai-3b6b,17,95,Normal
2026-02-14 15:52:45.891377,Dubai-3b6b,19,16,Normal
2026-02-14 15:52:46.891377,Dubai-3b6b,5,0,Normal
2026-02-14 15:52:47.891377,Dubai-3b6b,16,24,Normal
2026-02-14 15:52:48.891377,Dubai-3b6b,6,71,Normal
2026-02-14 15:52:49.891377,Dubai-3b6b,35,41,Normal
2026-02-14 15:52:50.891377,Dubai-3b6b,-27,58,Normal
2026-02-14 15:52:51.891377,Dubai-3b6b,-19,29,Normal
2026-02-14 15:52:52.891377,Dubai-3b6b,41,40,Normal
2026-02-14 15:52:53.891377,Dubai-3b6b,29,74,Normal
2026-02-14 15:52:54.891377,Dubai-3b6b,17,13,Normal
2026-02-14 15:52:55.891377,Dubai-3b6b,-9,55,Normal
2026-02-14 15:52:56.891377,Dubai-3b6b,23,25,Normal
2026-02-14 15:52:57.891377,Dubai-3b6b,-3,90,Normal
2026-02-14 15:52:58.891377,Dubai-3b6b,-2,55,Normal
2026-02-14 15:52:59.891377,Dubai-3b6b,23,63,Normal
2026-02-14 15:53:00.891377,Dubai-3b6b,38,8,Normal
2026-02-14 15:53:01.891377,Dubai-3b6b,-14,81,Normal
2026-02-14 15:53:02.891377,Dubai-3b6b,38,22,Normal
2026-02-14 15:53:03.891377,Dubai-3b6b,-22,20,Normal
2026-02-14 15:53:04.891377,Dubai-3b6b,9,85,Normal
2026-02-14 15:53:05.891377,Dubai-3b6b,28,52,Normal
2026-02-14 15:53:06.891377,Dubai-3b6b,-18,7,Normal
2026-02-14 15:53:07.891377,Dubai-3b6b,42,5,Normal
2026-02-14 15:53:08.891377,Dubai-3b6b,13,82,Normal
2026-02-14 15:53:09.891377,Dubai-3b6b,46,96,Normal
2026-02-14 15:53:10.891377,Dubai-3b6b,28,50,Normal
2026-02-14 15:53:11.891377,Dubai-3b6b,16,21,Normal
2026-02-14 15:53:12.891377,Dubai-3b6b,-17,49,Normal
2026-02-14 15:53:13.891377,Dubai-3b6b,-30,83,Normal
2026-02-14 15:53:14.891377,Dubai-3b6b,-14,8,Normal
2026-02-14 15:53:15.891377,Dubai-3b6b,22,59,Normal
2026-02-14 15:53:16.891377,Dubai-3b6b,28,90,Normal
2026-02-14 15:53:17.891377,Dubai-3b6b,10,35,Normal
2026-02-14 15:53:18.891377,Dubai-3b6b,-17,99,Normal
2026-02-14 15:53:19.891377,Dubai-3b6b,28,23,Normal
2026-02-14 15:53:20.891377,Dubai-3b6b,24,96,Normal
2026-02-14 15:53:21.891377,Dubai-3b6b,29,34,Normal
2026-02-14 15:53:22.891377,Dubai-3b6b,30,76,Normal
2026-02-14 15:53:23.891377,Dubai-3b6b,33,70,Normal
2026-02-14 15:53:24.891377,Dubai-3b6b,-15,40,Normal
2026-02-14 15:53:25.891377,Dubai-3b6b,-23,13,Normal
2026-02-14 15:53:26.891377,Dubai-3b6b,-1,2,Normal
2026-02-14 15:53:27.891377,Dubai-3b6b,2,38,Normal
2026-02-14 15:53:28.891377,Dubai-3b6b,30,78,Normal
2026-02-14 15:53:29.891377,Dubai-3b6b,-8,71,Normal
2026-02-14 15:53:30.891377,Dubai-3b6b,27,32,Normal
2026-02-14 15:53:31.891377,Dubai-3b6b,5,33,Normal
2026-02-14 15:53:32.891377,Dubai-3b6b,4,30,Normal
2026-02-14 15:53:33.891377,Dubai-3b6b,15,81,Normal
2026-02-14 15:53:34.891377,Dubai-3b6b,-25,18,Normal
2026-02-14 15:53:35.891377,Dubai-3b6b,46,69,Normal
2026-02-14 15:53:36.891377,Dubai-3b6b,0,59,Normal
2026-02-14 15:53:37.891377,Dubai-3b6b,-28,38,Normal
2026-02-14 15:53:38.891377,Dubai-3b6b,-26,12,Normal
2026-02-14 15:53:39.891377,Dubai-3b6b,36,2,Normal
2026-02-14 15:53:40.891377,Dubai-3b6b,-21,58,Normal
2026-02-14 15:53:41.891377,Dubai-3b6b,42,87,Normal
2026-02-14 15:53:42.891377,Dubai-3b6b,-5,77,Normal
2026-02-14 15:53:43.891377,Dubai-3b6b,26,78,Normal
2026-02-14 15:53:44.891377,Dubai-3b6b,23,0,Normal
2026-02-14 15:53:45.891377,Dubai-3b6b,-15,40,Normal
2026-02-14 15:53:46.891377,Dubai-3b6b,-28,27,Normal
2026-02-14 15:53:47.891377,Dubai-3b6b,28,73,Normal
2026-02-14 15:53:48.891377,Dubai-3b6b,-28,88,Normal
2026-02-14 15:53:49.891377,Dubai-3b6b,-24,42,Normal
2026-02-14 15:53:50.891377,Dubai-3b6b,2,60,Normal
2026-02-14 15:53:51.891377,Dubai-3b6b,-20,8,Normal
2026-02-14 15:53:52.891377,Dubai-3b6b,35,73,Normal
2026-02-14 15:53:53.891377,Dubai-3b6b,-7,22,Normal
2026-02-14 15:53:54.891377,Dubai-3b6b,33,99,Normal
2026-02-14 15:53:55.891377,Dubai-3b6b,-9,92,Normal
2026-02-14 15:53:56.891377,Dubai-3b6b,5,100,Normal
2026-02-14 15:53:57.891377,Dubai-3b6b,6,38,Normal
2026-02-14 15:53:58.891377,Dubai-3b6b,43,97,Normal
2026-02-14 15:53:59.891377,Dubai-3b6b,-11,41,Normal
2026-02-14 15:54:00.891377,Dubai-3b6b,2,50,Normal
2026-02-14 15:54:01.891377,Dubai-3b6b,-30,90,Normal
2026-02-14 15:54:02.891377,Dubai-3b6b,-7,11,Normal
2026-02-14 15:54:03.891377,Dubai-3b6b,30,66,Normal
2026-02-14 15:54:04.891377,Dubai-3b6b,0,62,Normal
2026-02-14 15:54:05.891377,Dubai-3b6b,-28,75,Normal
2026-02-14 15:54:06.891377,Dubai-3b6b,49,57,Normal
2026-02-14 15:54:07.891377,Dubai-3b6b,38,14,Normal
2026-02-14 15:54:08.891377,Dubai-3b6b,18,35,Normal
2026-02-14 15:54:09.891377,Dubai-3b6b,-25,80,Normal
2026-02-14 15:54:10.891377,Dubai-3b6b,-28,39,Normal
2026-02-14 15:54:11.891377,Dubai-3b6b,-19,48,Normal
2026-02-14 15:54:12.891377,Dubai-3b6b,6,92,Normal
2026-02-14 15:54:13.891377,Dubai-3b6b,37,31,Normal
2026-02-14 15:54:14.891377,Dubai-3b6b,15,8,Normal
2026-02-14 15:54:15.891377,Dubai-3b6b,12,71,Normal
2026-02-14 15:54:16.891377,Dubai-3b6b,12,83,Normal
2026-02-14 15:54:17.891377,Dubai-3b6b,38,40,Normal
2026-02-14 15:54:18.891377,Dubai-3b6b,40,69,Normal
2026-02-14 15:54:19.891377,Dubai-3b6b,13,63,Normal
2026-02-14 15:54:20.891377,Dubai-3b6b,-7,57,Normal
2026-02-14 15:54:21.891377,Dubai-3b6b,19,90,Normal
2026-02-14 15:54:22.891377,Dubai-3b6b,16,43,Normal
2026-02-14 15:54:23.891377,Dubai-3b6b,1,18,Normal
