timestamp,station_id,temp,humid,condition
2026-02-14 06:57:49.232601,Dubai-7fb5,-9,70,Normal
2026-02-14 06:57:50.232601,Dubai-7fb5,43,57,Normal
2026-02-14 06:57:51.232601,Dubai-7fb5,11,17,Normal
2026-02-14 06:57:52.232601,Dubai-7fb5,-3,65,Normal
2026-02-14 06:57:53.232601,Dubai-7fb5,19,38,Normal
2026-02-14 06:57:54.232601,Dubai-7fb5,15,26,Normal
2026-02-14 06:57:55.232601,Dubai-7fb5,42,16,Normal
2026-02-14 06:57:56.232601,Dubai-7fb5,-11,48,Normal
2026-02-14 06:57:57.232601,Dubai-7fb5,10,34,Normal
2026-02-14 06:57:58.232601,Dubai-7fb5,9,15,Normal
2026-02-14 06:57:59.232601,Dubai-7fb5,0,87,Normal
2026-02-14 06:58:00.232601,Dubai-7fb5,50,79,Normal
2026-02-14 06:58:01.232601,Dubai-7fb5,24,20,Normal
2026-02-14 06:58:02.232601,Dubai-7fb5,50,23,Normal
2026-02-14 06:58:03.232601,Dubai-7fb5,1,69,Normal
2026-02-14 06:58:04.232601,Dubai-7fb5,26,100,Normal
2026-02-14 06:58:05.232601,Dubai-7fb5,11,93,Normal
2026-02-14 06:58:06.232601,Dubai-7fb5,30,15,Normal
2026-02-14 06:58:07.232601,Dubai-7fb5,-3,96,Normal
2026-02-14 06:58:08.232601,Dubai-7fb5,-4,81,Normal
2026-02-14 06:58:09.232601,Dubai-7fb5,2,5,Normal
2026-02-14 06:58:10.232601,Dubai-7fb5,38,73,Normal
2026-02-14 06:58:11.232601,Dubai-7fb5,-18,45,Normal
2026-02-14 06:58:12.232601,Dubai-7fb5,-5,35,Normal
2026-02-14 06:58:13.232601,Dubai-7fb5,6,66,Normal
2026-02-14 06:58:14.232601,Dubai-7fb5,-10,12,Normal
2026-02-14 06:58:15.232601,Dubai-7fb5,-22,76,Normal
2026-02-14 06:58:16.232601,Dubai-7fb5,38,36,Normal
2026-02-14 06:58:17.232601,Dubai-7fb5,-8,62,Normal
2026-02-14 06:58:18.232601,Dubai-7fb5,49,71,Normal
2026-02-14 06:58:19.232601,Dubai-7fb5,-1,30,Normal
2026-02-14 06:58:20.232601,Dubai-7fb5,39,33,Normal
2026-02-14 06:58:21.232601,Dubai-7fb5,38,57,Normal
2026-02-14 06:58:22.232601,Dubai-7fb5,9,8,Normal
2026-02-14 06:58:23.232601,Dubai-7fb5,1,16,Normal
2026-02-14 06:58:24.232601,Dubai-7fb5,-24,16,Normal
2026-02-14 06:58:25.232601,Dubai-7fb5,-24,77,Normal
2026-02-14 06:58:26.232601,Dubai-7fb5,24,77,Normal
2026-02-14 06:58:27.232601,Dubai-7fb5,19,31,Normal
2026-02-14 06:58:28.232601,Dubai-7fb5,27,39,Normal
2026-02-14 06:58:29.232601,Dubai-7fb5,23,94,Normal
2026-02-14 06:58:30.232601,Dubai-7fb5,13,60,Normal
2026-02-14 06:58:31.232601,Dubai-7fb5,14,64,Normal
2026-02-14 06:58:32.232601,Dubai-7fb5,33,5,Normal
2026-02-14 06:58:33.232601,Dubai-7fb5,40,20,Normal
2026-02-14 06:58:34.232601,Dubai-7fb5,-4,61,Normal
2026-02-14 06:58:35.232601,Dubai-7fb5,-3,96,Normal
2026-02-14 06:58:36.232601,Dubai-7fb5,-22,62,Normal
2026-02-14 06:58:37.232601,Dubai-7fb5,24,71,Normal
2026-02-14 06:58:38.232601,Dubai-7fb5,12,55,Normal
2026-02-14 06:58:39.232601,Dubai-7fb5,18,60,Normal
2026-02-14 06:58:40.232601,Dubai-7fb5,-11,29,Normal
2026-02-14 06:58:41.232601,Dubai-7fb5,32,1,Normal
2026-02-14 06:58:42.232601,Dubai-7fb5,40,62,Normal
2026-02-14 06:58:43.232601,Dubai-7fb5,30,27,Normal
2026-02-14 06:58:44.232601,Dubai-7fb5,36,42,Normal
2026-02-14 06:58:45.232601,Dubai-7fb5,-12,18,Normal
2026-02-14 06:58:46.232601,Dubai-7fb5,38,55,Normal
2026-02-14 06:58:47.232601,Dubai-7fb5,12,34,Normal
2026-02-14 06:58:48.232601,Dubai-7fb5,4,13,Normal
2026-02-14 06:58:49.232601,Dubai-7fb5,13,51,Normal
2026-02-14 06:58:50.232601,Dubai-7fb5,38,4,Normal
2026-02-14 06:58:51.232601,Dubai-7fb5,40,2,Normal
2026-02-14 06:58:52.232601,Dubai-7fb5,26,48,Normal
2026-02-14 06:58:53.232601,Dubai-7fb5,36,57,Normal
2026-02-14 06:58:54.232601,Dubai-7fb5,13,76,Normal
2026-02-14 06:58:55.232601,Dubai-7fb5,-17,34,Normal
2026-02-14 06:58:56.232601,Dubai-7fb5,41,25,Normal
2026-02-14 06:58:57.232601,Dubai-7fb5,32,51,Normal
2026-02-14 06:58:58.232601,Dubai-7fb5,-18,34,Normal
2026-02-14 06:58:59.232601,Dubai-7fb5,30,33,Normal
2026-02-14 06:59:00.232601,Dubai-7fb5,42,11,Normal
2026-02-14 06:59:01.232601,Dubai-7fb5,22,0,Normal
2026-02-14 06:59:02.232601,Dubai-7fb5,-17,7,Normal
2026-02-14 06:59:03.232601,Dubai-7fb5,50,34,Normal
2026-02-14 06:59:04.232601,Dubai-7fb5,5,30,Normal
2026-02-14 06:59:05.232601,Dubai-7fb5,7,35,Normal
2026-02-14 06:59:06.232601,Dubai-7fb5,48,4,Normal
2026-02-14 06:59:07.232601,Dubai-7fb5,27,1,Normal
2026-02-14 06:59:08.232601,Dubai-7fb5,-28,43,Normal
2026-02-14 06:59:09.232601,Dubai-7fb5,2,70,Normal
2026-02-14 06:59:10.232601,Dubai-7fb5,3,46,Normal
2026-02-14 06:59:11.232601,Dubai-7fb5,-11,83,Normal
2026-02-14 06:59:12.232601,Dubai-7fb5,22,8,Normal
2026-02-14 06:59:13.232601,Dubai-7fb5,-7,85,Normal
2026-02-14 06:59:14.232601,Dubai-7fb5,-4,29,Normal
2026-02-14 06:59:15.232601,Dubai-7fb5,-8,19,Normal
2026-02-14 06:59:16.232601,Dubai-7fb5,-26,18,Normal
2026-02-14 06:59:17.232601,Dubai-7fb5,16,2,Normal
2026-02-14 06:59:18.232601,Dubai-7fb5,24,6,Normal
2026-02-14 06:59:19.232601,Dubai-7fb5,-22,86,Normal
2026-02-14 06:59:20.232601,Dubai-7fb5,-24,95,Normal
2026-02-14 06:59:21.232601,Dubai-7fb5,-2,32,Normal
2026-02-14 06:59:22.232601,Dubai-7fb5,40,77,Normal
2026-02-14 06:59:23.232601,Dubai-7fb5,37,30,Normal
2026-02-14 06:59:24.232601,Dubai-7fb5,29,38,Normal
2026-02-14 06:59:25.232601,Dubai-7fb5,-9,95,Normal
2026-02-14 06:59:26.232601,Dubai-7fb5,-6,20,Normal
2026-02-14 06:59:27.232601,Dubai-7fb5,9,75,Normal
2026-02-14 06:59:28.232601,Dubai-7fb5,17,0,Normal
2026-02-14 06:59:29.232601,Dubai-7fb5,17,5,Normal
2026-02-14 06:59:30.232601,Dubai-7fb5,-23,41,Normal
2026-02-14 06:59:31.232601,Dubai-7fb5,-25,91,Normal
2026-02-14 06:59:32.232601,Dubai-7fb5,14,37,Normal
2026-02-14 06:59:33.232601,Dubai-7fb5,-12,10,Normal
2026-02-14 06:59:34.232601,Dubai-7fb5,-26,32,Normal
2026-02-14 06:59:35.232601,Dubai-7fb5,49,51,Normal
2026-02-14 06:59:36.232601,Dubai-7fb5,49,69,Normal
2026-02-14 06:59:37.232601,Dubai-7fb5,-24,55,Normal
2026-02-14 06:59:38.232601,Dubai-7fb5,20,65,Normal
2026-02-14 06:59:39.232601,Dubai-7fb5,47,70,Normal
2026-02-14 06:59:40.232601,Dubai-7fb5,20,41,Normal
2026-02-14 06:59:41.232601,Dubai-7fb5,42,100,Normal
2026-02-14 06:59:42.232601,Dubai-7fb5,0,22,Normal
2026-02-14 06:59:43.232601,Dubai-7fb5,30,6,Normal
2026-02-14 06:59:44.232601,Dubai-7fb5,31,8,Normal
2026-02-14 06:59:45.232601,Dubai-7fb5,44,33,Normal
2026-02-14 06:59:46.232601,Dubai-7fb5,11,54,Normal
2026-02-14 06:59:47.232601,Dubai-7fb5,28,16,Normal
2026-02-14 06:59:48.232601,Dubai-7fb5,44,98,Normal
2026-02-14 06:59:49.232601,Dubai-7fb5,30,0,Normal
2026-02-14 06:59:50.232601,Dubai-7fb5,-7,50,Normal
2026-02-14 06:59:51.232601,Dubai-7fb5,34,21,Normal
2026-02-14 06:59:52.232601,Dubai-7fb5,34,34,Normal
2026-02-14 06:59:53.232601,Dubai-7fb5,-20,43,Normal
2026-02-14 06:59:54.232601,Dubai-7fb5,-25,42,Normal
2026-02-14 06:59:55.232601,Dubai-7fb5,4,7,Normal
2026-02-14 06:59:56.232601,Dubai-7fb5,46,88,Normal
2026-02-14 06:59:57.232601,Dubai-7fb5,-13,21,Normal
2026-02-14 06:59:58.232601,Dubai-7fb5,38,88,Normal
2026-02-14 06:59:59.232601,Dubai-7fb5,-10,7,Normal
2026-02-14 07:00:00.232601,Dubai-7fb5,-19,20,Normal
2026-02-14 07:00:01.232601,Dubai-7fb5,27,67,Normal
2026-02-14 07:00:02.232601,Dubai-7fb5,-15,85,Normal
2026-02-14 07:00:03.232601,Dubai-7fb5,50,58,Normal
2026-02-14 07:00:04.232601,Dubai-7fb5,29,19,Normal
2026-02-14 07:00:05.232601,Dubai-7fb5,46,79,Normal
2026-02-14 07:00:06.232601,Dubai-7fb5,-28,22,Normal
2026-02-14 07:00:07.232601,Dubai-7fb5,3,78,Normal
2026-02-14 07:00:08.232601,Dubai-7fb5,-19,5,Normal
2026-02-14 07:00:09.232601,Dubai-7fb5,5,98,Normal
2026-02-14 07:00:10.232601,Dubai-7fb5,18,43,Normal
2026-02-14 07:00:11.232601,Dubai-7fb5,-7,45,Normal
2026-02-14 07:00:12.232601,Dubai-7fb5,-29,89,Normal
2026-02-14 07:00:13.232601,Dubai-7fb5,-15,36,Normal
2026-02-14 07:00:14.232601,Dubai-7fb5,17,95,Normal
2026-02-14 07:00:15.232601,Dubai-7fb5,43,33,Normal
2026-02-14 07:00:16.232601,Dubai-7fb5,26,5,Normal
2026-02-14 07:00:17.232601,Dubai-7fb5,43,12,Normal
2026-02-14 07:00:18.232601,Dubai-7fb5,13,41,Normal
2026-02-14 07:00:19.232601,Dubai-7fb5,2,27,Normal
2026-02-14 07:00:20.232601,Dubai-7fb5,33,41,Normal
2026-02-14 07:00:21.232601,Dubai-7fb5,-12,34,Normal
