timestamp,station_id,temp,humid,condition
2026-02-14 00:52:11.562355,Dubai-c370,-7,23,Normal
2026-02-14 00:52:12.562355,Dubai-c370,7,66,Normal
2026-02-14 00:52:13.562355,Dubai-c370,43,41,Normal
2026-02-14 00:52:14.562355,Dubai-c370,8,50,Normal
2026-02-14 00:52:15.562355,Dubai-c370,30,84,Normal
2026-02-14 00:52:16.562355,Dubai-c370,21,36,Normal
2026-02-14 00:52:17.562355,Dubai-c370,27,18,Normal
2026-02-14 00:52:18.562355,Dubai-c370,-8,85,Normal
2026-02-14 00:52:19.562355,Dubai-c370,44,52,Normal
2026-02-14 00:52:20.562355,Dubai-c370,21,25,Normal
2026-02-14 00:52:21.562355,Dubai-c370,42,5,Normal
2026-02-14 00:52:22.562355,Dubai-c370,37,77,Normal
2026-02-14 00:52:23.562355,Dubai-c370,-25,69,Normal
2026-02-14 00:52:24.562355,Dubai-c370,6,46,Normal
2026-02-14 00:52:25.562355,Dubai-c370,-18,34,Normal
2026-02-14 00:52:26.562355,Dubai-c370,2,17,Normal
2026-02-14 00:52:27.562355,Dubai-c370,30,82,Normal
2026-02-14 00:52:28.562355,Dubai-c370,-14,10,Normal
2026-02-14 00:52:29.562355,Dubai-c370,24,71,Normal
2026-02-14 00:52:30.562355,Dubai-c370,40,14,Normal
2026-02-14 00:52:31.562355,Dubai-c370,28,10,Normal
2026-02-14 00:52:32.562355,Dubai-c370,-19,38,Normal
2026-02-14 00:52:33.562355,Dubai-c370,29,41,Normal
2026-02-14 00:52:34.562355,Dubai-c370,33,19,Normal
2026-02-14 00:52:35.562355,Dubai-c370,38,70,Normal
2026-02-14 00:52:36.562355,Dubai-c370,9,31,Normal
2026-02-14 00:52:37.562355,Dubai-c370,-22,70,Normal
2026-02-14 00:52:38.562355,Dubai-c370,6,71,Normal
2026-02-14 00:52:39.562355,Dubai-c370,-5,50,Normal
2026-02-14 00:52:40.562355,Dubai-c370,9,83,Normal
2026-02-14 00:52:41.562355,Dubai-c370,-6,11,Normal
2026-02-14 00:52:42.562355,Dubai-c370,-19,47,Normal
2026-02-14 00:52:43.562355,Dubai-c370,5,78,Normal
2026-02-14 00:52:44.562355,Dubai-c370,10,73,Normal
2026-02-14 00:52:45.562355,Dubai-c370,37,58,Normal
2026-02-14 00:52:46.562355,Dubai-c370,43,6,Normal
2026-02-14 00:52:47.562355,Dubai-c370,40,32,Normal
2026-02-14 00:52:48.562355,Dubai-c370,9,16,Normal
2026-02-14 00:52:49.562355,Dubai-c370,47,13,Normal
2026-02-14 00:52:50.562355,Dubai-c370,36,81,Normal
2026-02-14 00:52:51.562355,Dubai-c370,6,45,Normal
2026-02-14 00:52:52.562355,Dubai-c370,42,40,Normal
2026-02-14 00:52:53.562355,Dubai-c370,-12,38,Normal
2026-02-14 00:52:54.562355,Dubai-c370,46,54,Normal
2026-02-14 00:52:55.562355,Dubai-c370,28,96,Normal
2026-02-14 00:52:56.562355,Dubai-c370,6,7,Normal
2026-02-14 00:52:57.562355,Dubai-c370,29,85,Normal
2026-02-14 00:52:58.562355,Dubai-c370,10,46,Normal
