timestamp,station_id,temp,humid,condition
2026-02-14 17:52:01.873092,Dubai-d551,-7,56,Normal
2026-02-14 17:52:02.873092,Dubai-d551,-26,62,Normal
2026-02-14 17:52:03.873092,Dubai-d551,-28,90,Normal
2026-02-14 17:52:04.873092,Dubai-d551,29,70,Normal
2026-02-14 17:52:05.873092,Dubai-d551,39,2,Normal
2026-02-14 17:52:06.873092,Dubai-d551,9,6,Normal
2026-02-14 17:52:07.873092,Dubai-d551,2,76,Normal
2026-02-14 17:52:08.873092,Dubai-d551,-13,62,Normal
2026-02-14 17:52:09.873092,Dubai-d551,36,100,Normal
2026-02-14 17:52:10.873092,Dubai-d551,4,48,Normal
2026-02-14 17:52:11.873092,Dubai-d551,27,25,Normal
2026-02-14 17:52:12.873092,Dubai-d551,41,46,Normal
2026-02-14 17:52:13.873092,Dubai-d551,-30,67,Normal
2026-02-14 17:52:14.873092,Dubai-d551,-9,95,Normal
2026-02-14 17:52:15.873092,Dubai-d551,-10,79,Normal
2026-02-14 17:52:16.873092,Dubai-d551,-29,19,Normal
2026-02-14 17:52:17.873092,Dubai-d551,12,35,Normal
2026-02-14 17:52:18.873092,Dubai-d551,27,93,Normal
2026-02-14 17:52:19.873092,Dubai-d551,-2,70,Normal
2026-02-14 17:52:20.873092,Dubai-d551,12,46,Normal
2026-02-14 17:52:21.873092,Dubai-d551,-28,97,Normal
2026-02-14 17:52:22.873092,Dubai-d551,32,84,Normal
2026-02-14 17:52:23.873092,Dubai-d551,-24,32,Normal
2026-02-14 17:52:24.873092,Dubai-d551,49,82,Normal
2026-02-14 17:52:25.873092,Dubai-d551,-26,61,Normal
2026-02-14 17:52:26.873092,Dubai-d551,32,65,Normal
2026-02-14 17:52:27.873092,Dubai-d551,1,1,Normal
2026-02-14 17:52:28.873092,Dubai-d551,50,29,Normal
2026-02-14 17:52:29.873092,Dubai-d551,15,71,Normal
2026-02-14 17:52:30.873092,Dubai-d551,-30,27,Normal
2026-02-14 17:52:31.873092,Dubai-d551,5,62,Normal
2026-02-14 17:52:32.873092,Dubai-d551,44,22,Normal
2026-02-14 17:52:33.873092,Dubai-d551,-14,21,Normal
2026-02-14 17:52:34.873092,Dubai-d551,48,53,Normal
2026-02-14 17:52:35.873092,Dubai-d551,49,69,Normal
2026-02-14 17:52:36.873092,Dubai-d551,9,35,Normal
2026-02-14 17:52:37.873092,Dubai-d551,15,70,Normal
2026-02-14 17:52:38.873092,Dubai-d551,7,70,Normal
2026-02-14 17:52:39.873092,Dubai-d551,-25,43,Normal
2026-02-14 17:52:40.873092,Dubai-d551,9,91,Normal
2026-02-14 17:52:41.873092,Dubai-d551,18,65,Normal
2026-02-14 17:52:42.873092,Dubai-d551,-3,9,Normal
2026-02-14 17:52:43.873092,Dubai-d551,37,87,Normal
2026-02-14 17:52:44.873092,Dubai-d551,45,56,Normal
2026-02-14 17:52:45.873092,Dubai-d551,22,33,Normal
2026-02-14 17:52:46.873092,Dubai-d551,48,59,Normal
2026-02-14 17:52:47.873092,Dubai-d551,9,36,Normal
2026-02-14 17:52:48.873092,Dubai-d551,17,31,Normal
2026-02-14 17:52:49.873092,Dubai-d551,1,17,Normal
2026-02-14 17:52:50.873092,Dubai-d551,-7,23,Normal
2026-02-14 17:52:51.873092,Dubai-d551,19,8,Normal
2026-02-14 17:52:52.873092,Dubai-d551,33,45,Normal
2026-02-14 17:52:53.873092,Dubai-d551,41,77,Normal
2026-02-14 17:52:54.873092,Dubai-d551,2,13,Normal
2026-02-14 17:52:55.873092,Dubai-d551,-6,95,Normal
2026-02-14 17:52:56.873092,Dubai-d551,13,10,Normal
