timestamp,station_id,temp,humid,condition
2026-02-10 15:48:41.375436,Dubai-ef9a,11,80,Normal
2026-02-10 15:48:42.375436,Dubai-ef9a,-20,49,Normal
2026-02-10 15:48:43.375436,Dubai-ef9a,25,8,Normal
2026-02-10 15:48:44.375436,Dubai-ef9a,36,53,Normal
2026-02-10 15:48:45.375436,Dubai-ef9a,47,77,Normal
2026-02-10 15:48:46.375436,Dubai-ef9a,-28,29,Normal
2026-02-10 15:48:47.375436,Dubai-ef9a,21,77,Normal
2026-02-10 15:48:48.375436,Dubai-ef9a,-23,9,Normal
2026-02-10 15:48:49.375436,Dubai-ef9a,-9,49,Normal
2026-02-10 15:48:50.375436,Dubai-ef9a,-3,71,Normal
2026-02-10 15:48:51.375436,Dubai-ef9a,7,49,Normal
2026-02-10 15:48:52.375436,Dubai-ef9a,-29,30,Normal
2026-02-10 15:48:53.375436,Dubai-ef9a,26,48,Normal
2026-02-10 15:48:54.375436,Dubai-ef9a,10,2,Normal
2026-02-10 15:48:55.375436,Dubai-ef9a,44,4,Normal
2026-02-10 15:48:56.375436,Dubai-ef9a,-21,46,Normal
2026-02-10 15:48:57.375436,Dubai-ef9a,-26,59,Normal
2026-02-10 15:48:58.375436,Dubai-ef9a,3,31,Normal
2026-02-10 15:48:59.375436,Dubai-ef9a,-11,55,Normal
2026-02-10 15:49:00.375436,Dubai-ef9a,-3,3,Normal
2026-02-10 15:49:01.375436,Dubai-ef9a,-9,48,Normal
2026-02-10 15:49:02.375436,Dubai-ef9a,20,56,Normal
2026-02-10 15:49:03.375436,Dubai-ef9a,-8,1,Normal
2026-02-10 15:49:04.375436,Dubai-ef9a,17,16,Normal
2026-02-10 15:49:05.375436,Dubai-ef9a,-26,61,Normal
2026-02-10 15:49:06.375436,Dubai-ef9a,3,58,Normal
2026-02-10 15:49:07.375436,Dubai-ef9a,29,98,Normal
2026-02-10 15:49:08.375436,Dubai-ef9a,49,28,Normal
2026-02-10 15:49:09.375436,Dubai-ef9a,41,28,Normal
2026-02-10 15:49:10.375436,Dubai-ef9a,47,16,Normal
2026-02-10 15:49:11.375436,Dubai-ef9a,-8,65,Normal
2026-02-10 15:49:12.375436,Dubai-ef9a,24,15,Normal
2026-02-10 15:49:13.375436,Dubai-ef9a,-6,18,Normal
2026-02-10 15:49:14.375436,Dubai-ef9a,-27,34,Normal
2026-02-10 15:49:15.375436,Dubai-ef9a,44,77,Normal
2026-02-10 15:49:16.375436,Dubai-ef9a,-25,6,Normal
2026-02-10 15:49:17.375436,Dubai-ef9a,42,96,Normal
2026-02-10 15:49:18.375436,Dubai-ef9a,46,5,Normal
2026-02-10 15:49:19.375436,Dubai-ef9a,17,9,Normal
2026-02-10 15:49:20.375436,Dubai-ef9a,-4,100,Normal
2026-02-10 15:49:21.375436,Dubai-ef9a,17,60,Normal
2026-02-10 15:49:22.375436,Dubai-ef9a,-18,94,Normal
2026-02-10 15:49:23.375436,Dubai-ef9a,15,57,Normal
2026-02-10 15:49:24.375436,Dubai-ef9a,49,15,Normal
2026-02-10 15:49:25.375436,Dubai-ef9a,42,37,Normal
2026-02-10 15:49:26.375436,Dubai-ef9a,22,5,Normal
2026-02-10 15:49:27.375436,Dubai-ef9a,47,68,Normal
2026-02-10 15:49:28.375436,Dubai-ef9a,33,92,Normal
2026-02-10 15:49:29.375436,Dubai-ef9a,27,10,Normal
2026-02-10 15:49:30.375436,Dubai-ef9a,-19,85,Normal
2026-02-10 15:49:31.375436,Dubai-ef9a,23,6,Normal
2026-02-10 15:49:32.375436,Dubai-ef9a,25,70,Normal
2026-02-10 15:49:33.375436,Dubai-ef9a,30,34,Normal
2026-02-10 15:49:34.375436,Dubai-ef9a,-18,73,Normal
2026-02-10 15:49:35.375436,Dubai-ef9a,22,55,Normal
2026-02-10 15:49:36.375436,Dubai-ef9a,-4,33,Normal
2026-02-10 15:49:37.375436,Dubai-ef9a,43,38,Normal
2026-02-10 15:49:38.375436,Dubai-ef9a,-20,9,Normal
2026-02-10 15:49:39.375436,Dubai-ef9a,-29,11,Normal
2026-02-10 15:49:40.375436,Dubai-ef9a,40,25,Normal
2026-02-10 15:49:41.375436,Dubai-ef9a,-20,85,Normal
2026-02-10 15:49:42.375436,Dubai-ef9a,17,12,Normal
2026-02-10 15:49:43.375436,Dubai-ef9a,-23,79,Normal
2026-02-10 15:49:44.375436,Dubai-ef9a,16,25,Normal
2026-02-10 15:49:45.375436,Dubai-ef9a,-26,86,Normal
2026-02-10 15:49:46.375436,Dubai-ef9a,34,50,Normal
2026-02-10 15:49:47.375436,Dubai-ef9a,6,72,Normal
2026-02-10 15:49:48.375436,Dubai-ef9a,39,37,Normal
2026-02-10 15:49:49.375436,Dubai-ef9a,10,31,Normal
2026-02-10 15:49:50.375436,Dubai-ef9a,15,35,Normal
2026-02-10 15:49:51.375436,Dubai-ef9a,0,63,Normal
2026-02-10 15:49:52.375436,Dubai-ef9a,-18,61,Normal
2026-02-10 15:49:53.375436,Dubai-ef9a,-11,98,Normal
2026-02-10 15:49:54.375436,Dubai-ef9a,32,96,Normal
2026-02-10 15:49:55.375436,Dubai-ef9a,0,6,Normal
2026-02-10 15:49:56.375436,Dubai-ef9a,50,3,Normal
2026-02-10 15:49:57.375436,Dubai-ef9a,20,44,Normal
2026-02-10 15:49:58.375436,Dubai-ef9a,27,85,Normal
2026-02-10 15:49:59.375436,Dubai-ef9a,38,6,Normal
2026-02-10 15:50:00.375436,Dubai-ef9a,21,2,Normal
2026-02-10 15:50:01.375436,Dubai-ef9a,5,99,Normal
2026-02-10 15:50:02.375436,Dubai-ef9a,-29,23,Normal
2026-02-10 15:50:03.375436,Dubai-ef9a,5,39,Normal
2026-02-10 15:50:04.375436,Dubai-ef9a,12,81,Normal
2026-02-10 15:50:05.375436,Dubai-ef9a,12,3,Normal
2026-02-10 15:50:06.375436,Dubai-ef9a,-26,3,Normal
2026-02-10 15:50:07.375436,Dubai-ef9a,-29,41,Normal
2026-02-10 15:50:08.375436,Dubai-ef9a,7,50,Normal
2026-02-10 15:50:09.375436,Dubai-ef9a,20,92,Normal
2026-02-10 15:50:10.375436,Dubai-ef9a,-21,36,Normal
2026-02-10 15:50:11.375436,Dubai-ef9a,-12,8,Normal
2026-02-10 15:50:12.375436,Dubai-ef9a,-28,68,Normal
2026-02-10 15:50:13.375436,Dubai-ef9a,47,95,Normal
2026-02-10 15:50:14.375436,Dubai-ef9a,49,94,Normal
2026-02-10 15:50:15.375436,Dubai-ef9a,20,99,Normal
2026-02-10 15:50:16.375436,Dubai-ef9a,-28,60,Normal
2026-02-10 15:50:17.375436,Dubai-ef9a,-27,23,Normal
2026-02-10 15:50:18.375436,Dubai-ef9a,22,10,Normal
2026-02-10 15:50:19.375436,Dubai-ef9a,-10,38,Normal
2026-02-10 15:50:20.375436,Dubai-ef9a,-22,82,Normal
2026-02-10 15:50:21.375436,Dubai-ef9a,46,88,Normal
2026-02-10 15:50:22.375436,Dubai-ef9a,45,8,Normal
2026-02-10 15:50:23.375436,Dubai-ef9a,6,99,Normal
2026-02-10 15:50:24.375436,Dubai-ef9a,-16,38,Normal
2026-02-10 15:50:25.375436,Dubai-ef9a,-1,87,Normal
2026-02-10 15:50:26.375436,Dubai-ef9a,-23,81,Normal
2026-02-10 15:50:27.375436,Dubai-ef9a,50,98,Normal
2026-02-10 15:50:28.375436,Dubai-ef9a,36,13,Normal
2026-02-10 15:50:29.375436,Dubai-ef9a,34,84,Normal
2026-02-10 15:50:30.375436,Dubai-ef9a,-27,9,Normal
2026-02-10 15:50:31.375436,Dubai-ef9a,32,74,Normal
2026-02-10 15:50:32.375436,Dubai-ef9a,20,28,Normal
2026-02-10 15:50:33.375436,Dubai-ef9a,26,38,Normal
2026-02-10 15:50:34.375436,Dubai-ef9a,-6,91,Normal
2026-02-10 15:50:35.375436,Dubai-ef9a,-7,94,Normal
2026-02-10 15:50:36.375436,Dubai-ef9a,37,3,Normal
2026-02-10 15:50:37.375436,Dubai-ef9a,20,60,Normal
2026-02-10 15:50:38.375436,Dubai-ef9a,16,63,Normal
2026-02-10 15:50:39.375436,Dubai-ef9a,-22,32,Normal
2026-02-10 15:50:40.375436,Dubai-ef9a,14,96,Normal
2026-02-10 15:50:41.375436,Dubai-ef9a,10,17,Normal
2026-02-10 15:50:42.375436,Dubai-ef9a,16,11,Normal
2026-02-10 15:50:43.375436,Dubai-ef9a,-26,91,Normal
2026-02-10 15:50:44.375436,Dubai-ef9a,39,32,Normal
2026-02-10 15:50:45.375436,Dubai-ef9a,25,92,Normal
2026-02-10 15:50:46.375436,Dubai-ef9a,-4,52,Normal
2026-02-10 15:50:47.375436,Dubai-ef9a,31,9,Normal
2026-02-10 15:50:48.375436,Dubai-ef9a,44,64,Normal
2026-02-10 15:50:49.375436,Dubai-ef9a,-19,5,Normal
2026-02-10 15:50:50.375436,Dubai-ef9a,-4,79,Normal
2026-02-10 15:50:51.375436,Dubai-ef9a,8,36,Normal
2026-02-10 15:50:52.375436,Dubai-ef9a,9,56,Normal
2026-02-10 15:50:53.375436,Dubai-ef9a,32,67,Normal
