timestamp,station_id,temp,humid,condition
2026-02-17 08:39:21.281458,Dubai-f729,-23,61,Normal
2026-02-17 08:39:22.281458,Dubai-f729,35,81,Normal
2026-02-17 08:39:23.281458,Dubai-f729,-13,91,Normal
2026-02-17 08:39:24.281458,Dubai-f729,16,2,Normal
2026-02-17 08:39:25.281458,Dubai-f729,-2,89,Normal
2026-02-17 08:39:26.281458,Dubai-f729,-20,15,Normal
2026-02-17 08:39:27.281458,Dubai-f729,35,38,Normal
2026-02-17 08:39:28.281458,Dubai-f729,9,38,Normal
2026-02-17 08:39:29.281458,Dubai-f729,33,3,Normal
2026-02-17 08:39:30.281458,Dubai-f729,22,83,Normal
2026-02-17 08:39:31.281458,Dubai-f729,-9,22,Normal
2026-02-17 08:39:32.281458,Dubai-f729,-19,13,Normal
2026-02-17 08:39:33.281458,Dubai-f729,36,15,Normal
2026-02-17 08:39:34.281458,Dubai-f729,23,33,Normal
2026-02-17 08:39:35.281458,Dubai-f729,-16,56,Normal
2026-02-17 08:39:36.281458,Dubai-f729,-1,37,Normal
2026-02-17 08:39:37.281458,Dubai-f729,-1,22,Normal
2026-02-17 08:39:38.281458,Dubai-f729,32,62,Normal
2026-02-17 08:39:39.281458,Dubai-f729,-9,25,Normal
2026-02-17 08:39:40.281458,Dubai-f729,5,35,Normal
2026-02-17 08:39:41.281458,Dubai-f729,36,4,Normal
2026-02-17 08:39:42.281458,Dubai-f729,2,100,Normal
2026-02-17 08:39:43.281458,Dubai-f729,35,27,Normal
2026-02-17 08:39:44.281458,Dubai-f729,42,81,Normal
2026-02-17 08:39:45.281458,Dubai-f729,-1,56,Normal
2026-02-17 08:39:46.281458,Dubai-f729,30,18,Normal
2026-02-17 08:39:47.281458,Dubai-f729,-13,10,Normal
2026-02-17 08:39:48.281458,Dubai-f729,6,53,Normal
2026-02-17 08:39:49.281458,Dubai-f729,-30,89,Normal
2026-02-17 08:39:50.281458,Dubai-f729,6,83,Normal
2026-02-17 08:39:51.281458,Dubai-f729,10,34,Normal
2026-02-17 08:39:52.281458,Dubai-f729,-6,99,Normal
2026-02-17 08:39:53.281458,Dubai-f729,38,12,Normal
2026-02-17 08:39:54.281458,Dubai-f729,12,68,Normal
2026-02-17 08:39:55.281458,Dubai-f729,6,15,Normal
2026-02-17 08:39:56.281458,Dubai-f729,-15,17,Normal
2026-02-17 08:39:57.281458,Dubai-f729,26,61,Normal
2026-02-17 08:39:58.281458,Dubai-f729,-19,67,Normal
2026-02-17 08:39:59.281458,Dubai-f729,-26,68,Normal
