timestamp,station_id,temp,humid,condition
2026-02-14 08:55:32.918469,Dubai-ff68,-18,5,Normal
2026-02-14 08:55:33.918469,Dubai-ff68,-23,12,Normal
2026-02-14 08:55:34.918469,Dubai-ff68,-26,13,Normal
2026-02-14 08:55:35.918469,Dubai-ff68,-6,82,Normal
2026-02-14 08:55:36.918469,Dubai-ff68,0,11,Normal
2026-02-14 08:55:37.918469,Dubai-ff68,38,39,Normal
2026-02-14 08:55:38.918469,Dubai-ff68,26,9,Normal
2026-02-14 08:55:39.918469,Dubai-ff68,10,39,Normal
2026-02-14 08:55:40.918469,Dubai-ff68,-11,66,Normal
2026-02-14 08:55:41.918469,Dubai-ff68,43,10,Normal
2026-02-14 08:55:42.918469,Dubai-ff68,13,39,Normal
2026-02-14 08:55:43.918469,Dubai-ff68,-25,31,Normal
2026-02-14 08:55:44.918469,Dubai-ff68,-20,11,Normal
2026-02-14 08:55:45.918469,Dubai-ff68,21,19,Normal
2026-02-14 08:55:46.918469,Dubai-ff68,-10,50,Normal
2026-02-14 08:55:47.918469,Dubai-ff68,-18,63,Normal
2026-02-14 08:55:48.918469,Dubai-ff68,32,72,Normal
2026-02-14 08:55:49.918469,Dubai-ff68,28,42,Normal
2026-02-14 08:55:50.918469,Dubai-ff68,-1,67,Normal
2026-02-14 08:55:51.918469,Dubai-ff68,9,5,Normal
2026-02-14 08:55:52.918469,Dubai-ff68,48,35,Normal
2026-02-14 08:55:53.918469,Dubai-ff68,-30,87,Normal
2026-02-14 08:55:54.918469,Dubai-ff68,36,3,Normal
2026-02-14 08:55:55.918469,Dubai-ff68,30,45,Normal
2026-02-14 08:55:56.918469,Dubai-ff68,-13,9,Normal
2026-02-14 08:55:57.918469,Dubai-ff68,0,23,Normal
2026-02-14 08:55:58.918469,Dubai-ff68,5,59,Normal
2026-02-14 08:55:59.918469,Dubai-ff68,9,66,Normal
2026-02-14 08:56:00.918469,Dubai-ff68,-20,11,Normal
2026-02-14 08:56:01.918469,Dubai-ff68,39,51,Normal
2026-02-14 08:56:02.918469,Dubai-ff68,-26,59,Normal
2026-02-14 08:56:03.918469,Dubai-ff68,-7,56,Normal
2026-02-14 08:56:04.918469,Dubai-ff68,-9,55,Normal
2026-02-14 08:56:05.918469,Dubai-ff68,-7,77,Normal
2026-02-14 08:56:06.918469,Dubai-ff68,46,48,Normal
2026-02-14 08:56:07.918469,Dubai-ff68,-28,94,Normal
2026-02-14 08:56:08.918469,Dubai-ff68,8,13,Normal
2026-02-14 08:56:09.918469,Dubai-ff68,43,71,Normal
2026-02-14 08:56:10.918469,Dubai-ff68,41,96,Normal
2026-02-14 08:56:11.918469,Dubai-ff68,-27,61,Normal
2026-02-14 08:56:12.918469,Dubai-ff68,-9,52,Normal
2026-02-14 08:56:13.918469,Dubai-ff68,14,48,Normal
2026-02-14 08:56:14.918469,Dubai-ff68,12,11,Normal
2026-02-14 08:56:15.918469,Dubai-ff68,40,69,Normal
2026-02-14 08:56:16.918469,Dubai-ff68,27,78,Normal
2026-02-14 08:56:17.918469,Dubai-ff68,-22,72,Normal
2026-02-14 08:56:18.918469,Dubai-ff68,34,41,Normal
2026-02-14 08:56:19.918469,Dubai-ff68,37,47,Normal
2026-02-14 08:56:20.918469,Dubai-ff68,-4,45,Normal
2026-02-14 08:56:21.918469,Dubai-ff68,-30,1,Normal
2026-02-14 08:56:22.918469,Dubai-ff68,17,88,Normal
2026-02-14 08:56:23.918469,Dubai-ff68,24,70,Normal
2026-02-14 08:56:24.918469,Dubai-ff68,45,29,Normal
2026-02-14 08:56:25.918469,Dubai-ff68,10,54,Normal
2026-02-14 08:56:26.918469,Dubai-ff68,22,94,Normal
2026-02-14 08:56:27.918469,Dubai-ff68,19,43,Normal
2026-02-14 08:56:28.918469,Dubai-ff68,-17,77,Normal
2026-02-14 08:56:29.918469,Dubai-ff68,12,78,Normal
2026-02-14 08:56:30.918469,Dubai-ff68,-18,72,Normal
2026-02-14 08:56:31.918469,Dubai-ff68,12,25,Normal
2026-02-14 08:56:32.918469,Dubai-ff68,-9,7,Normal
2026-02-14 08:56:33.918469,Dubai-ff68,40,5,Normal
2026-02-14 08:56:34.918469,Dubai-ff68,-4,98,Normal
2026-02-14 08:56:35.918469,Dubai-ff68,2,63,Normal
2026-02-14 08:56:36.918469,Dubai-ff68,36,3,Normal
2026-02-14 08:56:37.918469,Dubai-ff68,50,93,Normal
2026-02-14 08:56:38.918469,Dubai-ff68,-24,36,Normal
2026-02-14 08:56:39.918469,Dubai-ff68,-15,58,Normal
2026-02-14 08:56:40.918469,Dubai-ff68,-25,79,Normal
2026-02-14 08:56:41.918469,Dubai-ff68,34,53,Normal
2026-02-14 08:56:42.918469,Dubai-ff68,15,57,Normal
2026-02-14 08:56:43.918469,Dubai-ff68,44,53,Normal
2026-02-14 08:56:44.918469,Dubai-ff68,-24,23,Normal
2026-02-14 08:56:45.918469,Dubai-ff68,48,62,Normal
2026-02-14 08:56:46.918469,Dubai-ff68,36,8,Normal
2026-02-14 08:56:47.918469,Dubai-ff68,-3,24,Normal
2026-02-14 08:56:48.918469,Dubai-ff68,27,42,Normal
2026-02-14 08:56:49.918469,Dubai-ff68,24,89,Normal
2026-02-14 08:56:50.918469,Dubai-ff68,-24,60,Normal
2026-02-14 08:56:51.918469,Dubai-ff68,49,13,Normal
2026-02-14 08:56:52.918469,Dubai-ff68,-3,60,Normal
2026-02-14 08:56:53.918469,Dubai-ff68,7,36,Normal
2026-02-14 08:56:54.918469,Dubai-ff68,-28,22,Normal
2026-02-14 08:56:55.918469,Dubai-ff68,24,89,Normal
2026-02-14 08:56:56.918469,Dubai-ff68,5,0,Normal
2026-02-14 08:56:57.918469,Dubai-ff68,-16,25,Normal
2026-02-14 08:56:58.918469,Dubai-ff68,16,12,Normal
2026-02-14 08:56:59.918469,Dubai-ff68,27,23,Normal
2026-02-14 08:57:00.918469,Dubai-ff68,-10,51,Normal
2026-02-14 08:57:01.918469,Dubai-ff68,-13,53,Normal
2026-02-14 08:57:02.918469,Dubai-ff68,19,87,Normal
2026-02-14 08:57:03.918469,Dubai-ff68,-23,74,Normal
2026-02-14 08:57:04.918469,Dubai-ff68,14,12,Normal
2026-02-14 08:57:05.918469,Dubai-ff68,11,87,Normal
2026-02-14 08:57:06.918469,Dubai-ff68,26,26,Normal
2026-02-14 08:57:07.918469,Dubai-ff68,18,74,Normal
2026-02-14 08:57:08.918469,Dubai-ff68,15,100,Normal
2026-02-14 08:57:09.918469,Dubai-ff68,27,76,Normal
2026-02-14 08:57:10.918469,Dubai-ff68,-14,31,Normal
2026-02-14 08:57:11.918469,Dubai-ff68,28,81,Normal
2026-02-14 08:57:12.918469,Dubai-ff68,-15,78,Normal
2026-02-14 08:57:13.918469,Dubai-ff68,-30,59,Normal
2026-02-14 08:57:14.918469,Dubai-ff68,0,60,Normal
2026-02-14 08:57:15.918469,Dubai-ff68,30,38,Normal
2026-02-14 08:57:16.918469,Dubai-ff68,-16,9,Normal
2026-02-14 08:57:17.918469,Dubai-ff68,-2,91,Normal
2026-02-14 08:57:18.918469,Dubai-ff68,-17,27,Normal
2026-02-14 08:57:19.918469,Dubai-ff68,-4,66,Normal
2026-02-14 08:57:20.918469,Dubai-ff68,4,57,Normal
2026-02-14 08:57:21.918469,Dubai-ff68,-28,21,Normal
2026-02-14 08:57:22.918469,Dubai-ff68,-25,51,Normal
2026-02-14 08:57:23.918469,Dubai-ff68,49,34,Normal
2026-02-14 08:57:24.918469,Dubai-ff68,-9,96,Normal
2026-02-14 08:57:25.918469,Dubai-ff68,-19,3,Normal
2026-02-14 08:57:26.918469,Dubai-ff68,0,83,Normal
2026-02-14 08:57:27.918469,Dubai-ff68,-10,57,Normal
2026-02-14 08:57:28.918469,Dubai-ff68,15,59,Normal
2026-02-14 08:57:29.918469,Dubai-ff68,5,0,Normal
2026-02-14 08:57:30.918469,Dubai-ff68,21,53,Normal
2026-02-14 08:57:31.918469,Dubai-ff68,-16,100,Normal
2026-02-14 08:57:32.918469,Dubai-ff68,41,27,Normal
2026-02-14 08:57:33.918469,Dubai-ff68,-11,59,Normal
2026-02-14 08:57:34.918469,Dubai-ff68,-16,76,Normal
2026-02-14 08:57:35.918469,Dubai-ff68,17,34,Normal
2026-02-14 08:57:36.918469,Dubai-ff68,38,25,Normal
2026-02-14 08:57:37.918469,Dubai-ff68,-11,88,Normal
2026-02-14 08:57:38.918469,Dubai-ff68,-25,55,Normal
2026-02-14 08:57:39.918469,Dubai-ff68,-20,15,Normal
2026-02-14 08:57:40.918469,Dubai-ff68,6,10,Normal
2026-02-14 08:57:41.918469,Dubai-ff68,14,62,Normal
2026-02-14 08:57:42.918469,Dubai-ff68,-15,45,Normal
2026-02-14 08:57:43.918469,Dubai-ff68,22,0,Normal
2026-02-14 08:57:44.918469,Dubai-ff68,-19,59,Normal
2026-02-14 08:57:45.918469,Dubai-ff68,32,58,Normal
2026-02-14 08:57:46.918469,Dubai-ff68,3,67,Normal
2026-02-14 08:57:47.918469,Dubai-ff68,-30,71,Normal
2026-02-14 08:57:48.918469,Dubai-ff68,-18,52,Normal
2026-02-14 08:57:49.918469,Dubai-ff68,22,81,Normal
2026-02-14 08:57:50.918469,Dubai-ff68,-17,60,Normal
2026-02-14 08:57:51.918469,Dubai-ff68,26,60,Normal
2026-02-14 08:57:52.918469,Dubai-ff68,18,4,Normal
2026-02-14 08:57:53.918469,Dubai-ff68,-12,33,Normal
2026-02-14 08:57:54.918469,Dubai-ff68,-10,64,Normal
2026-02-14 08:57:55.918469,Dubai-ff68,-15,19,Normal
2026-02-14 08:57:56.918469,Dubai-ff68,-23,91,Normal
2026-02-14 08:57:57.918469,Dubai-ff68,6,100,Normal
2026-02-14 08:57:58.918469,Dubai-ff68,-16,92,Normal
2026-02-14 08:57:59.918469,Dubai-ff68,19,43,Normal
2026-02-14 08:58:00.918469,Dubai-ff68,49,48,Normal
2026-02-14 08:58:01.918469,Dubai-ff68,-29,60,Normal
2026-02-14 08:58:02.918469,Dubai-ff68,-14,32,Normal
2026-02-14 08:58:03.918469,Dubai-ff68,14,14,Normal
2026-02-14 08:58:04.918469,Dubai-ff68,0,5,Normal
2026-02-14 08:58:05.918469,Dubai-ff68,-16,33,Normal
2026-02-14 08:58:06.918469,Dubai-ff68,17,57,Normal
2026-02-14 08:58:07.918469,Dubai-ff68,-27,93,Normal
2026-02-14 08:58:08.918469,Dubai-ff68,-19,24,Normal
2026-02-14 08:58:09.918469,Dubai-ff68,4,51,Normal
2026-02-14 08:58:10.918469,Dubai-ff68,42,47,Normal
2026-02-14 08:58:11.918469,Dubai-ff68,10,38,Normal
2026-02-14 08:58:12.918469,Dubai-ff68,38,81,Normal
2026-02-14 08:58:13.918469,Dubai-ff68,19,93,Normal
