timestamp,station_id,temp,humid,condition
2026-04-29 12:21:13.263123,London-48f1,-10,51,Normal
2026-04-29 12:21:14.263123,London-48f1,11,13,Normal
2026-04-29 12:21:15.263123,London-48f1,44,23,Normal
2026-04-29 12:21:16.263123,London-48f1,-20,4,Normal
2026-04-29 12:21:17.263123,London-48f1,-11,33,Normal
2026-04-29 12:21:18.263123,London-48f1,-11,13,Normal
2026-04-29 12:21:19.263123,London-48f1,-11,46,Normal
2026-04-29 12:21:20.263123,London-48f1,19,21,Normal
2026-04-29 12:21:21.263123,London-48f1,42,5,Normal
2026-04-29 12:21:22.263123,London-48f1,4,17,Normal
2026-04-29 12:21:23.263123,London-48f1,39,88,Normal
2026-04-29 12:21:24.263123,London-48f1,14,5,Normal
2026-04-29 12:21:25.263123,London-48f1,15,85,Normal
2026-04-29 12:21:26.263123,London-48f1,-15,47,Normal
2026-04-29 12:21:27.263123,London-48f1,20,22,Normal
2026-04-29 12:21:28.263123,London-48f1,22,15,Normal
2026-04-29 12:21:29.263123,London-48f1,13,45,Normal
2026-04-29 12:21:30.263123,London-48f1,3,20,Normal
2026-04-29 12:21:31.263123,London-48f1,38,42,Normal
2026-04-29 12:21:32.263123,London-48f1,12,24,Normal
2026-04-29 12:21:33.263123,London-48f1,-19,31,Normal
2026-04-29 12:21:34.263123,London-48f1,38,99,Normal
2026-04-29 12:21:35.263123,London-48f1,9,89,Normal
2026-04-29 12:21:36.263123,London-48f1,42,99,Normal
2026-04-29 12:21:37.263123,London-48f1,41,99,Normal
2026-04-29 12:21:38.263123,London-48f1,24,94,Normal
2026-04-29 12:21:39.263123,London-48f1,32,93,Normal
2026-04-29 12:21:40.263123,London-48f1,-8,44,Normal
2026-04-29 12:21:41.263123,London-48f1,34,87,Normal
2026-04-29 12:21:42.263123,London-48f1,45,18,Normal
2026-04-29 12:21:43.263123,London-48f1,15,60,Normal
2026-04-29 12:21:44.263123,London-48f1,41,90,Normal
2026-04-29 12:21:45.263123,London-48f1,40,49,Normal
2026-04-29 12:21:46.263123,London-48f1,43,44,Normal
2026-04-29 12:21:47.263123,London-48f1,11,25,Normal
2026-04-29 12:21:48.263123,London-48f1,9,37,Normal
2026-04-29 12:21:49.263123,London-48f1,-11,28,Normal
2026-04-29 12:21:50.263123,London-48f1,45,42,Normal
2026-04-29 12:21:51.263123,London-48f1,-9,45,Normal
2026-04-29 12:21:52.263123,London-48f1,-6,25,Normal
2026-04-29 12:21:53.263123,London-48f1,42,83,Normal
2026-04-29 12:21:54.263123,London-48f1,4,7,Normal
2026-04-29 12:21:55.263123,London-48f1,37,4,Normal
2026-04-29 12:21:56.263123,London-48f1,33,41,Normal
2026-04-29 12:21:57.263123,London-48f1,39,10,Normal
