timestamp,station_id,temp,humid,condition
2026-02-14 23:51:21.693632,London-4e20,-10,95,Normal
2026-02-14 23:51:22.693632,London-4e20,-19,91,Normal
2026-02-14 23:51:23.693632,London-4e20,10,70,Normal
2026-02-14 23:51:24.693632,London-4e20,19,44,Normal
2026-02-14 23:51:25.693632,London-4e20,7,54,Normal
2026-02-14 23:51:26.693632,London-4e20,34,84,Normal
2026-02-14 23:51:27.693632,London-4e20,15,17,Normal
2026-02-14 23:51:28.693632,London-4e20,-28,85,Normal
2026-02-14 23:51:29.693632,London-4e20,39,64,Normal
2026-02-14 23:51:30.693632,London-4e20,13,86,Normal
2026-02-14 23:51:31.693632,London-4e20,0,46,Normal
2026-02-14 23:51:32.693632,London-4e20,49,7,Normal
2026-02-14 23:51:33.693632,London-4e20,49,1,Normal
2026-02-14 23:51:34.693632,London-4e20,50,88,Normal
2026-02-14 23:51:35.693632,London-4e20,46,57,Normal
2026-02-14 23:51:36.693632,London-4e20,-12,60,Normal
2026-02-14 23:51:37.693632,London-4e20,33,48,Normal
2026-02-14 23:51:38.693632,London-4e20,43,58,Normal
2026-02-14 23:51:39.693632,London-4e20,34,10,Normal
2026-02-14 23:51:40.693632,London-4e20,26,89,Normal
2026-02-14 23:51:41.693632,London-4e20,11,55,Normal
2026-02-14 23:51:42.693632,London-4e20,-2,52,Normal
2026-02-14 23:51:43.693632,London-4e20,5,100,Normal
2026-02-14 23:51:44.693632,London-4e20,16,44,Normal
2026-02-14 23:51:45.693632,London-4e20,12,38,Normal
2026-02-14 23:51:46.693632,London-4e20,25,69,Normal
2026-02-14 23:51:47.693632,London-4e20,-10,50,Normal
2026-02-14 23:51:48.693632,London-4e20,-12,24,Normal
2026-02-14 23:51:49.693632,London-4e20,-11,90,Normal
2026-02-14 23:51:50.693632,London-4e20,30,63,Normal
2026-02-14 23:51:51.693632,London-4e20,39,37,Normal
2026-02-14 23:51:52.693632,London-4e20,-23,44,Normal
2026-02-14 23:51:53.693632,London-4e20,-9,67,Normal
2026-02-14 23:51:54.693632,London-4e20,39,10,Normal
2026-02-14 23:51:55.693632,London-4e20,35,83,Normal
2026-02-14 23:51:56.693632,London-4e20,21,21,Normal
2026-02-14 23:51:57.693632,London-4e20,45,53,Normal
2026-02-14 23:51:58.693632,London-4e20,-7,80,Normal
2026-02-14 23:51:59.693632,London-4e20,3,55,Normal
2026-02-14 23:52:00.693632,London-4e20,-7,97,Normal
2026-02-14 23:52:01.693632,London-4e20,23,77,Normal
2026-02-14 23:52:02.693632,London-4e20,43,4,Normal
