timestamp,station_id,temp,humid,condition
2026-02-14 10:53:50.708105,London-62ae,41,59,Normal
2026-02-14 10:53:51.708105,London-62ae,0,35,Normal
2026-02-14 10:53:52.708105,London-62ae,45,71,Normal
2026-02-14 10:53:53.708105,London-62ae,21,30,Normal
2026-02-14 10:53:54.708105,London-62ae,-19,69,Normal
2026-02-14 10:53:55.708105,London-62ae,27,24,Normal
2026-02-14 10:53:56.708105,London-62ae,-9,71,Normal
2026-02-14 10:53:57.708105,London-62ae,42,67,Normal
2026-02-14 10:53:58.708105,London-62ae,-19,75,Normal
2026-02-14 10:53:59.708105,London-62ae,46,40,Normal
2026-02-14 10:54:00.708105,London-62ae,-2,6,Normal
2026-02-14 10:54:01.708105,London-62ae,-5,79,Normal
2026-02-14 10:54:02.708105,London-62ae,-13,10,Normal
2026-02-14 10:54:03.708105,London-62ae,-21,4,Normal
2026-02-14 10:54:04.708105,London-62ae,8,77,Normal
2026-02-14 10:54:05.708105,London-62ae,43,0,Normal
2026-02-14 10:54:06.708105,London-62ae,3,1,Normal
2026-02-14 10:54:07.708105,London-62ae,31,79,Normal
2026-02-14 10:54:08.708105,London-62ae,1,83,Normal
2026-02-14 10:54:09.708105,London-62ae,18,79,Normal
2026-02-14 10:54:10.708105,London-62ae,31,55,Normal
2026-02-14 10:54:11.708105,London-62ae,33,72,Normal
2026-02-14 10:54:12.708105,London-62ae,29,52,Normal
2026-02-14 10:54:13.708105,London-62ae,-10,79,Normal
2026-02-14 10:54:14.708105,London-62ae,25,54,Normal
2026-02-14 10:54:15.708105,London-62ae,6,7,Normal
2026-02-14 10:54:16.708105,London-62ae,-28,6,Normal
2026-02-14 10:54:17.708105,London-62ae,35,60,Normal
2026-02-14 10:54:18.708105,London-62ae,16,37,Normal
2026-02-14 10:54:19.708105,London-62ae,-21,67,Normal
2026-02-14 10:54:20.708105,London-62ae,23,85,Normal
2026-02-14 10:54:21.708105,London-62ae,-17,43,Normal
2026-02-14 10:54:22.708105,London-62ae,-22,47,Normal
2026-02-14 10:54:23.708105,London-62ae,-8,8,Normal
2026-02-14 10:54:24.708105,London-62ae,-19,31,Normal
2026-02-14 10:54:25.708105,London-62ae,-18,4,Normal
2026-02-14 10:54:26.708105,London-62ae,42,36,Normal
2026-02-14 10:54:27.708105,London-62ae,-23,78,Normal
2026-02-14 10:54:28.708105,London-62ae,32,88,Normal
2026-02-14 10:54:29.708105,London-62ae,14,44,Normal
2026-02-14 10:54:30.708105,London-62ae,-12,23,Normal
2026-02-14 10:54:31.708105,London-62ae,29,15,Normal
2026-02-14 10:54:32.708105,London-62ae,0,17,Normal
2026-02-14 10:54:33.708105,London-62ae,7,39,Normal
2026-02-14 10:54:34.708105,London-62ae,-28,61,Normal
2026-02-14 10:54:35.708105,London-62ae,20,35,Normal
2026-02-14 10:54:36.708105,London-62ae,22,96,Normal
2026-02-14 10:54:37.708105,London-62ae,-20,74,Normal
2026-02-14 10:54:38.708105,London-62ae,13,30,Normal
2026-02-14 10:54:39.708105,London-62ae,10,43,Normal
2026-02-14 10:54:40.708105,London-62ae,-14,27,Normal
2026-02-14 10:54:41.708105,London-62ae,40,23,Normal
2026-02-14 10:54:42.708105,London-62ae,19,53,Normal
2026-02-14 10:54:43.708105,London-62ae,20,80,Normal
2026-02-14 10:54:44.708105,London-62ae,38,39,Normal
2026-02-14 10:54:45.708105,London-62ae,4,41,Normal
2026-02-14 10:54:46.708105,London-62ae,-6,58,Normal
2026-02-14 10:54:47.708105,London-62ae,21,86,Normal
2026-02-14 10:54:48.708105,London-62ae,-25,42,Normal
2026-02-14 10:54:49.708105,London-62ae,24,63,Normal
2026-02-14 10:54:50.708105,London-62ae,45,96,Normal
2026-02-14 10:54:51.708105,London-62ae,-19,12,Normal
2026-02-14 10:54:52.708105,London-62ae,-28,15,Normal
2026-02-14 10:54:53.708105,London-62ae,1,17,Normal
2026-02-14 10:54:54.708105,London-62ae,-15,29,Normal
2026-02-14 10:54:55.708105,London-62ae,-17,45,Normal
2026-02-14 10:54:56.708105,London-62ae,-6,15,Normal
2026-02-14 10:54:57.708105,London-62ae,-8,65,Normal
2026-02-14 10:54:58.708105,London-62ae,-9,22,Normal
2026-02-14 10:54:59.708105,London-62ae,39,90,Normal
2026-02-14 10:55:00.708105,London-62ae,15,80,Normal
2026-02-14 10:55:01.708105,London-62ae,-22,24,Normal
2026-02-14 10:55:02.708105,London-62ae,-20,52,Normal
2026-02-14 10:55:03.708105,London-62ae,43,8,Normal
2026-02-14 10:55:04.708105,London-62ae,-3,75,Normal
2026-02-14 10:55:05.708105,London-62ae,14,65,Normal
2026-02-14 10:55:06.708105,London-62ae,50,34,Normal
2026-02-14 10:55:07.708105,London-62ae,-15,49,Normal
2026-02-14 10:55:08.708105,London-62ae,-19,79,Normal
2026-02-14 10:55:09.708105,London-62ae,3,0,Normal
2026-02-14 10:55:10.708105,London-62ae,-1,83,Normal
2026-02-14 10:55:11.708105,London-62ae,46,5,Normal
2026-02-14 10:55:12.708105,London-62ae,37,89,Normal
2026-02-14 10:55:13.708105,London-62ae,34,99,Normal
2026-02-14 10:55:14.708105,London-62ae,25,70,Normal
2026-02-14 10:55:15.708105,London-62ae,-22,24,Normal
2026-02-14 10:55:16.708105,London-62ae,-19,6,Normal
2026-02-14 10:55:17.708105,London-62ae,31,35,Normal
2026-02-14 10:55:18.708105,London-62ae,19,21,Normal
2026-02-14 10:55:19.708105,London-62ae,-16,32,Normal
2026-02-14 10:55:20.708105,London-62ae,36,84,Normal
2026-02-14 10:55:21.708105,London-62ae,11,31,Normal
2026-02-14 10:55:22.708105,London-62ae,25,7,Normal
2026-02-14 10:55:23.708105,London-62ae,-18,4,Normal
2026-02-14 10:55:24.708105,London-62ae,-6,65,Normal
2026-02-14 10:55:25.708105,London-62ae,-25,5,Normal
2026-02-14 10:55:26.708105,London-62ae,38,50,Normal
2026-02-14 10:55:27.708105,London-62ae,14,40,Normal
2026-02-14 10:55:28.708105,London-62ae,-19,79,Normal
2026-02-14 10:55:29.708105,London-62ae,-24,67,Normal
2026-02-14 10:55:30.708105,London-62ae,1,15,Normal
2026-02-14 10:55:31.708105,London-62ae,23,8,Normal
