timestamp,station_id,temp,humid,condition
2026-02-16 13:50:29.363503,London-6fd7,42,43,Normal
2026-02-16 13:50:30.363503,London-6fd7,-29,41,Normal
2026-02-16 13:50:31.363503,London-6fd7,21,47,Normal
2026-02-16 13:50:32.363503,London-6fd7,24,18,Normal
2026-02-16 13:50:33.363503,London-6fd7,-26,55,Normal
2026-02-16 13:50:34.363503,London-6fd7,29,72,Normal
2026-02-16 13:50:35.363503,London-6fd7,37,91,Normal
2026-02-16 13:50:36.363503,London-6fd7,-10,69,Normal
2026-02-16 13:50:37.363503,London-6fd7,18,85,Normal
2026-02-16 13:50:38.363503,London-6fd7,21,9,Normal
2026-02-16 13:50:39.363503,London-6fd7,-1,26,Normal
2026-02-16 13:50:40.363503,London-6fd7,-30,51,Normal
2026-02-16 13:50:41.363503,London-6fd7,-28,78,Normal
2026-02-16 13:50:42.363503,London-6fd7,-5,22,Normal
2026-02-16 13:50:43.363503,London-6fd7,-8,55,Normal
2026-02-16 13:50:44.363503,London-6fd7,-24,79,Normal
2026-02-16 13:50:45.363503,London-6fd7,-11,7,Normal
2026-02-16 13:50:46.363503,London-6fd7,28,11,Normal
2026-02-16 13:50:47.363503,London-6fd7,-16,56,Normal
2026-02-16 13:50:48.363503,London-6fd7,-17,5,Normal
2026-02-16 13:50:49.363503,London-6fd7,-1,23,Normal
2026-02-16 13:50:50.363503,London-6fd7,-13,66,Normal
2026-02-16 13:50:51.363503,London-6fd7,31,56,Normal
2026-02-16 13:50:52.363503,London-6fd7,46,30,Normal
2026-02-16 13:50:53.363503,London-6fd7,17,91,Normal
2026-02-16 13:50:54.363503,London-6fd7,49,59,Normal
2026-02-16 13:50:55.363503,London-6fd7,9,56,Normal
2026-02-16 13:50:56.363503,London-6fd7,-22,25,Normal
2026-02-16 13:50:57.363503,London-6fd7,25,39,Normal
2026-02-16 13:50:58.363503,London-6fd7,-5,85,Normal
2026-02-16 13:50:59.363503,London-6fd7,27,59,Normal
2026-02-16 13:51:00.363503,London-6fd7,44,78,Normal
2026-02-16 13:51:01.363503,London-6fd7,32,51,Normal
2026-02-16 13:51:02.363503,London-6fd7,-2,71,Normal
2026-02-16 13:51:03.363503,London-6fd7,-26,25,Normal
2026-02-16 13:51:04.363503,London-6fd7,-1,57,Normal
2026-02-16 13:51:05.363503,London-6fd7,30,88,Normal
2026-02-16 13:51:06.363503,London-6fd7,9,12,Normal
2026-02-16 13:51:07.363503,London-6fd7,-22,81,Normal
2026-02-16 13:51:08.363503,London-6fd7,14,0,Normal
2026-02-16 13:51:09.363503,London-6fd7,3,77,Normal
2026-02-16 13:51:10.363503,London-6fd7,47,58,Normal
2026-02-16 13:51:11.363503,London-6fd7,20,51,Normal
2026-02-16 13:51:12.363503,London-6fd7,-30,79,Normal
2026-02-16 13:51:13.363503,London-6fd7,-28,48,Normal
2026-02-16 13:51:14.363503,London-6fd7,1,33,Normal
2026-02-16 13:51:15.363503,London-6fd7,41,54,Normal
2026-02-16 13:51:16.363503,London-6fd7,3,37,Normal
2026-02-16 13:51:17.363503,London-6fd7,-21,65,Normal
2026-02-16 13:51:18.363503,London-6fd7,18,82,Normal
2026-02-16 13:51:19.363503,London-6fd7,19,91,Normal
2026-02-16 13:51:20.363503,London-6fd7,39,11,Normal
2026-02-16 13:51:21.363503,London-6fd7,33,38,Normal
2026-02-16 13:51:22.363503,London-6fd7,49,28,Normal
2026-02-16 13:51:23.363503,London-6fd7,30,21,Normal
2026-02-16 13:51:24.363503,London-6fd7,0,50,Normal
2026-02-16 13:51:25.363503,London-6fd7,22,67,Normal
2026-02-16 13:51:26.363503,London-6fd7,-23,99,Normal
2026-02-16 13:51:27.363503,London-6fd7,-6,6,Normal
2026-02-16 13:51:28.363503,London-6fd7,-13,86,Normal
2026-02-16 13:51:29.363503,London-6fd7,-17,55,Normal
2026-02-16 13:51:30.363503,London-6fd7,-19,23,Normal
2026-02-16 13:51:31.363503,London-6fd7,-15,88,Normal
2026-02-16 13:51:32.363503,London-6fd7,8,6,Normal
2026-02-16 13:51:33.363503,London-6fd7,45,12,Normal
2026-02-16 13:51:34.363503,London-6fd7,-3,0,Normal
2026-02-16 13:51:35.363503,London-6fd7,17,68,Normal
2026-02-16 13:51:36.363503,London-6fd7,3,47,Normal
2026-02-16 13:51:37.363503,London-6fd7,49,64,Normal
2026-02-16 13:51:38.363503,London-6fd7,4,67,Normal
2026-02-16 13:51:39.363503,London-6fd7,7,75,Normal
2026-02-16 13:51:40.363503,London-6fd7,3,67,Normal
2026-02-16 13:51:41.363503,London-6fd7,42,31,Normal
2026-02-16 13:51:42.363503,London-6fd7,36,0,Normal
2026-02-16 13:51:43.363503,London-6fd7,9,88,Normal
2026-02-16 13:51:44.363503,London-6fd7,36,88,Normal
2026-02-16 13:51:45.363503,London-6fd7,45,38,Normal
2026-02-16 13:51:46.363503,London-6fd7,16,37,Normal
2026-02-16 13:51:47.363503,London-6fd7,39,56,Normal
2026-02-16 13:51:48.363503,London-6fd7,26,21,Normal
2026-02-16 13:51:49.363503,London-6fd7,29,82,Normal
2026-02-16 13:51:50.363503,London-6fd7,39,69,Normal
2026-02-16 13:51:51.363503,London-6fd7,20,16,Normal
2026-02-16 13:51:52.363503,London-6fd7,-13,95,Normal
2026-02-16 13:51:53.363503,London-6fd7,6,74,Normal
2026-02-16 13:51:54.363503,London-6fd7,-9,36,Normal
2026-02-16 13:51:55.363503,London-6fd7,16,39,Normal
2026-02-16 13:51:56.363503,London-6fd7,20,21,Normal
2026-02-16 13:51:57.363503,London-6fd7,-12,7,Normal
2026-02-16 13:51:58.363503,London-6fd7,41,40,Normal
2026-02-16 13:51:59.363503,London-6fd7,34,73,Normal
2026-02-16 13:52:00.363503,London-6fd7,-29,15,Normal
2026-02-16 13:52:01.363503,London-6fd7,7,48,Normal
2026-02-16 13:52:02.363503,London-6fd7,11,22,Normal
2026-02-16 13:52:03.363503,London-6fd7,-8,0,Normal
2026-02-16 13:52:04.363503,London-6fd7,50,14,Normal
2026-02-16 13:52:05.363503,London-6fd7,38,99,Normal
2026-02-16 13:52:06.363503,London-6fd7,12,38,Normal
2026-02-16 13:52:07.363503,London-6fd7,0,6,Normal
2026-02-16 13:52:08.363503,London-6fd7,0,61,Normal
2026-02-16 13:52:09.363503,London-6fd7,-10,74,Normal
2026-02-16 13:52:10.363503,London-6fd7,-24,12,Normal
2026-02-16 13:52:11.363503,London-6fd7,-14,98,Normal
2026-02-16 13:52:12.363503,London-6fd7,15,47,Normal
2026-02-16 13:52:13.363503,London-6fd7,10,25,Normal
2026-02-16 13:52:14.363503,London-6fd7,-27,96,Normal
2026-02-16 13:52:15.363503,London-6fd7,-29,86,Normal
2026-02-16 13:52:16.363503,London-6fd7,-7,92,Normal
2026-02-16 13:52:17.363503,London-6fd7,22,34,Normal
2026-02-16 13:52:18.363503,London-6fd7,-26,16,Normal
2026-02-16 13:52:19.363503,London-6fd7,-17,38,Normal
2026-02-16 13:52:20.363503,London-6fd7,-30,58,Normal
2026-02-16 13:52:21.363503,London-6fd7,34,10,Normal
2026-02-16 13:52:22.363503,London-6fd7,-24,72,Normal
2026-02-16 13:52:23.363503,London-6fd7,23,7,Normal
2026-02-16 13:52:24.363503,London-6fd7,5,74,Normal
2026-02-16 13:52:25.363503,London-6fd7,8,92,Normal
2026-02-16 13:52:26.363503,London-6fd7,21,63,Normal
2026-02-16 13:52:27.363503,London-6fd7,32,21,Normal
2026-02-16 13:52:28.363503,London-6fd7,-16,52,Normal
2026-02-16 13:52:29.363503,London-6fd7,1,79,Normal
2026-02-16 13:52:30.363503,London-6fd7,-27,92,Normal
2026-02-16 13:52:31.363503,London-6fd7,34,28,Normal
2026-02-16 13:52:32.363503,London-6fd7,41,95,Normal
2026-02-16 13:52:33.363503,London-6fd7,44,28,Normal
2026-02-16 13:52:34.363503,London-6fd7,6,27,Normal
2026-02-16 13:52:35.363503,London-6fd7,0,33,Normal
2026-02-16 13:52:36.363503,London-6fd7,-4,17,Normal
2026-02-16 13:52:37.363503,London-6fd7,-17,88,Normal
2026-02-16 13:52:38.363503,London-6fd7,39,10,Normal
2026-02-16 13:52:39.363503,London-6fd7,3,5,Normal
2026-02-16 13:52:40.363503,London-6fd7,46,85,Normal
2026-02-16 13:52:41.363503,London-6fd7,-9,83,Normal
2026-02-16 13:52:42.363503,London-6fd7,44,75,Normal
2026-02-16 13:52:43.363503,London-6fd7,13,89,Normal
2026-02-16 13:52:44.363503,London-6fd7,20,56,Normal
2026-02-16 13:52:45.363503,London-6fd7,-12,82,Normal
2026-02-16 13:52:46.363503,London-6fd7,-18,50,Normal
2026-02-16 13:52:47.363503,London-6fd7,-2,66,Normal
2026-02-16 13:52:48.363503,London-6fd7,-11,32,Normal
2026-02-16 13:52:49.363503,London-6fd7,1,27,Normal
2026-02-16 13:52:50.363503,London-6fd7,12,24,Normal
2026-02-16 13:52:51.363503,London-6fd7,-8,59,Normal
2026-02-16 13:52:52.363503,London-6fd7,4,17,Normal
2026-02-16 13:52:53.363503,London-6fd7,-18,66,Normal
2026-02-16 13:52:54.363503,London-6fd7,33,91,Normal
2026-02-16 13:52:55.363503,London-6fd7,1,35,Normal
2026-02-16 13:52:56.363503,London-6fd7,-16,81,Normal
2026-02-16 13:52:57.363503,London-6fd7,34,40,Normal
2026-02-16 13:52:58.363503,London-6fd7,48,62,Normal
2026-02-16 13:52:59.363503,London-6fd7,7,61,Normal
2026-02-16 13:53:00.363503,London-6fd7,-20,63,Normal
2026-02-16 13:53:01.363503,London-6fd7,-7,30,Normal
2026-02-16 13:53:02.363503,London-6fd7,-13,92,Normal
2026-02-16 13:53:03.363503,London-6fd7,22,69,Normal
2026-02-16 13:53:04.363503,London-6fd7,0,53,Normal
2026-02-16 13:53:05.363503,London-6fd7,47,77,Normal
2026-02-16 13:53:06.363503,London-6fd7,13,43,Normal
2026-02-16 13:53:07.363503,London-6fd7,36,83,Normal
2026-02-16 13:53:08.363503,London-6fd7,-21,93,Normal
2026-02-16 13:53:09.363503,London-6fd7,9,53,Normal
2026-02-16 13:53:10.363503,London-6fd7,-15,53,Normal
2026-02-16 13:53:11.363503,London-6fd7,-13,8,Normal
2026-02-16 13:53:12.363503,London-6fd7,21,97,Normal
2026-02-16 13:53:13.363503,London-6fd7,-23,12,Normal
2026-02-16 13:53:14.363503,London-6fd7,-8,2,Normal
2026-02-16 13:53:15.363503,London-6fd7,44,0,Normal
2026-02-16 13:53:16.363503,London-6fd7,36,35,Normal
2026-02-16 13:53:17.363503,London-6fd7,38,82,Normal
2026-02-16 13:53:18.363503,London-6fd7,29,75,Normal
2026-02-16 13:53:19.363503,London-6fd7,-12,67,Normal
2026-02-16 13:53:20.363503,London-6fd7,-9,42,Normal
2026-02-16 13:53:21.363503,London-6fd7,-10,13,Normal
2026-02-16 13:53:22.363503,London-6fd7,-29,72,Normal
2026-02-16 13:53:23.363503,London-6fd7,-15,27,Normal
2026-02-16 13:53:24.363503,London-6fd7,-3,53,Normal
2026-02-16 13:53:25.363503,London-6fd7,-7,91,Normal
2026-02-16 13:53:26.363503,London-6fd7,-27,86,Normal
2026-02-16 13:53:27.363503,London-6fd7,12,4,Normal
2026-02-16 13:53:28.363503,London-6fd7,36,1,Normal
2026-02-16 13:53:29.363503,London-6fd7,13,35,Normal
2026-02-16 13:53:30.363503,London-6fd7,-23,82,Normal
2026-02-16 13:53:31.363503,London-6fd7,-18,6,Normal
2026-02-16 13:53:32.363503,London-6fd7,-14,41,Normal
2026-02-16 13:53:33.363503,London-6fd7,17,48,Normal
2026-02-16 13:53:34.363503,London-6fd7,27,42,Normal
2026-02-16 13:53:35.363503,London-6fd7,-5,37,Normal
2026-02-16 13:53:36.363503,London-6fd7,11,58,Normal
2026-02-16 13:53:37.363503,London-6fd7,49,40,Normal
2026-02-16 13:53:38.363503,London-6fd7,24,13,Normal
2026-02-16 13:53:39.363503,London-6fd7,-8,45,Normal
2026-02-16 13:53:40.363503,London-6fd7,16,55,Normal
2026-02-16 13:53:41.363503,London-6fd7,30,64,Normal
2026-02-16 13:53:42.363503,London-6fd7,-26,70,Normal
2026-02-16 13:53:43.363503,London-6fd7,11,18,Normal
2026-02-16 13:53:44.363503,London-6fd7,21,29,Normal
2026-02-16 13:53:45.363503,London-6fd7,3,100,Normal
2026-02-16 13:53:46.363503,London-6fd7,-16,2,Normal
2026-02-16 13:53:47.363503,London-6fd7,47,7,Normal
2026-02-16 13:53:48.363503,London-6fd7,-13,93,Normal
2026-02-16 13:53:49.363503,London-6fd7,20,30,Normal
2026-02-16 13:53:50.363503,London-6fd7,-30,78,Normal
2026-02-16 13:53:51.363503,London-6fd7,15,12,Normal
2026-02-16 13:53:52.363503,London-6fd7,32,86,Normal
2026-02-16 13:53:53.363503,London-6fd7,7,31,Normal
2026-02-16 13:53:54.363503,London-6fd7,24,73,Normal
2026-02-16 13:53:55.363503,London-6fd7,26,67,Normal
2026-02-16 13:53:56.363503,London-6fd7,10,34,Normal
2026-02-16 13:53:57.363503,London-6fd7,-24,65,Normal
2026-02-16 13:53:58.363503,London-6fd7,46,52,Normal
2026-02-16 13:53:59.363503,London-6fd7,22,77,Normal
2026-02-16 13:54:00.363503,London-6fd7,-19,40,Normal
2026-02-16 13:54:01.363503,London-6fd7,23,5,Normal
2026-02-16 13:54:02.363503,London-6fd7,50,54,Normal
2026-02-16 13:54:03.363503,London-6fd7,49,44,Normal
2026-02-16 13:54:04.363503,London-6fd7,-21,24,Normal
2026-02-16 13:54:05.363503,London-6fd7,2,15,Normal
2026-02-16 13:54:06.363503,London-6fd7,-7,84,Normal
2026-02-16 13:54:07.363503,London-6fd7,28,27,Normal
2026-02-16 13:54:08.363503,London-6fd7,15,74,Normal
2026-02-16 13:54:09.363503,London-6fd7,40,88,Normal
2026-02-16 13:54:10.363503,London-6fd7,31,48,Normal
2026-02-16 13:54:11.363503,London-6fd7,-26,97,Normal
2026-02-16 13:54:12.363503,London-6fd7,1,88,Normal
2026-02-16 13:54:13.363503,London-6fd7,-23,33,Normal
2026-02-16 13:54:14.363503,London-6fd7,-13,52,Normal
2026-02-16 13:54:15.363503,London-6fd7,21,53,Normal
2026-02-16 13:54:16.363503,London-6fd7,12,64,Normal
2026-02-16 13:54:17.363503,London-6fd7,-4,40,Normal
2026-02-16 13:54:18.363503,London-6fd7,-2,31,Normal
2026-02-16 13:54:19.363503,London-6fd7,2,88,Normal
2026-02-16 13:54:20.363503,London-6fd7,8,80,Normal
2026-02-16 13:54:21.363503,London-6fd7,23,58,Normal
2026-02-16 13:54:22.363503,London-6fd7,31,7,Normal
2026-02-16 13:54:23.363503,London-6fd7,-18,61,Normal
2026-02-16 13:54:24.363503,London-6fd7,49,85,Normal
2026-02-16 13:54:25.363503,London-6fd7,-27,77,Normal
2026-02-16 13:54:26.363503,London-6fd7,2,56,Normal
2026-02-16 13:54:27.363503,London-6fd7,36,57,Normal
2026-02-16 13:54:28.363503,London-6fd7,37,9,Normal
2026-02-16 13:54:29.363503,London-6fd7,-9,36,Normal
2026-02-16 13:54:30.363503,London-6fd7,23,40,Normal
2026-02-16 13:54:31.363503,London-6fd7,2,0,Normal
2026-02-16 13:54:32.363503,London-6fd7,15,12,Normal
2026-02-16 13:54:33.363503,London-6fd7,48,8,Normal
2026-02-16 13:54:34.363503,London-6fd7,16,25,Normal
2026-02-16 13:54:35.363503,London-6fd7,5,14,Normal
2026-02-16 13:54:36.363503,London-6fd7,35,72,Normal
2026-02-16 13:54:37.363503,London-6fd7,-17,49,Normal
2026-02-16 13:54:38.363503,London-6fd7,11,96,Normal
2026-02-16 13:54:39.363503,London-6fd7,28,88,Normal
2026-02-16 13:54:40.363503,London-6fd7,47,25,Normal
2026-02-16 13:54:41.363503,London-6fd7,-24,78,Normal
2026-02-16 13:54:42.363503,London-6fd7,-17,30,Normal
2026-02-16 13:54:43.363503,London-6fd7,11,70,Normal
2026-02-16 13:54:44.363503,London-6fd7,0,16,Normal
2026-02-16 13:54:45.363503,London-6fd7,22,97,Normal
2026-02-16 13:54:46.363503,London-6fd7,-9,79,Normal
2026-02-16 13:54:47.363503,London-6fd7,-24,18,Normal
2026-02-16 13:54:48.363503,London-6fd7,-14,92,Normal
2026-02-16 13:54:49.363503,London-6fd7,-30,42,Normal
2026-02-16 13:54:50.363503,London-6fd7,47,7,Normal
2026-02-16 13:54:51.363503,London-6fd7,13,96,Normal
2026-02-16 13:54:52.363503,London-6fd7,5,100,Normal
2026-02-16 13:54:53.363503,London-6fd7,-23,97,Normal
2026-02-16 13:54:54.363503,London-6fd7,50,6,Normal
2026-02-16 13:54:55.363503,London-6fd7,15,6,Normal
2026-02-16 13:54:56.363503,London-6fd7,28,29,Normal
2026-02-16 13:54:57.363503,London-6fd7,16,54,Normal
2026-02-16 13:54:58.363503,London-6fd7,27,84,Normal
2026-02-16 13:54:59.363503,London-6fd7,22,3,Normal
