timestamp,station_id,temp,humid,condition
2026-02-13 15:55:50.288953,London-bd91,34,3,Normal
2026-02-13 15:55:51.288953,London-bd91,33,83,Normal
2026-02-13 15:55:52.288953,London-bd91,28,52,Normal
2026-02-13 15:55:53.288953,London-bd91,6,89,Normal
2026-02-13 15:55:54.288953,London-bd91,-8,69,Normal
2026-02-13 15:55:55.288953,London-bd91,22,6,Normal
2026-02-13 15:55:56.288953,London-bd91,39,68,Normal
2026-02-13 15:55:57.288953,London-bd91,-11,39,Normal
2026-02-13 15:55:58.288953,London-bd91,50,45,Normal
2026-02-13 15:55:59.288953,London-bd91,2,22,Normal
2026-02-13 15:56:00.288953,London-bd91,30,70,Normal
2026-02-13 15:56:01.288953,London-bd91,29,29,Normal
2026-02-13 15:56:02.288953,London-bd91,48,2,Normal
2026-02-13 15:56:03.288953,London-bd91,2,34,Normal
2026-02-13 15:56:04.288953,London-bd91,-21,90,Normal
2026-02-13 15:56:05.288953,London-bd91,46,35,Normal
2026-02-13 15:56:06.288953,London-bd91,-4,0,Normal
2026-02-13 15:56:07.288953,London-bd91,24,85,Normal
2026-02-13 15:56:08.288953,London-bd91,45,33,Normal
2026-02-13 15:56:09.288953,London-bd91,-27,28,Normal
2026-02-13 15:56:10.288953,London-bd91,48,77,Normal
2026-02-13 15:56:11.288953,London-bd91,32,96,Normal
2026-02-13 15:56:12.288953,London-bd91,8,66,Normal
2026-02-13 15:56:13.288953,London-bd91,17,16,Normal
2026-02-13 15:56:14.288953,London-bd91,27,8,Normal
2026-02-13 15:56:15.288953,London-bd91,13,55,Normal
2026-02-13 15:56:16.288953,London-bd91,-13,46,Normal
2026-02-13 15:56:17.288953,London-bd91,-5,91,Normal
2026-02-13 15:56:18.288953,London-bd91,26,73,Normal
2026-02-13 15:56:19.288953,London-bd91,-23,6,Normal
2026-02-13 15:56:20.288953,London-bd91,26,0,Normal
2026-02-13 15:56:21.288953,London-bd91,4,9,Normal
2026-02-13 15:56:22.288953,London-bd91,19,13,Normal
2026-02-13 15:56:23.288953,London-bd91,21,34,Normal
2026-02-13 15:56:24.288953,London-bd91,34,13,Normal
2026-02-13 15:56:25.288953,London-bd91,14,31,Normal
2026-02-13 15:56:26.288953,London-bd91,3,55,Normal
2026-02-13 15:56:27.288953,London-bd91,-22,7,Normal
2026-02-13 15:56:28.288953,London-bd91,27,79,Normal
2026-02-13 15:56:29.288953,London-bd91,-5,29,Normal
2026-02-13 15:56:30.288953,London-bd91,-18,21,Normal
2026-02-13 15:56:31.288953,London-bd91,45,31,Normal
2026-02-13 15:56:32.288953,London-bd91,14,87,Normal
2026-02-13 15:56:33.288953,London-bd91,-18,25,Normal
2026-02-13 15:56:34.288953,London-bd91,41,36,Normal
2026-02-13 15:56:35.288953,London-bd91,3,43,Normal
2026-02-13 15:56:36.288953,London-bd91,-14,2,Normal
2026-02-13 15:56:37.288953,London-bd91,-18,3,Normal
2026-02-13 15:56:38.288953,London-bd91,1,52,Normal
2026-02-13 15:56:39.288953,London-bd91,17,56,Normal
2026-02-13 15:56:40.288953,London-bd91,18,8,Normal
2026-02-13 15:56:41.288953,London-bd91,-4,35,Normal
2026-02-13 15:56:42.288953,London-bd91,14,17,Normal
2026-02-13 15:56:43.288953,London-bd91,35,80,Normal
2026-02-13 15:56:44.288953,London-bd91,-2,31,Normal
2026-02-13 15:56:45.288953,London-bd91,-30,2,Normal
2026-02-13 15:56:46.288953,London-bd91,40,53,Normal
2026-02-13 15:56:47.288953,London-bd91,-6,80,Normal
2026-02-13 15:56:48.288953,London-bd91,39,78,Normal
2026-02-13 15:56:49.288953,London-bd91,-19,27,Normal
2026-02-13 15:56:50.288953,London-bd91,24,76,Normal
2026-02-13 15:56:51.288953,London-bd91,22,10,Normal
2026-02-13 15:56:52.288953,London-bd91,-7,31,Normal
2026-02-13 15:56:53.288953,London-bd91,-30,46,Normal
2026-02-13 15:56:54.288953,London-bd91,-21,98,Normal
2026-02-13 15:56:55.288953,London-bd91,18,29,Normal
2026-02-13 15:56:56.288953,London-bd91,4,69,Normal
2026-02-13 15:56:57.288953,London-bd91,49,26,Normal
2026-02-13 15:56:58.288953,London-bd91,1,33,Normal
2026-02-13 15:56:59.288953,London-bd91,9,60,Normal
2026-02-13 15:57:00.288953,London-bd91,9,67,Normal
2026-02-13 15:57:01.288953,London-bd91,-9,30,Normal
2026-02-13 15:57:02.288953,London-bd91,-29,63,Normal
2026-02-13 15:57:03.288953,London-bd91,34,31,Normal
2026-02-13 15:57:04.288953,London-bd91,21,82,Normal
2026-02-13 15:57:05.288953,London-bd91,-26,87,Normal
2026-02-13 15:57:06.288953,London-bd91,41,73,Normal
2026-02-13 15:57:07.288953,London-bd91,-9,78,Normal
2026-02-13 15:57:08.288953,London-bd91,35,18,Normal
2026-02-13 15:57:09.288953,London-bd91,-5,86,Normal
2026-02-13 15:57:10.288953,London-bd91,24,25,Normal
2026-02-13 15:57:11.288953,London-bd91,-11,34,Normal
2026-02-13 15:57:12.288953,London-bd91,14,37,Normal
2026-02-13 15:57:13.288953,London-bd91,50,84,Normal
2026-02-13 15:57:14.288953,London-bd91,31,61,Normal
2026-02-13 15:57:15.288953,London-bd91,2,67,Normal
2026-02-13 15:57:16.288953,London-bd91,-2,45,Normal
2026-02-13 15:57:17.288953,London-bd91,-1,11,Normal
2026-02-13 15:57:18.288953,London-bd91,-24,36,Normal
2026-02-13 15:57:19.288953,London-bd91,-23,13,Normal
2026-02-13 15:57:20.288953,London-bd91,25,5,Normal
2026-02-13 15:57:21.288953,London-bd91,10,0,Normal
2026-02-13 15:57:22.288953,London-bd91,22,34,Normal
2026-02-13 15:57:23.288953,London-bd91,-9,21,Normal
2026-02-13 15:57:24.288953,London-bd91,-15,78,Normal
2026-02-13 15:57:25.288953,London-bd91,-18,13,Normal
2026-02-13 15:57:26.288953,London-bd91,-6,83,Normal
2026-02-13 15:57:27.288953,London-bd91,-4,2,Normal
2026-02-13 15:57:28.288953,London-bd91,20,87,Normal
2026-02-13 15:57:29.288953,London-bd91,35,89,Normal
2026-02-13 15:57:30.288953,London-bd91,-29,66,Normal
2026-02-13 15:57:31.288953,London-bd91,-29,31,Normal
2026-02-13 15:57:32.288953,London-bd91,-2,17,Normal
2026-02-13 15:57:33.288953,London-bd91,19,32,Normal
2026-02-13 15:57:34.288953,London-bd91,45,1,Normal
2026-02-13 15:57:35.288953,London-bd91,28,90,Normal
2026-02-13 15:57:36.288953,London-bd91,-17,22,Normal
2026-02-13 15:57:37.288953,London-bd91,-12,36,Normal
2026-02-13 15:57:38.288953,London-bd91,26,1,Normal
2026-02-13 15:57:39.288953,London-bd91,-22,36,Normal
2026-02-13 15:57:40.288953,London-bd91,40,75,Normal
2026-02-13 15:57:41.288953,London-bd91,-26,74,Normal
2026-02-13 15:57:42.288953,London-bd91,-4,69,Normal
2026-02-13 15:57:43.288953,London-bd91,34,3,Normal
2026-02-13 15:57:44.288953,London-bd91,24,36,Normal
2026-02-13 15:57:45.288953,London-bd91,37,4,Normal
2026-02-13 15:57:46.288953,London-bd91,28,79,Normal
2026-02-13 15:57:47.288953,London-bd91,49,91,Normal
2026-02-13 15:57:48.288953,London-bd91,45,30,Normal
2026-02-13 15:57:49.288953,London-bd91,28,62,Normal
