timestamp,station_id,temp,humid,condition
2026-02-11 13:32:26.504255,London-d14d,-12,72,Normal
2026-02-11 13:32:27.504255,London-d14d,12,12,Normal
2026-02-11 13:32:28.504255,London-d14d,7,23,Normal
2026-02-11 13:32:29.504255,London-d14d,50,90,Normal
2026-02-11 13:32:30.504255,London-d14d,5,47,Normal
2026-02-11 13:32:31.504255,London-d14d,-2,13,Normal
2026-02-11 13:32:32.504255,London-d14d,17,20,Normal
2026-02-11 13:32:33.504255,London-d14d,-1,39,Normal
2026-02-11 13:32:34.504255,London-d14d,40,46,Normal
2026-02-11 13:32:35.504255,London-d14d,44,87,Normal
2026-02-11 13:32:36.504255,London-d14d,49,45,Normal
2026-02-11 13:32:37.504255,London-d14d,16,23,Normal
2026-02-11 13:32:38.504255,London-d14d,-24,83,Normal
2026-02-11 13:32:39.504255,London-d14d,3,72,Normal
2026-02-11 13:32:40.504255,London-d14d,19,5,Normal
2026-02-11 13:32:41.504255,London-d14d,44,55,Normal
2026-02-11 13:32:42.504255,London-d14d,11,10,Normal
2026-02-11 13:32:43.504255,London-d14d,20,82,Normal
2026-02-11 13:32:44.504255,London-d14d,40,65,Normal
2026-02-11 13:32:45.504255,London-d14d,-28,93,Normal
2026-02-11 13:32:46.504255,London-d14d,-11,4,Normal
2026-02-11 13:32:47.504255,London-d14d,41,86,Normal
2026-02-11 13:32:48.504255,London-d14d,-20,50,Normal
2026-02-11 13:32:49.504255,London-d14d,27,57,Normal
2026-02-11 13:32:50.504255,London-d14d,13,66,Normal
2026-02-11 13:32:51.504255,London-d14d,14,71,Normal
2026-02-11 13:32:52.504255,London-d14d,33,32,Normal
2026-02-11 13:32:53.504255,London-d14d,-9,70,Normal
2026-02-11 13:32:54.504255,London-d14d,-16,2,Normal
2026-02-11 13:32:55.504255,London-d14d,48,11,Normal
2026-02-11 13:32:56.504255,London-d14d,25,13,Normal
2026-02-11 13:32:57.504255,London-d14d,19,95,Normal
2026-02-11 13:32:58.504255,London-d14d,32,46,Normal
2026-02-11 13:32:59.504255,London-d14d,30,41,Normal
2026-02-11 13:33:00.504255,London-d14d,25,95,Normal
2026-02-11 13:33:01.504255,London-d14d,-14,58,Normal
