timestamp,station_id,temp,humid,condition
2026-02-08 02:13:24.913310,London-fe66,42,78,Normal
2026-02-08 02:13:25.913310,London-fe66,-13,4,Normal
2026-02-08 02:13:26.913310,London-fe66,3,63,Normal
2026-02-08 02:13:27.913310,London-fe66,46,92,Normal
2026-02-08 02:13:28.913310,London-fe66,33,74,Normal
2026-02-08 02:13:29.913310,London-fe66,24,64,Normal
2026-02-08 02:13:30.913310,London-fe66,-7,85,Normal
2026-02-08 02:13:31.913310,London-fe66,-18,51,Normal
2026-02-08 02:13:32.913310,London-fe66,-18,91,Normal
2026-02-08 02:13:33.913310,London-fe66,-12,41,Normal
2026-02-08 02:13:34.913310,London-fe66,29,31,Normal
2026-02-08 02:13:35.913310,London-fe66,22,45,Normal
2026-02-08 02:13:36.913310,London-fe66,-23,100,Normal
2026-02-08 02:13:37.913310,London-fe66,39,10,Normal
2026-02-08 02:13:38.913310,London-fe66,-6,47,Normal
2026-02-08 02:13:39.913310,London-fe66,28,57,Normal
2026-02-08 02:13:40.913310,London-fe66,39,29,Normal
2026-02-08 02:13:41.913310,London-fe66,40,55,Normal
2026-02-08 02:13:42.913310,London-fe66,2,97,Normal
2026-02-08 02:13:43.913310,London-fe66,50,85,Normal
2026-02-08 02:13:44.913310,London-fe66,-16,88,Normal
2026-02-08 02:13:45.913310,London-fe66,16,3,Normal
2026-02-08 02:13:46.913310,London-fe66,36,52,Normal
2026-02-08 02:13:47.913310,London-fe66,30,35,Normal
2026-02-08 02:13:48.913310,London-fe66,13,86,Normal
2026-02-08 02:13:49.913310,London-fe66,-2,73,Normal
2026-02-08 02:13:50.913310,London-fe66,-30,65,Normal
2026-02-08 02:13:51.913310,London-fe66,33,19,Normal
2026-02-08 02:13:52.913310,London-fe66,38,27,Normal
2026-02-08 02:13:53.913310,London-fe66,19,12,Normal
2026-02-08 02:13:54.913310,London-fe66,6,41,Normal
2026-02-08 02:13:55.913310,London-fe66,-6,91,Normal
2026-02-08 02:13:56.913310,London-fe66,5,18,Normal
2026-02-08 02:13:57.913310,London-fe66,12,8,Normal
2026-02-08 02:13:58.913310,London-fe66,-6,49,Normal
2026-02-08 02:13:59.913310,London-fe66,29,78,Normal
2026-02-08 02:14:00.913310,London-fe66,-23,52,Normal
2026-02-08 02:14:01.913310,London-fe66,40,22,Normal
2026-02-08 02:14:02.913310,London-fe66,22,56,Normal
2026-02-08 02:14:03.913310,London-fe66,26,27,Normal
2026-02-08 02:14:04.913310,London-fe66,18,99,Normal
2026-02-08 02:14:05.913310,London-fe66,8,69,Normal
2026-02-08 02:14:06.913310,London-fe66,4,2,Normal
2026-02-08 02:14:07.913310,London-fe66,43,1,Normal
2026-02-08 02:14:08.913310,London-fe66,32,45,Normal
2026-02-08 02:14:09.913310,London-fe66,19,95,Normal
2026-02-08 02:14:10.913310,London-fe66,13,13,Normal
2026-02-08 02:14:11.913310,London-fe66,19,16,Normal
2026-02-08 02:14:12.913310,London-fe66,31,86,Normal
2026-02-08 02:14:13.913310,London-fe66,-30,50,Normal
2026-02-08 02:14:14.913310,London-fe66,43,88,Normal
2026-02-08 02:14:15.913310,London-fe66,28,66,Normal
2026-02-08 02:14:16.913310,London-fe66,40,87,Normal
2026-02-08 02:14:17.913310,London-fe66,6,14,Normal
2026-02-08 02:14:18.913310,London-fe66,8,37,Normal
2026-02-08 02:14:19.913310,London-fe66,-20,99,Normal
2026-02-08 02:14:20.913310,London-fe66,-3,32,Normal
2026-02-08 02:14:21.913310,London-fe66,42,36,Normal
2026-02-08 02:14:22.913310,London-fe66,4,16,Normal
2026-02-08 02:14:23.913310,London-fe66,-3,63,Normal
2026-02-08 02:14:24.913310,London-fe66,28,49,Normal
2026-02-08 02:14:25.913310,London-fe66,7,93,Normal
2026-02-08 02:14:26.913310,London-fe66,42,8,Normal
2026-02-08 02:14:27.913310,London-fe66,20,3,Normal
2026-02-08 02:14:28.913310,London-fe66,42,67,Normal
2026-02-08 02:14:29.913310,London-fe66,-23,73,Normal
2026-02-08 02:14:30.913310,London-fe66,27,87,Normal
2026-02-08 02:14:31.913310,London-fe66,14,58,Normal
2026-02-08 02:14:32.913310,London-fe66,16,92,Normal
2026-02-08 02:14:33.913310,London-fe66,-20,35,Normal
2026-02-08 02:14:34.913310,London-fe66,-6,20,Normal
2026-02-08 02:14:35.913310,London-fe66,-2,61,Normal
2026-02-08 02:14:36.913310,London-fe66,-19,59,Normal
2026-02-08 02:14:37.913310,London-fe66,-14,54,Normal
2026-02-08 02:14:38.913310,London-fe66,12,75,Normal
2026-02-08 02:14:39.913310,London-fe66,-5,2,Normal
2026-02-08 02:14:40.913310,London-fe66,-9,5,Normal
2026-02-08 02:14:41.913310,London-fe66,-8,54,Normal
2026-02-08 02:14:42.913310,London-fe66,35,53,Normal
2026-02-08 02:14:43.913310,London-fe66,-9,45,Normal
2026-02-08 02:14:44.913310,London-fe66,-6,88,Normal
2026-02-08 02:14:45.913310,London-fe66,-23,66,Normal
2026-02-08 02:14:46.913310,London-fe66,50,83,Normal
2026-02-08 02:14:47.913310,London-fe66,11,88,Normal
2026-02-08 02:14:48.913310,London-fe66,-11,77,Normal
2026-02-08 02:14:49.913310,London-fe66,14,18,Normal
2026-02-08 02:14:50.913310,London-fe66,-5,53,Normal
2026-02-08 02:14:51.913310,London-fe66,-9,0,Normal
2026-02-08 02:14:52.913310,London-fe66,4,28,Normal
2026-02-08 02:14:53.913310,London-fe66,10,31,Normal
2026-02-08 02:14:54.913310,London-fe66,10,2,Normal
2026-02-08 02:14:55.913310,London-fe66,-1,51,Normal
2026-02-08 02:14:56.913310,London-fe66,3,82,Normal
2026-02-08 02:14:57.913310,London-fe66,-22,1,Normal
2026-02-08 02:14:58.913310,London-fe66,25,64,Normal
2026-02-08 02:14:59.913310,London-fe66,5,68,Normal
2026-02-08 02:15:00.913310,London-fe66,-29,13,Normal
2026-02-08 02:15:01.913310,London-fe66,44,3,Normal
2026-02-08 02:15:02.913310,London-fe66,-16,45,Normal
2026-02-08 02:15:03.913310,London-fe66,28,35,Normal
2026-02-08 02:15:04.913310,London-fe66,-22,59,Normal
2026-02-08 02:15:05.913310,London-fe66,8,31,Normal
2026-02-08 02:15:06.913310,London-fe66,7,24,Normal
2026-02-08 02:15:07.913310,London-fe66,11,42,Normal
2026-02-08 02:15:08.913310,London-fe66,14,48,Normal
2026-02-08 02:15:09.913310,London-fe66,21,14,Normal
2026-02-08 02:15:10.913310,London-fe66,41,59,Normal
2026-02-08 02:15:11.913310,London-fe66,-23,24,Normal
2026-02-08 02:15:12.913310,London-fe66,32,82,Normal
2026-02-08 02:15:13.913310,London-fe66,0,81,Normal
2026-02-08 02:15:14.913310,London-fe66,-11,73,Normal
2026-02-08 02:15:15.913310,London-fe66,31,10,Normal
2026-02-08 02:15:16.913310,London-fe66,15,35,Normal
2026-02-08 02:15:17.913310,London-fe66,47,81,Normal
2026-02-08 02:15:18.913310,London-fe66,38,20,Normal
2026-02-08 02:15:19.913310,London-fe66,-19,51,Normal
2026-02-08 02:15:20.913310,London-fe66,38,60,Normal
2026-02-08 02:15:21.913310,London-fe66,-23,31,Normal
2026-02-08 02:15:22.913310,London-fe66,46,43,Normal
2026-02-08 02:15:23.913310,London-fe66,6,26,Normal
2026-02-08 02:15:24.913310,London-fe66,49,28,Normal
2026-02-08 02:15:25.913310,London-fe66,29,19,Normal
2026-02-08 02:15:26.913310,London-fe66,-23,66,Normal
2026-02-08 02:15:27.913310,London-fe66,-12,49,Normal
2026-02-08 02:15:28.913310,London-fe66,6,44,Normal
2026-02-08 02:15:29.913310,London-fe66,-17,66,Normal
2026-02-08 02:15:30.913310,London-fe66,-2,73,Normal
2026-02-08 02:15:31.913310,London-fe66,1,43,Normal
2026-02-08 02:15:32.913310,London-fe66,32,92,Normal
2026-02-08 02:15:33.913310,London-fe66,-8,75,Normal
2026-02-08 02:15:34.913310,London-fe66,-17,80,Normal
2026-02-08 02:15:35.913310,London-fe66,-21,83,Normal
2026-02-08 02:15:36.913310,London-fe66,15,40,Normal
2026-02-08 02:15:37.913310,London-fe66,-22,8,Normal
2026-02-08 02:15:38.913310,London-fe66,-9,2,Normal
2026-02-08 02:15:39.913310,London-fe66,-30,24,Normal
2026-02-08 02:15:40.913310,London-fe66,46,28,Normal
2026-02-08 02:15:41.913310,London-fe66,-13,52,Normal
2026-02-08 02:15:42.913310,London-fe66,11,16,Normal
2026-02-08 02:15:43.913310,London-fe66,3,86,Normal
2026-02-08 02:15:44.913310,London-fe66,21,28,Normal
2026-02-08 02:15:45.913310,London-fe66,-12,90,Normal
2026-02-08 02:15:46.913310,London-fe66,32,85,Normal
2026-02-08 02:15:47.913310,London-fe66,40,36,Normal
2026-02-08 02:15:48.913310,London-fe66,28,80,Normal
2026-02-08 02:15:49.913310,London-fe66,30,98,Normal
2026-02-08 02:15:50.913310,London-fe66,-29,47,Normal
2026-02-08 02:15:51.913310,London-fe66,24,26,Normal
2026-02-08 02:15:52.913310,London-fe66,-5,5,Normal
2026-02-08 02:15:53.913310,London-fe66,37,57,Normal
2026-02-08 02:15:54.913310,London-fe66,10,71,Normal
2026-02-08 02:15:55.913310,London-fe66,-18,11,Normal
2026-02-08 02:15:56.913310,London-fe66,-18,89,Normal
2026-02-08 02:15:57.913310,London-fe66,17,44,Normal
2026-02-08 02:15:58.913310,London-fe66,47,88,Normal
2026-02-08 02:15:59.913310,London-fe66,34,20,Normal
2026-02-08 02:16:00.913310,London-fe66,-19,33,Normal
2026-02-08 02:16:01.913310,London-fe66,34,59,Normal
2026-02-08 02:16:02.913310,London-fe66,48,31,Normal
2026-02-08 02:16:03.913310,London-fe66,10,37,Normal
2026-02-08 02:16:04.913310,London-fe66,33,7,Normal
2026-02-08 02:16:05.913310,London-fe66,11,91,Normal
2026-02-08 02:16:06.913310,London-fe66,42,35,Normal
2026-02-08 02:16:07.913310,London-fe66,-5,41,Normal
2026-02-08 02:16:08.913310,London-fe66,29,58,Normal
2026-02-08 02:16:09.913310,London-fe66,21,7,Normal
2026-02-08 02:16:10.913310,London-fe66,1,21,Normal
2026-02-08 02:16:11.913310,London-fe66,31,13,Normal
2026-02-08 02:16:12.913310,London-fe66,2,86,Normal
2026-02-08 02:16:13.913310,London-fe66,48,25,Normal
2026-02-08 02:16:14.913310,London-fe66,-18,24,Normal
2026-02-08 02:16:15.913310,London-fe66,-8,85,Normal
2026-02-08 02:16:16.913310,London-fe66,5,34,Normal
2026-02-08 02:16:17.913310,London-fe66,-17,67,Normal
2026-02-08 02:16:18.913310,London-fe66,37,12,Normal
2026-02-08 02:16:19.913310,London-fe66,-2,58,Normal
2026-02-08 02:16:20.913310,London-fe66,42,6,Normal
2026-02-08 02:16:21.913310,London-fe66,22,38,Normal
2026-02-08 02:16:22.913310,London-fe66,14,13,Normal
2026-02-08 02:16:23.913310,London-fe66,-18,26,Normal
2026-02-08 02:16:24.913310,London-fe66,-9,16,Normal
2026-02-08 02:16:25.913310,London-fe66,-17,60,Normal
2026-02-08 02:16:26.913310,London-fe66,35,100,Normal
2026-02-08 02:16:27.913310,London-fe66,23,43,Normal
2026-02-08 02:16:28.913310,London-fe66,31,15,Normal
2026-02-08 02:16:29.913310,London-fe66,49,35,Normal
2026-02-08 02:16:30.913310,London-fe66,14,19,Normal
2026-02-08 02:16:31.913310,London-fe66,47,84,Normal
2026-02-08 02:16:32.913310,London-fe66,3,82,Normal
2026-02-08 02:16:33.913310,London-fe66,23,56,Normal
2026-02-08 02:16:34.913310,London-fe66,31,70,Normal
2026-02-08 02:16:35.913310,London-fe66,49,99,Normal
2026-02-08 02:16:36.913310,London-fe66,-13,13,Normal
2026-02-08 02:16:37.913310,London-fe66,30,56,Normal
2026-02-08 02:16:38.913310,London-fe66,24,46,Normal
2026-02-08 02:16:39.913310,London-fe66,31,46,Normal
2026-02-08 02:16:40.913310,London-fe66,2,27,Normal
2026-02-08 02:16:41.913310,London-fe66,17,54,Normal
2026-02-08 02:16:42.913310,London-fe66,19,29,Normal
2026-02-08 02:16:43.913310,London-fe66,44,74,Normal
2026-02-08 02:16:44.913310,London-fe66,32,74,Normal
2026-02-08 02:16:45.913310,London-fe66,-17,60,Normal
2026-02-08 02:16:46.913310,London-fe66,34,8,Normal
2026-02-08 02:16:47.913310,London-fe66,-18,54,Normal
2026-02-08 02:16:48.913310,London-fe66,-21,73,Normal
2026-02-08 02:16:49.913310,London-fe66,-19,52,Normal
2026-02-08 02:16:50.913310,London-fe66,-28,80,Normal
2026-02-08 02:16:51.913310,London-fe66,-23,21,Normal
2026-02-08 02:16:52.913310,London-fe66,0,63,Normal
2026-02-08 02:16:53.913310,London-fe66,-20,90,Normal
2026-02-08 02:16:54.913310,London-fe66,14,19,Normal
2026-02-08 02:16:55.913310,London-fe66,48,25,Normal
2026-02-08 02:16:56.913310,London-fe66,-19,66,Normal
2026-02-08 02:16:57.913310,London-fe66,22,17,Normal
2026-02-08 02:16:58.913310,London-fe66,17,45,Normal
2026-02-08 02:16:59.913310,London-fe66,-30,23,Normal
2026-02-08 02:17:00.913310,London-fe66,-9,24,Normal
2026-02-08 02:17:01.913310,London-fe66,39,28,Normal
2026-02-08 02:17:02.913310,London-fe66,24,63,Normal
2026-02-08 02:17:03.913310,London-fe66,31,96,Normal
2026-02-08 02:17:04.913310,London-fe66,18,30,Normal
2026-02-08 02:17:05.913310,London-fe66,22,24,Normal
2026-02-08 02:17:06.913310,London-fe66,49,64,Normal
2026-02-08 02:17:07.913310,London-fe66,44,92,Normal
2026-02-08 02:17:08.913310,London-fe66,31,98,Normal
2026-02-08 02:17:09.913310,London-fe66,-27,84,Normal
2026-02-08 02:17:10.913310,London-fe66,-30,1,Normal
2026-02-08 02:17:11.913310,London-fe66,-3,98,Normal
2026-02-08 02:17:12.913310,London-fe66,2,99,Normal
2026-02-08 02:17:13.913310,London-fe66,49,54,Normal
2026-02-08 02:17:14.913310,London-fe66,-7,93,Normal
2026-02-08 02:17:15.913310,London-fe66,-10,6,Normal
2026-02-08 02:17:16.913310,London-fe66,-22,64,Normal
2026-02-08 02:17:17.913310,London-fe66,-25,36,Normal
2026-02-08 02:17:18.913310,London-fe66,-26,22,Normal
2026-02-08 02:17:19.913310,London-fe66,-1,43,Normal
2026-02-08 02:17:20.913310,London-fe66,23,64,Normal
2026-02-08 02:17:21.913310,London-fe66,41,34,Normal
2026-02-08 02:17:22.913310,London-fe66,5,76,Normal
2026-02-08 02:17:23.913310,London-fe66,30,31,Normal
2026-02-08 02:17:24.913310,London-fe66,-17,100,Normal
2026-02-08 02:17:25.913310,London-fe66,37,4,Normal
2026-02-08 02:17:26.913310,London-fe66,36,55,Normal
2026-02-08 02:17:27.913310,London-fe66,-30,41,Normal
2026-02-08 02:17:28.913310,London-fe66,45,32,Normal
2026-02-08 02:17:29.913310,London-fe66,28,64,Normal
2026-02-08 02:17:30.913310,London-fe66,6,96,Normal
2026-02-08 02:17:31.913310,London-fe66,0,13,Normal
2026-02-08 02:17:32.913310,London-fe66,-11,94,Normal
2026-02-08 02:17:33.913310,London-fe66,-23,28,Normal
2026-02-08 02:17:34.913310,London-fe66,-23,34,Normal
2026-02-08 02:17:35.913310,London-fe66,31,68,Normal
2026-02-08 02:17:36.913310,London-fe66,10,91,Normal
2026-02-08 02:17:37.913310,London-fe66,35,89,Normal
2026-02-08 02:17:38.913310,London-fe66,8,54,Normal
2026-02-08 02:17:39.913310,London-fe66,5,84,Normal
2026-02-08 02:17:40.913310,London-fe66,0,43,Normal
2026-02-08 02:17:41.913310,London-fe66,3,82,Normal
2026-02-08 02:17:42.913310,London-fe66,36,35,Normal
2026-02-08 02:17:43.913310,London-fe66,23,70,Normal
2026-02-08 02:17:44.913310,London-fe66,-6,97,Normal
2026-02-08 02:17:45.913310,London-fe66,43,91,Normal
2026-02-08 02:17:46.913310,London-fe66,-13,48,Normal
2026-02-08 02:17:47.913310,London-fe66,37,49,Normal
2026-02-08 02:17:48.913310,London-fe66,26,2,Normal
2026-02-08 02:17:49.913310,London-fe66,2,33,Normal
2026-02-08 02:17:50.913310,London-fe66,-13,36,Normal
2026-02-08 02:17:51.913310,London-fe66,3,44,Normal
2026-02-08 02:17:52.913310,London-fe66,16,47,Normal
2026-02-08 02:17:53.913310,London-fe66,-28,77,Normal
2026-02-08 02:17:54.913310,London-fe66,43,10,Normal
2026-02-08 02:17:55.913310,London-fe66,-19,87,Normal
2026-02-08 02:17:56.913310,London-fe66,37,73,Normal
2026-02-08 02:17:57.913310,London-fe66,12,63,Normal
2026-02-08 02:17:58.913310,London-fe66,-9,9,Normal
2026-02-08 02:17:59.913310,London-fe66,39,23,Normal
2026-02-08 02:18:00.913310,London-fe66,-26,52,Normal
2026-02-08 02:18:01.913310,London-fe66,-4,19,Normal
2026-02-08 02:18:02.913310,London-fe66,18,77,Normal
2026-02-08 02:18:03.913310,London-fe66,28,33,Normal
2026-02-08 02:18:04.913310,London-fe66,-1,49,Normal
2026-02-08 02:18:05.913310,London-fe66,-18,21,Normal
2026-02-08 02:18:06.913310,London-fe66,-5,62,Normal
2026-02-08 02:18:07.913310,London-fe66,-28,57,Normal
2026-02-08 02:18:08.913310,London-fe66,29,70,Normal
2026-02-08 02:18:09.913310,London-fe66,13,7,Normal
2026-02-08 02:18:10.913310,London-fe66,43,21,Normal
2026-02-08 02:18:11.913310,London-fe66,-9,21,Normal
2026-02-08 02:18:12.913310,London-fe66,35,82,Normal
