timestamp,station_id,temp,humid,condition
2026-02-13 15:55:45.403336,NewYork-bc18,-25,13,Normal
2026-02-13 15:55:46.403336,NewYork-bc18,-10,69,Normal
2026-02-13 15:55:47.403336,NewYork-bc18,-13,63,Normal
2026-02-13 15:55:48.403336,NewYork-bc18,7,62,Normal
2026-02-13 15:55:49.403336,NewYork-bc18,-4,1,Normal
2026-02-13 15:55:50.403336,NewYork-bc18,40,0,Normal
2026-02-13 15:55:51.403336,NewYork-bc18,24,84,Normal
2026-02-13 15:55:52.403336,NewYork-bc18,33,29,Normal
2026-02-13 15:55:53.403336,NewYork-bc18,49,39,Normal
2026-02-13 15:55:54.403336,NewYork-bc18,15,7,Normal
2026-02-13 15:55:55.403336,NewYork-bc18,34,45,Normal
2026-02-13 15:55:56.403336,NewYork-bc18,32,51,Normal
2026-02-13 15:55:57.403336,NewYork-bc18,11,86,Normal
2026-02-13 15:55:58.403336,NewYork-bc18,-22,36,Normal
2026-02-13 15:55:59.403336,NewYork-bc18,41,6,Normal
2026-02-13 15:56:00.403336,NewYork-bc18,-28,8,Normal
2026-02-13 15:56:01.403336,NewYork-bc18,29,80,Normal
2026-02-13 15:56:02.403336,NewYork-bc18,15,3,Normal
2026-02-13 15:56:03.403336,NewYork-bc18,34,82,Normal
2026-02-13 15:56:04.403336,NewYork-bc18,44,49,Normal
2026-02-13 15:56:05.403336,NewYork-bc18,-30,5,Normal
2026-02-13 15:56:06.403336,NewYork-bc18,-21,32,Normal
2026-02-13 15:56:07.403336,NewYork-bc18,32,20,Normal
2026-02-13 15:56:08.403336,NewYork-bc18,45,9,Normal
2026-02-13 15:56:09.403336,NewYork-bc18,26,90,Normal
2026-02-13 15:56:10.403336,NewYork-bc18,38,60,Normal
2026-02-13 15:56:11.403336,NewYork-bc18,29,59,Normal
2026-02-13 15:56:12.403336,NewYork-bc18,-25,49,Normal
2026-02-13 15:56:13.403336,NewYork-bc18,45,24,Normal
2026-02-13 15:56:14.403336,NewYork-bc18,19,86,Normal
2026-02-13 15:56:15.403336,NewYork-bc18,-14,78,Normal
2026-02-13 15:56:16.403336,NewYork-bc18,4,64,Normal
