timestamp,station_id,temp,humid,condition
2026-02-14 18:57:48.154829,NewYork-e70f,7,34,Normal
2026-02-14 18:57:49.154829,NewYork-e70f,-14,44,Normal
2026-02-14 18:57:50.154829,NewYork-e70f,49,72,Normal
2026-02-14 18:57:51.154829,NewYork-e70f,25,27,Normal
2026-02-14 18:57:52.154829,NewYork-e70f,3,67,Normal
2026-02-14 18:57:53.154829,NewYork-e70f,-12,72,Normal
2026-02-14 18:57:54.154829,NewYork-e70f,10,86,Normal
2026-02-14 18:57:55.154829,NewYork-e70f,19,73,Normal
2026-02-14 18:57:56.154829,NewYork-e70f,30,80,Normal
2026-02-14 18:57:57.154829,NewYork-e70f,34,63,Normal
2026-02-14 18:57:58.154829,NewYork-e70f,21,26,Normal
2026-02-14 18:57:59.154829,NewYork-e70f,-14,13,Normal
2026-02-14 18:58:00.154829,NewYork-e70f,6,68,Normal
2026-02-14 18:58:01.154829,NewYork-e70f,-7,44,Normal
2026-02-14 18:58:02.154829,NewYork-e70f,20,72,Normal
2026-02-14 18:58:03.154829,NewYork-e70f,-25,29,Normal
2026-02-14 18:58:04.154829,NewYork-e70f,26,81,Normal
2026-02-14 18:58:05.154829,NewYork-e70f,31,32,Normal
2026-02-14 18:58:06.154829,NewYork-e70f,12,85,Normal
2026-02-14 18:58:07.154829,NewYork-e70f,-29,52,Normal
2026-02-14 18:58:08.154829,NewYork-e70f,3,59,Normal
2026-02-14 18:58:09.154829,NewYork-e70f,17,29,Normal
2026-02-14 18:58:10.154829,NewYork-e70f,25,33,Normal
2026-02-14 18:58:11.154829,NewYork-e70f,16,10,Normal
2026-02-14 18:58:12.154829,NewYork-e70f,-26,47,Normal
2026-02-14 18:58:13.154829,NewYork-e70f,4,30,Normal
2026-02-14 18:58:14.154829,NewYork-e70f,50,19,Normal
2026-02-14 18:58:15.154829,NewYork-e70f,43,45,Normal
2026-02-14 18:58:16.154829,NewYork-e70f,28,94,Normal
2026-02-14 18:58:17.154829,NewYork-e70f,-26,74,Normal
2026-02-14 18:58:18.154829,NewYork-e70f,27,18,Normal
2026-02-14 18:58:19.154829,NewYork-e70f,38,32,Normal
2026-02-14 18:58:20.154829,NewYork-e70f,-13,50,Normal
2026-02-14 18:58:21.154829,NewYork-e70f,32,20,Normal
2026-02-14 18:58:22.154829,NewYork-e70f,30,61,Normal
2026-02-14 18:58:23.154829,NewYork-e70f,-30,74,Normal
2026-02-14 18:58:24.154829,NewYork-e70f,27,53,Normal
2026-02-14 18:58:25.154829,NewYork-e70f,34,86,Normal
2026-02-14 18:58:26.154829,NewYork-e70f,40,18,Normal
2026-02-14 18:58:27.154829,NewYork-e70f,44,4,Normal
2026-02-14 18:58:28.154829,NewYork-e70f,-7,45,Normal
2026-02-14 18:58:29.154829,NewYork-e70f,11,23,Normal
2026-02-14 18:58:30.154829,NewYork-e70f,17,72,Normal
2026-02-14 18:58:31.154829,NewYork-e70f,47,100,Normal
2026-02-14 18:58:32.154829,NewYork-e70f,36,69,Normal
2026-02-14 18:58:33.154829,NewYork-e70f,6,38,Normal
2026-02-14 18:58:34.154829,NewYork-e70f,0,84,Normal
2026-02-14 18:58:35.154829,NewYork-e70f,34,82,Normal
2026-02-14 18:58:36.154829,NewYork-e70f,-6,56,Normal
2026-02-14 18:58:37.154829,NewYork-e70f,-7,72,Normal
2026-02-14 18:58:38.154829,NewYork-e70f,-9,12,Normal
2026-02-14 18:58:39.154829,NewYork-e70f,24,82,Normal
2026-02-14 18:58:40.154829,NewYork-e70f,-21,83,Normal
2026-02-14 18:58:41.154829,NewYork-e70f,-24,62,Normal
2026-02-14 18:58:42.154829,NewYork-e70f,-11,92,Normal
2026-02-14 18:58:43.154829,NewYork-e70f,-30,10,Normal
2026-02-14 18:58:44.154829,NewYork-e70f,38,4,Normal
2026-02-14 18:58:45.154829,NewYork-e70f,26,16,Normal
2026-02-14 18:58:46.154829,NewYork-e70f,35,19,Normal
2026-02-14 18:58:47.154829,NewYork-e70f,26,8,Normal
2026-02-14 18:58:48.154829,NewYork-e70f,13,39,Normal
