timestamp,station_id,temp,humid,condition
2026-02-13 19:54:58.640938,NewYork-e8e8,21,32,Normal
2026-02-13 19:54:59.640938,NewYork-e8e8,-1,26,Normal
2026-02-13 19:55:00.640938,NewYork-e8e8,35,79,Normal
2026-02-13 19:55:01.640938,NewYork-e8e8,-16,3,Normal
2026-02-13 19:55:02.640938,NewYork-e8e8,-3,4,Normal
2026-02-13 19:55:03.640938,NewYork-e8e8,-30,39,Normal
2026-02-13 19:55:04.640938,NewYork-e8e8,50,44,Normal
2026-02-13 19:55:05.640938,NewYork-e8e8,-27,31,Normal
2026-02-13 19:55:06.640938,NewYork-e8e8,-28,1,Normal
2026-02-13 19:55:07.640938,NewYork-e8e8,32,60,Normal
2026-02-13 19:55:08.640938,NewYork-e8e8,-4,100,Normal
2026-02-13 19:55:09.640938,NewYork-e8e8,35,61,Normal
2026-02-13 19:55:10.640938,NewYork-e8e8,8,85,Normal
2026-02-13 19:55:11.640938,NewYork-e8e8,20,74,Normal
2026-02-13 19:55:12.640938,NewYork-e8e8,21,28,Normal
2026-02-13 19:55:13.640938,NewYork-e8e8,42,72,Normal
2026-02-13 19:55:14.640938,NewYork-e8e8,-6,75,Normal
2026-02-13 19:55:15.640938,NewYork-e8e8,-14,31,Normal
2026-02-13 19:55:16.640938,NewYork-e8e8,27,77,Normal
2026-02-13 19:55:17.640938,NewYork-e8e8,40,77,Normal
2026-02-13 19:55:18.640938,NewYork-e8e8,11,9,Normal
2026-02-13 19:55:19.640938,NewYork-e8e8,2,87,Normal
2026-02-13 19:55:20.640938,NewYork-e8e8,36,84,Normal
2026-02-13 19:55:21.640938,NewYork-e8e8,-27,64,Normal
2026-02-13 19:55:22.640938,NewYork-e8e8,0,65,Normal
2026-02-13 19:55:23.640938,NewYork-e8e8,-23,3,Normal
2026-02-13 19:55:24.640938,NewYork-e8e8,8,73,Normal
2026-02-13 19:55:25.640938,NewYork-e8e8,29,20,Normal
2026-02-13 19:55:26.640938,NewYork-e8e8,-21,87,Normal
2026-02-13 19:55:27.640938,NewYork-e8e8,46,20,Normal
2026-02-13 19:55:28.640938,NewYork-e8e8,24,23,Normal
2026-02-13 19:55:29.640938,NewYork-e8e8,26,79,Normal
2026-02-13 19:55:30.640938,NewYork-e8e8,7,44,Normal
2026-02-13 19:55:31.640938,NewYork-e8e8,16,33,Normal
2026-02-13 19:55:32.640938,NewYork-e8e8,-12,90,Normal
2026-02-13 19:55:33.640938,NewYork-e8e8,32,38,Normal
2026-02-13 19:55:34.640938,NewYork-e8e8,48,92,Normal
2026-02-13 19:55:35.640938,NewYork-e8e8,-29,61,Normal
2026-02-13 19:55:36.640938,NewYork-e8e8,-13,46,Normal
2026-02-13 19:55:37.640938,NewYork-e8e8,40,100,Normal
2026-02-13 19:55:38.640938,NewYork-e8e8,-21,83,Normal
2026-02-13 19:55:39.640938,NewYork-e8e8,-3,93,Normal
2026-02-13 19:55:40.640938,NewYork-e8e8,3,86,Normal
2026-02-13 19:55:41.640938,NewYork-e8e8,12,79,Normal
2026-02-13 19:55:42.640938,NewYork-e8e8,42,79,Normal
2026-02-13 19:55:43.640938,NewYork-e8e8,45,100,Normal
2026-02-13 19:55:44.640938,NewYork-e8e8,22,100,Normal
2026-02-13 19:55:45.640938,NewYork-e8e8,0,55,Normal
2026-02-13 19:55:46.640938,NewYork-e8e8,32,93,Normal
