timestamp,station_id,temp,humid,condition
2026-02-15 21:24:12.451408,Paris-0ede,32,92,Normal
2026-02-15 21:24:13.451408,Paris-0ede,11,23,Normal
2026-02-15 21:24:14.451408,Paris-0ede,19,29,Normal
2026-02-15 21:24:15.451408,Paris-0ede,-6,87,Normal
2026-02-15 21:24:16.451408,Paris-0ede,49,17,Normal
2026-02-15 21:24:17.451408,Paris-0ede,-15,60,Normal
2026-02-15 21:24:18.451408,Paris-0ede,-26,74,Normal
2026-02-15 21:24:19.451408,Paris-0ede,-20,41,Normal
2026-02-15 21:24:20.451408,Paris-0ede,-5,36,Normal
2026-02-15 21:24:21.451408,Paris-0ede,25,43,Normal
2026-02-15 21:24:22.451408,Paris-0ede,8,47,Normal
2026-02-15 21:24:23.451408,Paris-0ede,10,12,Normal
2026-02-15 21:24:24.451408,Paris-0ede,27,100,Normal
2026-02-15 21:24:25.451408,Paris-0ede,-25,71,Normal
2026-02-15 21:24:26.451408,Paris-0ede,49,58,Normal
2026-02-15 21:24:27.451408,Paris-0ede,14,84,Normal
2026-02-15 21:24:28.451408,Paris-0ede,38,47,Normal
2026-02-15 21:24:29.451408,Paris-0ede,40,81,Normal
2026-02-15 21:24:30.451408,Paris-0ede,33,22,Normal
2026-02-15 21:24:31.451408,Paris-0ede,-17,41,Normal
2026-02-15 21:24:32.451408,Paris-0ede,45,16,Normal
2026-02-15 21:24:33.451408,Paris-0ede,-27,85,Normal
2026-02-15 21:24:34.451408,Paris-0ede,29,36,Normal
2026-02-15 21:24:35.451408,Paris-0ede,26,96,Normal
2026-02-15 21:24:36.451408,Paris-0ede,1,27,Normal
2026-02-15 21:24:37.451408,Paris-0ede,16,92,Normal
2026-02-15 21:24:38.451408,Paris-0ede,3,10,Normal
2026-02-15 21:24:39.451408,Paris-0ede,21,77,Normal
2026-02-15 21:24:40.451408,Paris-0ede,14,20,Normal
2026-02-15 21:24:41.451408,Paris-0ede,20,85,Normal
2026-02-15 21:24:42.451408,Paris-0ede,-15,74,Normal
2026-02-15 21:24:43.451408,Paris-0ede,30,19,Normal
2026-02-15 21:24:44.451408,Paris-0ede,-23,47,Normal
2026-02-15 21:24:45.451408,Paris-0ede,25,95,Normal
2026-02-15 21:24:46.451408,Paris-0ede,50,79,Normal
2026-02-15 21:24:47.451408,Paris-0ede,35,48,Normal
2026-02-15 21:24:48.451408,Paris-0ede,12,78,Normal
2026-02-15 21:24:49.451408,Paris-0ede,-3,9,Normal
2026-02-15 21:24:50.451408,Paris-0ede,36,4,Normal
2026-02-15 21:24:51.451408,Paris-0ede,27,69,Normal
2026-02-15 21:24:52.451408,Paris-0ede,9,87,Normal
2026-02-15 21:24:53.451408,Paris-0ede,-5,70,Normal
2026-02-15 21:24:54.451408,Paris-0ede,26,74,Normal
2026-02-15 21:24:55.451408,Paris-0ede,47,43,Normal
2026-02-15 21:24:56.451408,Paris-0ede,27,40,Normal
2026-02-15 21:24:57.451408,Paris-0ede,-27,82,Normal
