timestamp,station_id,temp,humid,condition
2026-02-15 11:20:34.004819,Paris-82bb,21,39,Normal
2026-02-15 11:20:35.004819,Paris-82bb,35,33,Normal
2026-02-15 11:20:36.004819,Paris-82bb,-13,46,Normal
2026-02-15 11:20:37.004819,Paris-82bb,20,90,Normal
2026-02-15 11:20:38.004819,Paris-82bb,-19,81,Normal
2026-02-15 11:20:39.004819,Paris-82bb,36,88,Normal
2026-02-15 11:20:40.004819,Paris-82bb,23,98,Normal
2026-02-15 11:20:41.004819,Paris-82bb,14,38,Normal
2026-02-15 11:20:42.004819,Paris-82bb,-1,88,Normal
2026-02-15 11:20:43.004819,Paris-82bb,48,53,Normal
2026-02-15 11:20:44.004819,Paris-82bb,-4,56,Normal
2026-02-15 11:20:45.004819,Paris-82bb,17,10,Normal
2026-02-15 11:20:46.004819,Paris-82bb,-27,21,Normal
2026-02-15 11:20:47.004819,Paris-82bb,-7,45,Normal
2026-02-15 11:20:48.004819,Paris-82bb,-7,78,Normal
2026-02-15 11:20:49.004819,Paris-82bb,23,17,Normal
2026-02-15 11:20:50.004819,Paris-82bb,3,99,Normal
2026-02-15 11:20:51.004819,Paris-82bb,17,2,Normal
2026-02-15 11:20:52.004819,Paris-82bb,4,51,Normal
2026-02-15 11:20:53.004819,Paris-82bb,7,73,Normal
2026-02-15 11:20:54.004819,Paris-82bb,47,59,Normal
2026-02-15 11:20:55.004819,Paris-82bb,35,69,Normal
2026-02-15 11:20:56.004819,Paris-82bb,-12,76,Normal
2026-02-15 11:20:57.004819,Paris-82bb,13,2,Normal
2026-02-15 11:20:58.004819,Paris-82bb,1,19,Normal
2026-02-15 11:20:59.004819,Paris-82bb,26,71,Normal
2026-02-15 11:21:00.004819,Paris-82bb,29,79,Normal
2026-02-15 11:21:01.004819,Paris-82bb,-7,36,Normal
2026-02-15 11:21:02.004819,Paris-82bb,-30,23,Normal
2026-02-15 11:21:03.004819,Paris-82bb,-9,76,Normal
2026-02-15 11:21:04.004819,Paris-82bb,3,60,Normal
2026-02-15 11:21:05.004819,Paris-82bb,40,79,Normal
2026-02-15 11:21:06.004819,Paris-82bb,19,88,Normal
2026-02-15 11:21:07.004819,Paris-82bb,37,46,Normal
2026-02-15 11:21:08.004819,Paris-82bb,-25,66,Normal
2026-02-15 11:21:09.004819,Paris-82bb,5,0,Normal
2026-02-15 11:21:10.004819,Paris-82bb,-19,81,Normal
2026-02-15 11:21:11.004819,Paris-82bb,44,100,Normal
2026-02-15 11:21:12.004819,Paris-82bb,8,73,Normal
2026-02-15 11:21:13.004819,Paris-82bb,-29,48,Normal
2026-02-15 11:21:14.004819,Paris-82bb,-27,76,Normal
2026-02-15 11:21:15.004819,Paris-82bb,37,81,Normal
2026-02-15 11:21:16.004819,Paris-82bb,-6,75,Normal
2026-02-15 11:21:17.004819,Paris-82bb,49,1,Normal
2026-02-15 11:21:18.004819,Paris-82bb,-29,90,Normal
2026-02-15 11:21:19.004819,Paris-82bb,47,68,Normal
2026-02-15 11:21:20.004819,Paris-82bb,47,83,Normal
2026-02-15 11:21:21.004819,Paris-82bb,39,94,Normal
2026-02-15 11:21:22.004819,Paris-82bb,-29,40,Normal
2026-02-15 11:21:23.004819,Paris-82bb,16,67,Normal
2026-02-15 11:21:24.004819,Paris-82bb,-28,53,Normal
2026-02-15 11:21:25.004819,Paris-82bb,-22,68,Normal
2026-02-15 11:21:26.004819,Paris-82bb,42,73,Normal
2026-02-15 11:21:27.004819,Paris-82bb,43,100,Normal
2026-02-15 11:21:28.004819,Paris-82bb,25,96,Normal
2026-02-15 11:21:29.004819,Paris-82bb,44,76,Normal
2026-02-15 11:21:30.004819,Paris-82bb,20,64,Normal
2026-02-15 11:21:31.004819,Paris-82bb,0,93,Normal
2026-02-15 11:21:32.004819,Paris-82bb,25,76,Normal
2026-02-15 11:21:33.004819,Paris-82bb,6,19,Normal
2026-02-15 11:21:34.004819,Paris-82bb,22,44,Normal
2026-02-15 11:21:35.004819,Paris-82bb,26,10,Normal
2026-02-15 11:21:36.004819,Paris-82bb,28,88,Normal
2026-02-15 11:21:37.004819,Paris-82bb,8,20,Normal
2026-02-15 11:21:38.004819,Paris-82bb,-25,39,Normal
2026-02-15 11:21:39.004819,Paris-82bb,48,54,Normal
2026-02-15 11:21:40.004819,Paris-82bb,48,43,Normal
2026-02-15 11:21:41.004819,Paris-82bb,12,25,Normal
2026-02-15 11:21:42.004819,Paris-82bb,-27,33,Normal
2026-02-15 11:21:43.004819,Paris-82bb,6,91,Normal
2026-02-15 11:21:44.004819,Paris-82bb,4,87,Normal
2026-02-15 11:21:45.004819,Paris-82bb,38,58,Normal
2026-02-15 11:21:46.004819,Paris-82bb,-27,41,Normal
2026-02-15 11:21:47.004819,Paris-82bb,-24,33,Normal
2026-02-15 11:21:48.004819,Paris-82bb,46,58,Normal
2026-02-15 11:21:49.004819,Paris-82bb,-25,19,Normal
2026-02-15 11:21:50.004819,Paris-82bb,22,8,Normal
2026-02-15 11:21:51.004819,Paris-82bb,17,9,Normal
2026-02-15 11:21:52.004819,Paris-82bb,32,84,Normal
2026-02-15 11:21:53.004819,Paris-82bb,41,52,Normal
2026-02-15 11:21:54.004819,Paris-82bb,19,33,Normal
2026-02-15 11:21:55.004819,Paris-82bb,48,65,Normal
2026-02-15 11:21:56.004819,Paris-82bb,-5,54,Normal
2026-02-15 11:21:57.004819,Paris-82bb,13,41,Normal
2026-02-15 11:21:58.004819,Paris-82bb,37,24,Normal
2026-02-15 11:21:59.004819,Paris-82bb,21,6,Normal
2026-02-15 11:22:00.004819,Paris-82bb,-30,14,Normal
2026-02-15 11:22:01.004819,Paris-82bb,8,64,Normal
2026-02-15 11:22:02.004819,Paris-82bb,1,100,Normal
2026-02-15 11:22:03.004819,Paris-82bb,10,31,Normal
2026-02-15 11:22:04.004819,Paris-82bb,33,70,Normal
2026-02-15 11:22:05.004819,Paris-82bb,5,17,Normal
2026-02-15 11:22:06.004819,Paris-82bb,10,26,Normal
