timestamp,station_id,temp,humid,condition
2026-04-27 22:41:09.441767,Paris-a8f8,-17,75,Normal
2026-04-27 22:41:10.441767,Paris-a8f8,28,4,Normal
2026-04-27 22:41:11.441767,Paris-a8f8,29,84,Normal
2026-04-27 22:41:12.441767,Paris-a8f8,40,49,Normal
2026-04-27 22:41:13.441767,Paris-a8f8,29,9,Normal
2026-04-27 22:41:14.441767,Paris-a8f8,21,26,Normal
2026-04-27 22:41:15.441767,Paris-a8f8,-22,24,Normal
2026-04-27 22:41:16.441767,Paris-a8f8,-25,69,Normal
2026-04-27 22:41:17.441767,Paris-a8f8,23,55,Normal
2026-04-27 22:41:18.441767,Paris-a8f8,23,4,Normal
2026-04-27 22:41:19.441767,Paris-a8f8,29,84,Normal
2026-04-27 22:41:20.441767,Paris-a8f8,34,48,Normal
2026-04-27 22:41:21.441767,Paris-a8f8,49,53,Normal
2026-04-27 22:41:22.441767,Paris-a8f8,-16,60,Normal
2026-04-27 22:41:23.441767,Paris-a8f8,-27,13,Normal
2026-04-27 22:41:24.441767,Paris-a8f8,-8,66,Normal
2026-04-27 22:41:25.441767,Paris-a8f8,-21,95,Normal
2026-04-27 22:41:26.441767,Paris-a8f8,37,16,Normal
2026-04-27 22:41:27.441767,Paris-a8f8,-14,77,Normal
2026-04-27 22:41:28.441767,Paris-a8f8,-6,85,Normal
2026-04-27 22:41:29.441767,Paris-a8f8,8,86,Normal
2026-04-27 22:41:30.441767,Paris-a8f8,-17,67,Normal
2026-04-27 22:41:31.441767,Paris-a8f8,30,49,Normal
2026-04-27 22:41:32.441767,Paris-a8f8,0,18,Normal
2026-04-27 22:41:33.441767,Paris-a8f8,26,33,Normal
2026-04-27 22:41:34.441767,Paris-a8f8,-12,74,Normal
2026-04-27 22:41:35.441767,Paris-a8f8,31,30,Normal
2026-04-27 22:41:36.441767,Paris-a8f8,-1,81,Normal
2026-04-27 22:41:37.441767,Paris-a8f8,13,51,Normal
2026-04-27 22:41:38.441767,Paris-a8f8,33,54,Normal
2026-04-27 22:41:39.441767,Paris-a8f8,21,6,Normal
2026-04-27 22:41:40.441767,Paris-a8f8,-14,20,Normal
2026-04-27 22:41:41.441767,Paris-a8f8,-12,25,Normal
2026-04-27 22:41:42.441767,Paris-a8f8,15,55,Normal
2026-04-27 22:41:43.441767,Paris-a8f8,11,47,Normal
2026-04-27 22:41:44.441767,Paris-a8f8,38,71,Normal
2026-04-27 22:41:45.441767,Paris-a8f8,28,38,Normal
2026-04-27 22:41:46.441767,Paris-a8f8,18,16,Normal
2026-04-27 22:41:47.441767,Paris-a8f8,15,51,Normal
2026-04-27 22:41:48.441767,Paris-a8f8,-8,27,Normal
2026-04-27 22:41:49.441767,Paris-a8f8,46,90,Normal
2026-04-27 22:41:50.441767,Paris-a8f8,-5,16,Normal
2026-04-27 22:41:51.441767,Paris-a8f8,37,31,Normal
2026-04-27 22:41:52.441767,Paris-a8f8,6,65,Normal
2026-04-27 22:41:53.441767,Paris-a8f8,-11,22,Normal
2026-04-27 22:41:54.441767,Paris-a8f8,9,85,Normal
2026-04-27 22:41:55.441767,Paris-a8f8,49,25,Normal
2026-04-27 22:41:56.441767,Paris-a8f8,-25,40,Normal
2026-04-27 22:41:57.441767,Paris-a8f8,16,91,Normal
2026-04-27 22:41:58.441767,Paris-a8f8,-18,98,Normal
2026-04-27 22:41:59.441767,Paris-a8f8,15,49,Normal
2026-04-27 22:42:00.441767,Paris-a8f8,11,23,Normal
