timestamp,station_id,temp,humid,condition
2026-02-14 21:51:25.193035,Seoul-168f,13,38,Normal
2026-02-14 21:51:26.193035,Seoul-168f,15,12,Normal
2026-02-14 21:51:27.193035,Seoul-168f,15,63,Normal
2026-02-14 21:51:28.193035,Seoul-168f,19,26,Normal
2026-02-14 21:51:29.193035,Seoul-168f,39,97,Normal
2026-02-14 21:51:30.193035,Seoul-168f,2,86,Normal
2026-02-14 21:51:31.193035,Seoul-168f,9,3,Normal
2026-02-14 21:51:32.193035,Seoul-168f,-6,88,Normal
2026-02-14 21:51:33.193035,Seoul-168f,15,94,Normal
2026-02-14 21:51:34.193035,Seoul-168f,15,92,Normal
2026-02-14 21:51:35.193035,Seoul-168f,-9,3,Normal
2026-02-14 21:51:36.193035,Seoul-168f,-25,0,Normal
2026-02-14 21:51:37.193035,Seoul-168f,40,83,Normal
2026-02-14 21:51:38.193035,Seoul-168f,25,53,Normal
2026-02-14 21:51:39.193035,Seoul-168f,-2,71,Normal
2026-02-14 21:51:40.193035,Seoul-168f,41,37,Normal
2026-02-14 21:51:41.193035,Seoul-168f,38,33,Normal
2026-02-14 21:51:42.193035,Seoul-168f,21,17,Normal
2026-02-14 21:51:43.193035,Seoul-168f,20,37,Normal
2026-02-14 21:51:44.193035,Seoul-168f,28,75,Normal
2026-02-14 21:51:45.193035,Seoul-168f,38,8,Normal
2026-02-14 21:51:46.193035,Seoul-168f,21,71,Normal
2026-02-14 21:51:47.193035,Seoul-168f,-15,24,Normal
2026-02-14 21:51:48.193035,Seoul-168f,-25,2,Normal
2026-02-14 21:51:49.193035,Seoul-168f,-16,48,Normal
2026-02-14 21:51:50.193035,Seoul-168f,-10,78,Normal
2026-02-14 21:51:51.193035,Seoul-168f,-4,68,Normal
2026-02-14 21:51:52.193035,Seoul-168f,13,92,Normal
2026-02-14 21:51:53.193035,Seoul-168f,39,63,Normal
2026-02-14 21:51:54.193035,Seoul-168f,34,64,Normal
2026-02-14 21:51:55.193035,Seoul-168f,38,30,Normal
2026-02-14 21:51:56.193035,Seoul-168f,-26,68,Normal
2026-02-14 21:51:57.193035,Seoul-168f,-6,44,Normal
2026-02-14 21:51:58.193035,Seoul-168f,45,54,Normal
2026-02-14 21:51:59.193035,Seoul-168f,-13,31,Normal
2026-02-14 21:52:00.193035,Seoul-168f,15,36,Normal
2026-02-14 21:52:01.193035,Seoul-168f,35,17,Normal
2026-02-14 21:52:02.193035,Seoul-168f,-2,10,Normal
2026-02-14 21:52:03.193035,Seoul-168f,7,12,Normal
2026-02-14 21:52:04.193035,Seoul-168f,7,49,Normal
2026-02-14 21:52:05.193035,Seoul-168f,26,90,Normal
2026-02-14 21:52:06.193035,Seoul-168f,-11,5,Normal
2026-02-14 21:52:07.193035,Seoul-168f,-28,23,Normal
2026-02-14 21:52:08.193035,Seoul-168f,-7,48,Normal
2026-02-14 21:52:09.193035,Seoul-168f,34,78,Normal
2026-02-14 21:52:10.193035,Seoul-168f,4,48,Normal
2026-02-14 21:52:11.193035,Seoul-168f,36,27,Normal
2026-02-14 21:52:12.193035,Seoul-168f,18,31,Normal
2026-02-14 21:52:13.193035,Seoul-168f,25,64,Normal
2026-02-14 21:52:14.193035,Seoul-168f,-22,62,Normal
2026-02-14 21:52:15.193035,Seoul-168f,49,16,Normal
2026-02-14 21:52:16.193035,Seoul-168f,-8,36,Normal
2026-02-14 21:52:17.193035,Seoul-168f,21,71,Normal
2026-02-14 21:52:18.193035,Seoul-168f,-2,82,Normal
2026-02-14 21:52:19.193035,Seoul-168f,45,46,Normal
2026-02-14 21:52:20.193035,Seoul-168f,21,48,Normal
2026-02-14 21:52:21.193035,Seoul-168f,38,28,Normal
2026-02-14 21:52:22.193035,Seoul-168f,-29,4,Normal
2026-02-14 21:52:23.193035,Seoul-168f,41,55,Normal
2026-02-14 21:52:24.193035,Seoul-168f,24,35,Normal
2026-02-14 21:52:25.193035,Seoul-168f,-2,56,Normal
2026-02-14 21:52:26.193035,Seoul-168f,-21,9,Normal
2026-02-14 21:52:27.193035,Seoul-168f,-13,30,Normal
2026-02-14 21:52:28.193035,Seoul-168f,-14,0,Normal
