timestamp,station_id,temp,humid,condition
2026-02-16 04:37:21.062281,Seoul-2d4c,17,15,Normal
2026-02-16 04:37:22.062281,Seoul-2d4c,-16,4,Normal
2026-02-16 04:37:23.062281,Seoul-2d4c,28,8,Normal
2026-02-16 04:37:24.062281,Seoul-2d4c,-18,43,Normal
2026-02-16 04:37:25.062281,Seoul-2d4c,27,51,Normal
2026-02-16 04:37:26.062281,Seoul-2d4c,-19,38,Normal
2026-02-16 04:37:27.062281,Seoul-2d4c,3,24,Normal
2026-02-16 04:37:28.062281,Seoul-2d4c,-17,96,Normal
2026-02-16 04:37:29.062281,Seoul-2d4c,37,23,Normal
2026-02-16 04:37:30.062281,Seoul-2d4c,10,89,Normal
2026-02-16 04:37:31.062281,Seoul-2d4c,-30,74,Normal
2026-02-16 04:37:32.062281,Seoul-2d4c,41,52,Normal
2026-02-16 04:37:33.062281,Seoul-2d4c,38,4,Normal
2026-02-16 04:37:34.062281,Seoul-2d4c,34,7,Normal
2026-02-16 04:37:35.062281,Seoul-2d4c,4,5,Normal
2026-02-16 04:37:36.062281,Seoul-2d4c,-11,87,Normal
2026-02-16 04:37:37.062281,Seoul-2d4c,-28,43,Normal
2026-02-16 04:37:38.062281,Seoul-2d4c,13,67,Normal
2026-02-16 04:37:39.062281,Seoul-2d4c,-13,63,Normal
2026-02-16 04:37:40.062281,Seoul-2d4c,25,22,Normal
2026-02-16 04:37:41.062281,Seoul-2d4c,-13,18,Normal
2026-02-16 04:37:42.062281,Seoul-2d4c,-14,94,Normal
2026-02-16 04:37:43.062281,Seoul-2d4c,43,95,Normal
2026-02-16 04:37:44.062281,Seoul-2d4c,32,18,Normal
2026-02-16 04:37:45.062281,Seoul-2d4c,4,20,Normal
2026-02-16 04:37:46.062281,Seoul-2d4c,-11,70,Normal
2026-02-16 04:37:47.062281,Seoul-2d4c,27,39,Normal
2026-02-16 04:37:48.062281,Seoul-2d4c,-6,89,Normal
2026-02-16 04:37:49.062281,Seoul-2d4c,27,85,Normal
2026-02-16 04:37:50.062281,Seoul-2d4c,-11,42,Normal
2026-02-16 04:37:51.062281,Seoul-2d4c,42,17,Normal
2026-02-16 04:37:52.062281,Seoul-2d4c,20,62,Normal
2026-02-16 04:37:53.062281,Seoul-2d4c,-7,49,Normal
2026-02-16 04:37:54.062281,Seoul-2d4c,-20,90,Normal
2026-02-16 04:37:55.062281,Seoul-2d4c,38,59,Normal
2026-02-16 04:37:56.062281,Seoul-2d4c,37,60,Normal
2026-02-16 04:37:57.062281,Seoul-2d4c,-6,26,Normal
2026-02-16 04:37:58.062281,Seoul-2d4c,12,24,Normal
2026-02-16 04:37:59.062281,Seoul-2d4c,-24,5,Normal
2026-02-16 04:38:00.062281,Seoul-2d4c,50,83,Normal
2026-02-16 04:38:01.062281,Seoul-2d4c,43,36,Normal
2026-02-16 04:38:02.062281,Seoul-2d4c,1,36,Normal
2026-02-16 04:38:03.062281,Seoul-2d4c,3,79,Normal
2026-02-16 04:38:04.062281,Seoul-2d4c,47,13,Normal
2026-02-16 04:38:05.062281,Seoul-2d4c,4,24,Normal
2026-02-16 04:38:06.062281,Seoul-2d4c,-21,7,Normal
2026-02-16 04:38:07.062281,Seoul-2d4c,-6,36,Normal
2026-02-16 04:38:08.062281,Seoul-2d4c,-22,56,Normal
2026-02-16 04:38:09.062281,Seoul-2d4c,2,90,Normal
2026-02-16 04:38:10.062281,Seoul-2d4c,-11,72,Normal
2026-02-16 04:38:11.062281,Seoul-2d4c,13,23,Normal
2026-02-16 04:38:12.062281,Seoul-2d4c,31,23,Normal
2026-02-16 04:38:13.062281,Seoul-2d4c,24,90,Normal
2026-02-16 04:38:14.062281,Seoul-2d4c,-13,84,Normal
2026-02-16 04:38:15.062281,Seoul-2d4c,36,73,Normal
2026-02-16 04:38:16.062281,Seoul-2d4c,14,21,Normal
2026-02-16 04:38:17.062281,Seoul-2d4c,-10,80,Normal
2026-02-16 04:38:18.062281,Seoul-2d4c,47,45,Normal
2026-02-16 04:38:19.062281,Seoul-2d4c,11,77,Normal
2026-02-16 04:38:20.062281,Seoul-2d4c,-28,29,Normal
2026-02-16 04:38:21.062281,Seoul-2d4c,22,28,Normal
2026-02-16 04:38:22.062281,Seoul-2d4c,31,0,Normal
2026-02-16 04:38:23.062281,Seoul-2d4c,-15,59,Normal
2026-02-16 04:38:24.062281,Seoul-2d4c,3,82,Normal
2026-02-16 04:38:25.062281,Seoul-2d4c,-9,8,Normal
2026-02-16 04:38:26.062281,Seoul-2d4c,6,99,Normal
2026-02-16 04:38:27.062281,Seoul-2d4c,28,30,Normal
2026-02-16 04:38:28.062281,Seoul-2d4c,26,55,Normal
2026-02-16 04:38:29.062281,Seoul-2d4c,26,64,Normal
2026-02-16 04:38:30.062281,Seoul-2d4c,-6,95,Normal
2026-02-16 04:38:31.062281,Seoul-2d4c,6,55,Normal
2026-02-16 04:38:32.062281,Seoul-2d4c,20,4,Normal
2026-02-16 04:38:33.062281,Seoul-2d4c,21,64,Normal
2026-02-16 04:38:34.062281,Seoul-2d4c,32,60,Normal
2026-02-16 04:38:35.062281,Seoul-2d4c,-3,29,Normal
2026-02-16 04:38:36.062281,Seoul-2d4c,3,49,Normal
2026-02-16 04:38:37.062281,Seoul-2d4c,-14,65,Normal
2026-02-16 04:38:38.062281,Seoul-2d4c,-26,62,Normal
2026-02-16 04:38:39.062281,Seoul-2d4c,-21,46,Normal
2026-02-16 04:38:40.062281,Seoul-2d4c,-22,22,Normal
2026-02-16 04:38:41.062281,Seoul-2d4c,-17,22,Normal
2026-02-16 04:38:42.062281,Seoul-2d4c,18,94,Normal
2026-02-16 04:38:43.062281,Seoul-2d4c,-20,59,Normal
2026-02-16 04:38:44.062281,Seoul-2d4c,31,94,Normal
