timestamp,station_id,temp,humid,condition
2026-04-28 12:25:51.515294,Seoul-8afd,47,36,Normal
2026-04-28 12:25:52.515294,Seoul-8afd,10,46,Normal
2026-04-28 12:25:53.515294,Seoul-8afd,11,7,Normal
2026-04-28 12:25:54.515294,Seoul-8afd,46,15,Normal
2026-04-28 12:25:55.515294,Seoul-8afd,17,4,Normal
2026-04-28 12:25:56.515294,Seoul-8afd,-30,2,Normal
2026-04-28 12:25:57.515294,Seoul-8afd,34,6,Normal
2026-04-28 12:25:58.515294,Seoul-8afd,22,31,Normal
2026-04-28 12:25:59.515294,Seoul-8afd,-6,48,Normal
2026-04-28 12:26:00.515294,Seoul-8afd,12,73,Normal
2026-04-28 12:26:01.515294,Seoul-8afd,14,17,Normal
2026-04-28 12:26:02.515294,Seoul-8afd,48,33,Normal
2026-04-28 12:26:03.515294,Seoul-8afd,-4,30,Normal
2026-04-28 12:26:04.515294,Seoul-8afd,-12,29,Normal
2026-04-28 12:26:05.515294,Seoul-8afd,19,30,Normal
2026-04-28 12:26:06.515294,Seoul-8afd,18,16,Normal
2026-04-28 12:26:07.515294,Seoul-8afd,36,81,Normal
2026-04-28 12:26:08.515294,Seoul-8afd,6,36,Normal
2026-04-28 12:26:09.515294,Seoul-8afd,-1,93,Normal
2026-04-28 12:26:10.515294,Seoul-8afd,32,62,Normal
2026-04-28 12:26:11.515294,Seoul-8afd,21,10,Normal
2026-04-28 12:26:12.515294,Seoul-8afd,28,7,Normal
2026-04-28 12:26:13.515294,Seoul-8afd,16,35,Normal
2026-04-28 12:26:14.515294,Seoul-8afd,37,81,Normal
2026-04-28 12:26:15.515294,Seoul-8afd,46,60,Normal
2026-04-28 12:26:16.515294,Seoul-8afd,37,21,Normal
2026-04-28 12:26:17.515294,Seoul-8afd,1,16,Normal
2026-04-28 12:26:18.515294,Seoul-8afd,18,8,Normal
2026-04-28 12:26:19.515294,Seoul-8afd,11,39,Normal
2026-04-28 12:26:20.515294,Seoul-8afd,5,43,Normal
2026-04-28 12:26:21.515294,Seoul-8afd,-16,88,Normal
2026-04-28 12:26:22.515294,Seoul-8afd,-2,56,Normal
2026-04-28 12:26:23.515294,Seoul-8afd,20,94,Normal
2026-04-28 12:26:24.515294,Seoul-8afd,18,91,Normal
2026-04-28 12:26:25.515294,Seoul-8afd,-17,69,Normal
2026-04-28 12:26:26.515294,Seoul-8afd,39,56,Normal
2026-04-28 12:26:27.515294,Seoul-8afd,24,47,Normal
2026-04-28 12:26:28.515294,Seoul-8afd,1,76,Normal
2026-04-28 12:26:29.515294,Seoul-8afd,16,2,Normal
2026-04-28 12:26:30.515294,Seoul-8afd,-15,43,Normal
2026-04-28 12:26:31.515294,Seoul-8afd,33,9,Normal
2026-04-28 12:26:32.515294,Seoul-8afd,29,28,Normal
2026-04-28 12:26:33.515294,Seoul-8afd,1,66,Normal
2026-04-28 12:26:34.515294,Seoul-8afd,-13,11,Normal
2026-04-28 12:26:35.515294,Seoul-8afd,-15,24,Normal
2026-04-28 12:26:36.515294,Seoul-8afd,-7,70,Normal
2026-04-28 12:26:37.515294,Seoul-8afd,38,51,Normal
2026-04-28 12:26:38.515294,Seoul-8afd,-14,14,Normal
2026-04-28 12:26:39.515294,Seoul-8afd,-20,92,Normal
2026-04-28 12:26:40.515294,Seoul-8afd,-2,32,Normal
2026-04-28 12:26:41.515294,Seoul-8afd,-10,92,Normal
2026-04-28 12:26:42.515294,Seoul-8afd,21,40,Normal
2026-04-28 12:26:43.515294,Seoul-8afd,-17,74,Normal
2026-04-28 12:26:44.515294,Seoul-8afd,-4,36,Normal
2026-04-28 12:26:45.515294,Seoul-8afd,38,25,Normal
2026-04-28 12:26:46.515294,Seoul-8afd,19,67,Normal
2026-04-28 12:26:47.515294,Seoul-8afd,26,26,Normal
2026-04-28 12:26:48.515294,Seoul-8afd,-12,54,Normal
2026-04-28 12:26:49.515294,Seoul-8afd,-2,47,Normal
2026-04-28 12:26:50.515294,Seoul-8afd,22,28,Normal
2026-04-28 12:26:51.515294,Seoul-8afd,10,19,Normal
