timestamp,station_id,temp,humid,condition
2026-02-15 11:20:41.323068,Seoul-c521,9,7,Normal
2026-02-15 11:20:42.323068,Seoul-c521,33,61,Normal
2026-02-15 11:20:43.323068,Seoul-c521,0,27,Normal
2026-02-15 11:20:44.323068,Seoul-c521,25,56,Normal
2026-02-15 11:20:45.323068,Seoul-c521,-15,10,Normal
2026-02-15 11:20:46.323068,Seoul-c521,37,80,Normal
2026-02-15 11:20:47.323068,Seoul-c521,-28,33,Normal
2026-02-15 11:20:48.323068,Seoul-c521,-7,90,Normal
2026-02-15 11:20:49.323068,Seoul-c521,-3,52,Normal
2026-02-15 11:20:50.323068,Seoul-c521,18,69,Normal
2026-02-15 11:20:51.323068,Seoul-c521,-16,26,Normal
2026-02-15 11:20:52.323068,Seoul-c521,23,62,Normal
2026-02-15 11:20:53.323068,Seoul-c521,-2,85,Normal
2026-02-15 11:20:54.323068,Seoul-c521,3,60,Normal
2026-02-15 11:20:55.323068,Seoul-c521,40,70,Normal
2026-02-15 11:20:56.323068,Seoul-c521,49,68,Normal
2026-02-15 11:20:57.323068,Seoul-c521,-2,29,Normal
2026-02-15 11:20:58.323068,Seoul-c521,17,11,Normal
2026-02-15 11:20:59.323068,Seoul-c521,44,71,Normal
2026-02-15 11:21:00.323068,Seoul-c521,43,43,Normal
2026-02-15 11:21:01.323068,Seoul-c521,47,85,Normal
2026-02-15 11:21:02.323068,Seoul-c521,45,76,Normal
2026-02-15 11:21:03.323068,Seoul-c521,4,36,Normal
2026-02-15 11:21:04.323068,Seoul-c521,45,99,Normal
2026-02-15 11:21:05.323068,Seoul-c521,41,46,Normal
2026-02-15 11:21:06.323068,Seoul-c521,25,58,Normal
2026-02-15 11:21:07.323068,Seoul-c521,28,79,Normal
2026-02-15 11:21:08.323068,Seoul-c521,-2,2,Normal
2026-02-15 11:21:09.323068,Seoul-c521,50,47,Normal
2026-02-15 11:21:10.323068,Seoul-c521,25,5,Normal
2026-02-15 11:21:11.323068,Seoul-c521,26,40,Normal
2026-02-15 11:21:12.323068,Seoul-c521,-13,81,Normal
2026-02-15 11:21:13.323068,Seoul-c521,-28,0,Normal
2026-02-15 11:21:14.323068,Seoul-c521,1,23,Normal
2026-02-15 11:21:15.323068,Seoul-c521,34,43,Normal
2026-02-15 11:21:16.323068,Seoul-c521,42,76,Normal
2026-02-15 11:21:17.323068,Seoul-c521,35,90,Normal
2026-02-15 11:21:18.323068,Seoul-c521,19,44,Normal
2026-02-15 11:21:19.323068,Seoul-c521,3,29,Normal
2026-02-15 11:21:20.323068,Seoul-c521,-4,15,Normal
2026-02-15 11:21:21.323068,Seoul-c521,-8,1,Normal
2026-02-15 11:21:22.323068,Seoul-c521,44,80,Normal
2026-02-15 11:21:23.323068,Seoul-c521,37,72,Normal
2026-02-15 11:21:24.323068,Seoul-c521,32,27,Normal
2026-02-15 11:21:25.323068,Seoul-c521,-26,51,Normal
2026-02-15 11:21:26.323068,Seoul-c521,30,11,Normal
2026-02-15 11:21:27.323068,Seoul-c521,18,28,Normal
2026-02-15 11:21:28.323068,Seoul-c521,-12,4,Normal
2026-02-15 11:21:29.323068,Seoul-c521,-10,2,Normal
2026-02-15 11:21:30.323068,Seoul-c521,-16,62,Normal
2026-02-15 11:21:31.323068,Seoul-c521,9,27,Normal
2026-02-15 11:21:32.323068,Seoul-c521,44,37,Normal
2026-02-15 11:21:33.323068,Seoul-c521,31,42,Normal
2026-02-15 11:21:34.323068,Seoul-c521,42,49,Normal
2026-02-15 11:21:35.323068,Seoul-c521,-12,21,Normal
2026-02-15 11:21:36.323068,Seoul-c521,-21,84,Normal
2026-02-15 11:21:37.323068,Seoul-c521,13,94,Normal
2026-02-15 11:21:38.323068,Seoul-c521,-30,49,Normal
2026-02-15 11:21:39.323068,Seoul-c521,-20,61,Normal
2026-02-15 11:21:40.323068,Seoul-c521,-28,33,Normal
2026-02-15 11:21:41.323068,Seoul-c521,-3,11,Normal
2026-02-15 11:21:42.323068,Seoul-c521,28,81,Normal
2026-02-15 11:21:43.323068,Seoul-c521,-16,42,Normal
2026-02-15 11:21:44.323068,Seoul-c521,-27,53,Normal
2026-02-15 11:21:45.323068,Seoul-c521,-12,38,Normal
2026-02-15 11:21:46.323068,Seoul-c521,23,71,Normal
2026-02-15 11:21:47.323068,Seoul-c521,-13,64,Normal
2026-02-15 11:21:48.323068,Seoul-c521,-3,38,Normal
2026-02-15 11:21:49.323068,Seoul-c521,49,89,Normal
2026-02-15 11:21:50.323068,Seoul-c521,-18,15,Normal
2026-02-15 11:21:51.323068,Seoul-c521,17,98,Normal
2026-02-15 11:21:52.323068,Seoul-c521,38,93,Normal
2026-02-15 11:21:53.323068,Seoul-c521,21,87,Normal
2026-02-15 11:21:54.323068,Seoul-c521,23,13,Normal
2026-02-15 11:21:55.323068,Seoul-c521,47,77,Normal
2026-02-15 11:21:56.323068,Seoul-c521,25,48,Normal
2026-02-15 11:21:57.323068,Seoul-c521,-18,1,Normal
2026-02-15 11:21:58.323068,Seoul-c521,21,19,Normal
2026-02-15 11:21:59.323068,Seoul-c521,17,45,Normal
2026-02-15 11:22:00.323068,Seoul-c521,-12,67,Normal
2026-02-15 11:22:01.323068,Seoul-c521,19,92,Normal
2026-02-15 11:22:02.323068,Seoul-c521,15,10,Normal
2026-02-15 11:22:03.323068,Seoul-c521,12,74,Normal
2026-02-15 11:22:04.323068,Seoul-c521,-19,14,Normal
2026-02-15 11:22:05.323068,Seoul-c521,23,23,Normal
2026-02-15 11:22:06.323068,Seoul-c521,-23,47,Normal
2026-02-15 11:22:07.323068,Seoul-c521,39,18,Normal
2026-02-15 11:22:08.323068,Seoul-c521,47,74,Normal
2026-02-15 11:22:09.323068,Seoul-c521,20,94,Normal
2026-02-15 11:22:10.323068,Seoul-c521,41,5,Normal
2026-02-15 11:22:11.323068,Seoul-c521,36,41,Normal
2026-02-15 11:22:12.323068,Seoul-c521,35,30,Normal
2026-02-15 11:22:13.323068,Seoul-c521,-13,3,Normal
2026-02-15 11:22:14.323068,Seoul-c521,-28,27,Normal
2026-02-15 11:22:15.323068,Seoul-c521,1,97,Normal
2026-02-15 11:22:16.323068,Seoul-c521,-4,36,Normal
2026-02-15 11:22:17.323068,Seoul-c521,45,6,Normal
2026-02-15 11:22:18.323068,Seoul-c521,-19,40,Normal
2026-02-15 11:22:19.323068,Seoul-c521,25,97,Normal
2026-02-15 11:22:20.323068,Seoul-c521,21,76,Normal
2026-02-15 11:22:21.323068,Seoul-c521,33,51,Normal
2026-02-15 11:22:22.323068,Seoul-c521,-30,43,Normal
2026-02-15 11:22:23.323068,Seoul-c521,21,12,Normal
2026-02-15 11:22:24.323068,Seoul-c521,-20,9,Normal
2026-02-15 11:22:25.323068,Seoul-c521,-5,99,Normal
2026-02-15 11:22:26.323068,Seoul-c521,38,4,Normal
2026-02-15 11:22:27.323068,Seoul-c521,20,100,Normal
2026-02-15 11:22:28.323068,Seoul-c521,-8,62,Normal
2026-02-15 11:22:29.323068,Seoul-c521,12,15,Normal
2026-02-15 11:22:30.323068,Seoul-c521,-11,36,Normal
2026-02-15 11:22:31.323068,Seoul-c521,-12,32,Normal
2026-02-15 11:22:32.323068,Seoul-c521,36,0,Normal
2026-02-15 11:22:33.323068,Seoul-c521,-20,98,Normal
2026-02-15 11:22:34.323068,Seoul-c521,-15,91,Normal
