timestamp,station_id,temp,humid,condition
2026-02-11 13:32:30.369254,Seoul-d337,5,85,Normal
2026-02-11 13:32:31.369254,Seoul-d337,36,38,Normal
2026-02-11 13:32:32.369254,Seoul-d337,48,15,Normal
2026-02-11 13:32:33.369254,Seoul-d337,13,76,Normal
2026-02-11 13:32:34.369254,Seoul-d337,-20,52,Normal
2026-02-11 13:32:35.369254,Seoul-d337,-27,53,Normal
2026-02-11 13:32:36.369254,Seoul-d337,14,16,Normal
2026-02-11 13:32:37.369254,Seoul-d337,22,65,Normal
2026-02-11 13:32:38.369254,Seoul-d337,17,76,Normal
2026-02-11 13:32:39.369254,Seoul-d337,16,57,Normal
2026-02-11 13:32:40.369254,Seoul-d337,-13,89,Normal
2026-02-11 13:32:41.369254,Seoul-d337,49,16,Normal
2026-02-11 13:32:42.369254,Seoul-d337,45,19,Normal
2026-02-11 13:32:43.369254,Seoul-d337,31,18,Normal
2026-02-11 13:32:44.369254,Seoul-d337,-10,92,Normal
2026-02-11 13:32:45.369254,Seoul-d337,33,87,Normal
2026-02-11 13:32:46.369254,Seoul-d337,37,82,Normal
2026-02-11 13:32:47.369254,Seoul-d337,45,9,Normal
2026-02-11 13:32:48.369254,Seoul-d337,29,61,Normal
2026-02-11 13:32:49.369254,Seoul-d337,13,40,Normal
2026-02-11 13:32:50.369254,Seoul-d337,20,83,Normal
2026-02-11 13:32:51.369254,Seoul-d337,50,62,Normal
2026-02-11 13:32:52.369254,Seoul-d337,8,13,Normal
2026-02-11 13:32:53.369254,Seoul-d337,-10,3,Normal
2026-02-11 13:32:54.369254,Seoul-d337,10,24,Normal
2026-02-11 13:32:55.369254,Seoul-d337,31,36,Normal
2026-02-11 13:32:56.369254,Seoul-d337,25,95,Normal
2026-02-11 13:32:57.369254,Seoul-d337,-29,88,Normal
2026-02-11 13:32:58.369254,Seoul-d337,-4,83,Normal
2026-02-11 13:32:59.369254,Seoul-d337,4,42,Normal
2026-02-11 13:33:00.369254,Seoul-d337,38,41,Normal
2026-02-11 13:33:01.369254,Seoul-d337,6,35,Normal
2026-02-11 13:33:02.369254,Seoul-d337,-1,54,Normal
2026-02-11 13:33:03.369254,Seoul-d337,21,6,Normal
2026-02-11 13:33:04.369254,Seoul-d337,9,14,Normal
2026-02-11 13:33:05.369254,Seoul-d337,40,45,Normal
2026-02-11 13:33:06.369254,Seoul-d337,-19,20,Normal
2026-02-11 13:33:07.369254,Seoul-d337,38,15,Normal
2026-02-11 13:33:08.369254,Seoul-d337,-11,65,Normal
2026-02-11 13:33:09.369254,Seoul-d337,26,17,Normal
2026-02-11 13:33:10.369254,Seoul-d337,22,17,Normal
2026-02-11 13:33:11.369254,Seoul-d337,36,91,Normal
2026-02-11 13:33:12.369254,Seoul-d337,-3,82,Normal
2026-02-11 13:33:13.369254,Seoul-d337,19,12,Normal
2026-02-11 13:33:14.369254,Seoul-d337,28,53,Normal
2026-02-11 13:33:15.369254,Seoul-d337,29,42,Normal
2026-02-11 13:33:16.369254,Seoul-d337,-6,75,Normal
2026-02-11 13:33:17.369254,Seoul-d337,2,76,Normal
2026-02-11 13:33:18.369254,Seoul-d337,21,25,Normal
2026-02-11 13:33:19.369254,Seoul-d337,6,89,Normal
2026-02-11 13:33:20.369254,Seoul-d337,-10,36,Normal
2026-02-11 13:33:21.369254,Seoul-d337,32,47,Normal
2026-02-11 13:33:22.369254,Seoul-d337,-23,93,Normal
2026-02-11 13:33:23.369254,Seoul-d337,41,71,Normal
2026-02-11 13:33:24.369254,Seoul-d337,4,69,Normal
2026-02-11 13:33:25.369254,Seoul-d337,27,34,Normal
2026-02-11 13:33:26.369254,Seoul-d337,17,49,Normal
2026-02-11 13:33:27.369254,Seoul-d337,-15,43,Normal
2026-02-11 13:33:28.369254,Seoul-d337,9,91,Normal
2026-02-11 13:33:29.369254,Seoul-d337,22,44,Normal
2026-02-11 13:33:30.369254,Seoul-d337,-10,98,Normal
2026-02-11 13:33:31.369254,Seoul-d337,-12,33,Normal
2026-02-11 13:33:32.369254,Seoul-d337,44,84,Normal
2026-02-11 13:33:33.369254,Seoul-d337,-27,51,Normal
2026-02-11 13:33:34.369254,Seoul-d337,27,43,Normal
2026-02-11 13:33:35.369254,Seoul-d337,8,98,Normal
2026-02-11 13:33:36.369254,Seoul-d337,-29,51,Normal
2026-02-11 13:33:37.369254,Seoul-d337,2,9,Normal
2026-02-11 13:33:38.369254,Seoul-d337,50,21,Normal
2026-02-11 13:33:39.369254,Seoul-d337,32,26,Normal
2026-02-11 13:33:40.369254,Seoul-d337,17,3,Normal
2026-02-11 13:33:41.369254,Seoul-d337,-14,3,Normal
2026-02-11 13:33:42.369254,Seoul-d337,10,78,Normal
2026-02-11 13:33:43.369254,Seoul-d337,-22,62,Normal
2026-02-11 13:33:44.369254,Seoul-d337,-22,41,Normal
2026-02-11 13:33:45.369254,Seoul-d337,46,22,Normal
2026-02-11 13:33:46.369254,Seoul-d337,43,17,Normal
2026-02-11 13:33:47.369254,Seoul-d337,-1,67,Normal
2026-02-11 13:33:48.369254,Seoul-d337,48,58,Normal
2026-02-11 13:33:49.369254,Seoul-d337,18,39,Normal
2026-02-11 13:33:50.369254,Seoul-d337,2,65,Normal
2026-02-11 13:33:51.369254,Seoul-d337,4,7,Normal
2026-02-11 13:33:52.369254,Seoul-d337,5,3,Normal
