timestamp,station_id,temp,humid,condition
2026-02-16 16:04:31.812349,Seoul-e0cd,40,48,Normal
2026-02-16 16:04:32.812349,Seoul-e0cd,48,67,Normal
2026-02-16 16:04:33.812349,Seoul-e0cd,33,36,Normal
2026-02-16 16:04:34.812349,Seoul-e0cd,25,73,Normal
2026-02-16 16:04:35.812349,Seoul-e0cd,4,26,Normal
2026-02-16 16:04:36.812349,Seoul-e0cd,0,78,Normal
2026-02-16 16:04:37.812349,Seoul-e0cd,-27,24,Normal
2026-02-16 16:04:38.812349,Seoul-e0cd,42,81,Normal
2026-02-16 16:04:39.812349,Seoul-e0cd,22,9,Normal
2026-02-16 16:04:40.812349,Seoul-e0cd,45,72,Normal
2026-02-16 16:04:41.812349,Seoul-e0cd,50,75,Normal
2026-02-16 16:04:42.812349,Seoul-e0cd,-6,26,Normal
2026-02-16 16:04:43.812349,Seoul-e0cd,31,47,Normal
2026-02-16 16:04:44.812349,Seoul-e0cd,35,14,Normal
2026-02-16 16:04:45.812349,Seoul-e0cd,38,83,Normal
2026-02-16 16:04:46.812349,Seoul-e0cd,26,22,Normal
2026-02-16 16:04:47.812349,Seoul-e0cd,43,21,Normal
2026-02-16 16:04:48.812349,Seoul-e0cd,11,40,Normal
2026-02-16 16:04:49.812349,Seoul-e0cd,-16,12,Normal
2026-02-16 16:04:50.812349,Seoul-e0cd,25,94,Normal
2026-02-16 16:04:51.812349,Seoul-e0cd,14,0,Normal
2026-02-16 16:04:52.812349,Seoul-e0cd,1,22,Normal
2026-02-16 16:04:53.812349,Seoul-e0cd,21,17,Normal
2026-02-16 16:04:54.812349,Seoul-e0cd,-17,50,Normal
2026-02-16 16:04:55.812349,Seoul-e0cd,-24,74,Normal
2026-02-16 16:04:56.812349,Seoul-e0cd,15,47,Normal
2026-02-16 16:04:57.812349,Seoul-e0cd,33,98,Normal
2026-02-16 16:04:58.812349,Seoul-e0cd,-26,17,Normal
2026-02-16 16:04:59.812349,Seoul-e0cd,9,50,Normal
2026-02-16 16:05:00.812349,Seoul-e0cd,-17,4,Normal
2026-02-16 16:05:01.812349,Seoul-e0cd,-22,83,Normal
2026-02-16 16:05:02.812349,Seoul-e0cd,41,11,Normal
2026-02-16 16:05:03.812349,Seoul-e0cd,4,74,Normal
2026-02-16 16:05:04.812349,Seoul-e0cd,5,73,Normal
2026-02-16 16:05:05.812349,Seoul-e0cd,-5,83,Normal
2026-02-16 16:05:06.812349,Seoul-e0cd,-18,37,Normal
2026-02-16 16:05:07.812349,Seoul-e0cd,-12,52,Normal
2026-02-16 16:05:08.812349,Seoul-e0cd,-25,88,Normal
2026-02-16 16:05:09.812349,Seoul-e0cd,4,82,Normal
2026-02-16 16:05:10.812349,Seoul-e0cd,16,82,Normal
2026-02-16 16:05:11.812349,Seoul-e0cd,-30,97,Normal
2026-02-16 16:05:12.812349,Seoul-e0cd,-23,30,Normal
