timestamp,station_id,temp,humid,condition
2026-02-08 09:41:07.489805,Tokyo-8fed,2,58,Normal
2026-02-08 09:41:08.489805,Tokyo-8fed,-1,21,Normal
2026-02-08 09:41:09.489805,Tokyo-8fed,-26,39,Normal
2026-02-08 09:41:10.489805,Tokyo-8fed,0,2,Normal
2026-02-08 09:41:11.489805,Tokyo-8fed,-27,46,Normal
2026-02-08 09:41:12.489805,Tokyo-8fed,22,38,Normal
2026-02-08 09:41:13.489805,Tokyo-8fed,-18,80,Normal
2026-02-08 09:41:14.489805,Tokyo-8fed,43,25,Normal
2026-02-08 09:41:15.489805,Tokyo-8fed,-6,34,Normal
2026-02-08 09:41:16.489805,Tokyo-8fed,12,23,Normal
2026-02-08 09:41:17.489805,Tokyo-8fed,6,25,Normal
2026-02-08 09:41:18.489805,Tokyo-8fed,-30,28,Normal
2026-02-08 09:41:19.489805,Tokyo-8fed,45,4,Normal
2026-02-08 09:41:20.489805,Tokyo-8fed,7,48,Normal
2026-02-08 09:41:21.489805,Tokyo-8fed,0,14,Normal
2026-02-08 09:41:22.489805,Tokyo-8fed,31,70,Normal
2026-02-08 09:41:23.489805,Tokyo-8fed,-5,29,Normal
2026-02-08 09:41:24.489805,Tokyo-8fed,36,40,Normal
2026-02-08 09:41:25.489805,Tokyo-8fed,-25,33,Normal
2026-02-08 09:41:26.489805,Tokyo-8fed,-7,41,Normal
2026-02-08 09:41:27.489805,Tokyo-8fed,6,51,Normal
2026-02-08 09:41:28.489805,Tokyo-8fed,17,92,Normal
2026-02-08 09:41:29.489805,Tokyo-8fed,21,4,Normal
2026-02-08 09:41:30.489805,Tokyo-8fed,23,23,Normal
2026-02-08 09:41:31.489805,Tokyo-8fed,-26,49,Normal
2026-02-08 09:41:32.489805,Tokyo-8fed,-25,89,Normal
2026-02-08 09:41:33.489805,Tokyo-8fed,23,56,Normal
2026-02-08 09:41:34.489805,Tokyo-8fed,13,13,Normal
2026-02-08 09:41:35.489805,Tokyo-8fed,16,40,Normal
2026-02-08 09:41:36.489805,Tokyo-8fed,49,85,Normal
2026-02-08 09:41:37.489805,Tokyo-8fed,-9,19,Normal
2026-02-08 09:41:38.489805,Tokyo-8fed,35,10,Normal
2026-02-08 09:41:39.489805,Tokyo-8fed,29,21,Normal
2026-02-08 09:41:40.489805,Tokyo-8fed,31,69,Normal
2026-02-08 09:41:41.489805,Tokyo-8fed,36,20,Normal
2026-02-08 09:41:42.489805,Tokyo-8fed,-15,74,Normal
2026-02-08 09:41:43.489805,Tokyo-8fed,2,4,Normal
2026-02-08 09:41:44.489805,Tokyo-8fed,4,78,Normal
2026-02-08 09:41:45.489805,Tokyo-8fed,-1,35,Normal
2026-02-08 09:41:46.489805,Tokyo-8fed,-17,87,Normal
2026-02-08 09:41:47.489805,Tokyo-8fed,40,86,Normal
2026-02-08 09:41:48.489805,Tokyo-8fed,1,86,Normal
2026-02-08 09:41:49.489805,Tokyo-8fed,-3,88,Normal
2026-02-08 09:41:50.489805,Tokyo-8fed,-20,21,Normal
2026-02-08 09:41:51.489805,Tokyo-8fed,7,41,Normal
2026-02-08 09:41:52.489805,Tokyo-8fed,34,78,Normal
2026-02-08 09:41:53.489805,Tokyo-8fed,46,65,Normal
2026-02-08 09:41:54.489805,Tokyo-8fed,38,68,Normal
2026-02-08 09:41:55.489805,Tokyo-8fed,39,29,Normal
