timestamp,station_id,temp,humid,condition
2026-02-10 08:13:49.574008,Tokyo-b460,14,16,Normal
2026-02-10 08:13:50.574008,Tokyo-b460,-16,58,Normal
2026-02-10 08:13:51.574008,Tokyo-b460,-22,39,Normal
2026-02-10 08:13:52.574008,Tokyo-b460,36,21,Normal
2026-02-10 08:13:53.574008,Tokyo-b460,11,91,Normal
2026-02-10 08:13:54.574008,Tokyo-b460,0,9,Normal
2026-02-10 08:13:55.574008,Tokyo-b460,15,3,Normal
2026-02-10 08:13:56.574008,Tokyo-b460,7,0,Normal
2026-02-10 08:13:57.574008,Tokyo-b460,6,77,Normal
2026-02-10 08:13:58.574008,Tokyo-b460,27,13,Normal
2026-02-10 08:13:59.574008,Tokyo-b460,18,89,Normal
2026-02-10 08:14:00.574008,Tokyo-b460,6,75,Normal
2026-02-10 08:14:01.574008,Tokyo-b460,9,9,Normal
2026-02-10 08:14:02.574008,Tokyo-b460,37,96,Normal
2026-02-10 08:14:03.574008,Tokyo-b460,18,86,Normal
2026-02-10 08:14:04.574008,Tokyo-b460,46,43,Normal
2026-02-10 08:14:05.574008,Tokyo-b460,17,24,Normal
2026-02-10 08:14:06.574008,Tokyo-b460,-15,5,Normal
2026-02-10 08:14:07.574008,Tokyo-b460,31,52,Normal
2026-02-10 08:14:08.574008,Tokyo-b460,23,75,Normal
2026-02-10 08:14:09.574008,Tokyo-b460,25,9,Normal
2026-02-10 08:14:10.574008,Tokyo-b460,27,8,Normal
2026-02-10 08:14:11.574008,Tokyo-b460,-10,25,Normal
2026-02-10 08:14:12.574008,Tokyo-b460,-28,91,Normal
2026-02-10 08:14:13.574008,Tokyo-b460,37,11,Normal
2026-02-10 08:14:14.574008,Tokyo-b460,-14,51,Normal
2026-02-10 08:14:15.574008,Tokyo-b460,3,43,Normal
2026-02-10 08:14:16.574008,Tokyo-b460,-9,48,Normal
2026-02-10 08:14:17.574008,Tokyo-b460,21,79,Normal
2026-02-10 08:14:18.574008,Tokyo-b460,-12,13,Normal
2026-02-10 08:14:19.574008,Tokyo-b460,14,6,Normal
2026-02-10 08:14:20.574008,Tokyo-b460,34,37,Normal
2026-02-10 08:14:21.574008,Tokyo-b460,16,70,Normal
2026-02-10 08:14:22.574008,Tokyo-b460,24,91,Normal
2026-02-10 08:14:23.574008,Tokyo-b460,9,69,Normal
2026-02-10 08:14:24.574008,Tokyo-b460,34,94,Normal
2026-02-10 08:14:25.574008,Tokyo-b460,-28,86,Normal
2026-02-10 08:14:26.574008,Tokyo-b460,29,88,Normal
2026-02-10 08:14:27.574008,Tokyo-b460,-2,31,Normal
2026-02-10 08:14:28.574008,Tokyo-b460,15,32,Normal
2026-02-10 08:14:29.574008,Tokyo-b460,43,79,Normal
2026-02-10 08:14:30.574008,Tokyo-b460,39,14,Normal
2026-02-10 08:14:31.574008,Tokyo-b460,46,60,Normal
2026-02-10 08:14:32.574008,Tokyo-b460,43,3,Normal
2026-02-10 08:14:33.574008,Tokyo-b460,-1,24,Normal
2026-02-10 08:14:34.574008,Tokyo-b460,-22,0,Normal
2026-02-10 08:14:35.574008,Tokyo-b460,47,57,Normal
2026-02-10 08:14:36.574008,Tokyo-b460,-7,13,Normal
2026-02-10 08:14:37.574008,Tokyo-b460,36,21,Normal
2026-02-10 08:14:38.574008,Tokyo-b460,37,82,Normal
2026-02-10 08:14:39.574008,Tokyo-b460,48,65,Normal
2026-02-10 08:14:40.574008,Tokyo-b460,-22,63,Normal
2026-02-10 08:14:41.574008,Tokyo-b460,27,66,Normal
2026-02-10 08:14:42.574008,Tokyo-b460,-27,5,Normal
2026-02-10 08:14:43.574008,Tokyo-b460,1,100,Normal
2026-02-10 08:14:44.574008,Tokyo-b460,27,63,Normal
2026-02-10 08:14:45.574008,Tokyo-b460,-29,88,Normal
2026-02-10 08:14:46.574008,Tokyo-b460,33,23,Normal
2026-02-10 08:14:47.574008,Tokyo-b460,-15,47,Normal
2026-02-10 08:14:48.574008,Tokyo-b460,18,54,Normal
2026-02-10 08:14:49.574008,Tokyo-b460,-28,70,Normal
2026-02-10 08:14:50.574008,Tokyo-b460,-12,27,Normal
2026-02-10 08:14:51.574008,Tokyo-b460,47,9,Normal
2026-02-10 08:14:52.574008,Tokyo-b460,-19,58,Normal
2026-02-10 08:14:53.574008,Tokyo-b460,34,32,Normal
2026-02-10 08:14:54.574008,Tokyo-b460,-19,83,Normal
2026-02-10 08:14:55.574008,Tokyo-b460,-22,19,Normal
2026-02-10 08:14:56.574008,Tokyo-b460,-18,93,Normal
2026-02-10 08:14:57.574008,Tokyo-b460,44,92,Normal
2026-02-10 08:14:58.574008,Tokyo-b460,5,49,Normal
2026-02-10 08:14:59.574008,Tokyo-b460,-20,36,Normal
2026-02-10 08:15:00.574008,Tokyo-b460,-24,29,Normal
