timestamp,station_id,temp,humid,condition
2026-02-15 20:23:31.981392,Tokyo-c583,-29,86,Normal
2026-02-15 20:23:32.981392,Tokyo-c583,13,1,Normal
2026-02-15 20:23:33.981392,Tokyo-c583,-2,28,Normal
2026-02-15 20:23:34.981392,Tokyo-c583,33,58,Normal
2026-02-15 20:23:35.981392,Tokyo-c583,47,7,Normal
2026-02-15 20:23:36.981392,Tokyo-c583,21,86,Normal
2026-02-15 20:23:37.981392,Tokyo-c583,-28,11,Normal
2026-02-15 20:23:38.981392,Tokyo-c583,37,80,Normal
2026-02-15 20:23:39.981392,Tokyo-c583,7,93,Normal
2026-02-15 20:23:40.981392,Tokyo-c583,2,34,Normal
2026-02-15 20:23:41.981392,Tokyo-c583,17,75,Normal
2026-02-15 20:23:42.981392,Tokyo-c583,6,20,Normal
2026-02-15 20:23:43.981392,Tokyo-c583,-19,84,Normal
2026-02-15 20:23:44.981392,Tokyo-c583,18,58,Normal
2026-02-15 20:23:45.981392,Tokyo-c583,20,33,Normal
2026-02-15 20:23:46.981392,Tokyo-c583,13,2,Normal
2026-02-15 20:23:47.981392,Tokyo-c583,6,35,Normal
2026-02-15 20:23:48.981392,Tokyo-c583,-14,10,Normal
2026-02-15 20:23:49.981392,Tokyo-c583,10,82,Normal
2026-02-15 20:23:50.981392,Tokyo-c583,36,37,Normal
2026-02-15 20:23:51.981392,Tokyo-c583,3,16,Normal
2026-02-15 20:23:52.981392,Tokyo-c583,5,58,Normal
2026-02-15 20:23:53.981392,Tokyo-c583,14,3,Normal
2026-02-15 20:23:54.981392,Tokyo-c583,23,98,Normal
2026-02-15 20:23:55.981392,Tokyo-c583,34,69,Normal
2026-02-15 20:23:56.981392,Tokyo-c583,-22,98,Normal
2026-02-15 20:23:57.981392,Tokyo-c583,-17,49,Normal
2026-02-15 20:23:58.981392,Tokyo-c583,36,25,Normal
2026-02-15 20:23:59.981392,Tokyo-c583,32,91,Normal
2026-02-15 20:24:00.981392,Tokyo-c583,15,11,Normal
2026-02-15 20:24:01.981392,Tokyo-c583,44,44,Normal
2026-02-15 20:24:02.981392,Tokyo-c583,-23,13,Normal
2026-02-15 20:24:03.981392,Tokyo-c583,9,12,Normal
2026-02-15 20:24:04.981392,Tokyo-c583,-20,24,Normal
2026-02-15 20:24:05.981392,Tokyo-c583,6,97,Normal
2026-02-15 20:24:06.981392,Tokyo-c583,-1,60,Normal
