timestamp,station_id,temp,humid,condition
2026-02-15 06:37:18.413265,Toronto-a308,41,25,Normal
2026-02-15 06:37:19.413265,Toronto-a308,35,15,Normal
2026-02-15 06:37:20.413265,Toronto-a308,-11,27,Normal
2026-02-15 06:37:21.413265,Toronto-a308,20,91,Normal
2026-02-15 06:37:22.413265,Toronto-a308,-1,28,Normal
2026-02-15 06:37:23.413265,Toronto-a308,48,35,Normal
2026-02-15 06:37:24.413265,Toronto-a308,35,17,Normal
2026-02-15 06:37:25.413265,Toronto-a308,45,6,Normal
2026-02-15 06:37:26.413265,Toronto-a308,2,32,Normal
2026-02-15 06:37:27.413265,Toronto-a308,13,55,Normal
2026-02-15 06:37:28.413265,Toronto-a308,4,100,Normal
2026-02-15 06:37:29.413265,Toronto-a308,33,88,Normal
2026-02-15 06:37:30.413265,Toronto-a308,-28,90,Normal
2026-02-15 06:37:31.413265,Toronto-a308,-29,68,Normal
2026-02-15 06:37:32.413265,Toronto-a308,49,67,Normal
2026-02-15 06:37:33.413265,Toronto-a308,27,49,Normal
2026-02-15 06:37:34.413265,Toronto-a308,3,18,Normal
2026-02-15 06:37:35.413265,Toronto-a308,35,81,Normal
2026-02-15 06:37:36.413265,Toronto-a308,14,89,Normal
2026-02-15 06:37:37.413265,Toronto-a308,22,42,Normal
2026-02-15 06:37:38.413265,Toronto-a308,-29,52,Normal
2026-02-15 06:37:39.413265,Toronto-a308,38,20,Normal
2026-02-15 06:37:40.413265,Toronto-a308,40,64,Normal
2026-02-15 06:37:41.413265,Toronto-a308,-29,64,Normal
2026-02-15 06:37:42.413265,Toronto-a308,45,10,Normal
2026-02-15 06:37:43.413265,Toronto-a308,10,13,Normal
2026-02-15 06:37:44.413265,Toronto-a308,23,28,Normal
2026-02-15 06:37:45.413265,Toronto-a308,20,19,Normal
2026-02-15 06:37:46.413265,Toronto-a308,30,61,Normal
2026-02-15 06:37:47.413265,Toronto-a308,-2,90,Normal
2026-02-15 06:37:48.413265,Toronto-a308,15,3,Normal
2026-02-15 06:37:49.413265,Toronto-a308,28,2,Normal
2026-02-15 06:37:50.413265,Toronto-a308,19,90,Normal
2026-02-15 06:37:51.413265,Toronto-a308,37,73,Normal
2026-02-15 06:37:52.413265,Toronto-a308,43,5,Normal
2026-02-15 06:37:53.413265,Toronto-a308,-18,53,Normal
2026-02-15 06:37:54.413265,Toronto-a308,16,81,Normal
2026-02-15 06:37:55.413265,Toronto-a308,50,58,Normal
2026-02-15 06:37:56.413265,Toronto-a308,-19,60,Normal
2026-02-15 06:37:57.413265,Toronto-a308,-30,65,Normal
2026-02-15 06:37:58.413265,Toronto-a308,-1,95,Normal
2026-02-15 06:37:59.413265,Toronto-a308,-29,74,Normal
2026-02-15 06:38:00.413265,Toronto-a308,26,5,Normal
2026-02-15 06:38:01.413265,Toronto-a308,37,87,Normal
2026-02-15 06:38:02.413265,Toronto-a308,8,12,Normal
2026-02-15 06:38:03.413265,Toronto-a308,8,62,Normal
2026-02-15 06:38:04.413265,Toronto-a308,-4,6,Normal
2026-02-15 06:38:05.413265,Toronto-a308,36,46,Normal
2026-02-15 06:38:06.413265,Toronto-a308,14,67,Normal
2026-02-15 06:38:07.413265,Toronto-a308,-18,99,Normal
2026-02-15 06:38:08.413265,Toronto-a308,-8,56,Normal
2026-02-15 06:38:09.413265,Toronto-a308,-20,100,Normal
2026-02-15 06:38:10.413265,Toronto-a308,18,12,Normal
2026-02-15 06:38:11.413265,Toronto-a308,45,22,Normal
2026-02-15 06:38:12.413265,Toronto-a308,-26,59,Normal
2026-02-15 06:38:13.413265,Toronto-a308,-18,66,Normal
2026-02-15 06:38:14.413265,Toronto-a308,15,8,Normal
2026-02-15 06:38:15.413265,Toronto-a308,43,62,Normal
2026-02-15 06:38:16.413265,Toronto-a308,33,73,Normal
2026-02-15 06:38:17.413265,Toronto-a308,27,63,Normal
2026-02-15 06:38:18.413265,Toronto-a308,32,83,Normal
2026-02-15 06:38:19.413265,Toronto-a308,-13,12,Normal
2026-02-15 06:38:20.413265,Toronto-a308,39,93,Normal
2026-02-15 06:38:21.413265,Toronto-a308,-25,88,Normal
2026-02-15 06:38:22.413265,Toronto-a308,-8,42,Normal
2026-02-15 06:38:23.413265,Toronto-a308,-18,37,Normal
2026-02-15 06:38:24.413265,Toronto-a308,30,31,Normal
2026-02-15 06:38:25.413265,Toronto-a308,-14,95,Normal
