timestamp,station_id,temp,humid,condition
2026-02-14 19:49:46.313915,Toronto-bbb6,30,55,Normal
2026-02-14 19:49:47.313915,Toronto-bbb6,-29,91,Normal
2026-02-14 19:49:48.313915,Toronto-bbb6,36,67,Normal
2026-02-14 19:49:49.313915,Toronto-bbb6,19,81,Normal
2026-02-14 19:49:50.313915,Toronto-bbb6,-11,33,Normal
2026-02-14 19:49:51.313915,Toronto-bbb6,49,100,Normal
2026-02-14 19:49:52.313915,Toronto-bbb6,50,49,Normal
2026-02-14 19:49:53.313915,Toronto-bbb6,17,50,Normal
2026-02-14 19:49:54.313915,Toronto-bbb6,12,3,Normal
2026-02-14 19:49:55.313915,Toronto-bbb6,28,17,Normal
2026-02-14 19:49:56.313915,Toronto-bbb6,11,59,Normal
2026-02-14 19:49:57.313915,Toronto-bbb6,19,76,Normal
2026-02-14 19:49:58.313915,Toronto-bbb6,45,66,Normal
2026-02-14 19:49:59.313915,Toronto-bbb6,28,22,Normal
2026-02-14 19:50:00.313915,Toronto-bbb6,49,5,Normal
2026-02-14 19:50:01.313915,Toronto-bbb6,-28,78,Normal
2026-02-14 19:50:02.313915,Toronto-bbb6,-13,12,Normal
2026-02-14 19:50:03.313915,Toronto-bbb6,14,5,Normal
2026-02-14 19:50:04.313915,Toronto-bbb6,20,5,Normal
2026-02-14 19:50:05.313915,Toronto-bbb6,37,70,Normal
2026-02-14 19:50:06.313915,Toronto-bbb6,-4,57,Normal
2026-02-14 19:50:07.313915,Toronto-bbb6,46,52,Normal
2026-02-14 19:50:08.313915,Toronto-bbb6,-10,54,Normal
2026-02-14 19:50:09.313915,Toronto-bbb6,6,39,Normal
2026-02-14 19:50:10.313915,Toronto-bbb6,-11,20,Normal
2026-02-14 19:50:11.313915,Toronto-bbb6,9,72,Normal
2026-02-14 19:50:12.313915,Toronto-bbb6,39,83,Normal
2026-02-14 19:50:13.313915,Toronto-bbb6,-11,80,Normal
2026-02-14 19:50:14.313915,Toronto-bbb6,49,60,Normal
2026-02-14 19:50:15.313915,Toronto-bbb6,-30,63,Normal
2026-02-14 19:50:16.313915,Toronto-bbb6,-1,14,Normal
2026-02-14 19:50:17.313915,Toronto-bbb6,-9,25,Normal
2026-02-14 19:50:18.313915,Toronto-bbb6,43,79,Normal
