timestamp,station_id,temp,humid,condition
2026-02-09 22:09:37.770993,Toronto-f10b,-21,22,Normal
2026-02-09 22:09:38.770993,Toronto-f10b,32,58,Normal
2026-02-09 22:09:39.770993,Toronto-f10b,17,27,Normal
2026-02-09 22:09:40.770993,Toronto-f10b,-28,59,Normal
2026-02-09 22:09:41.770993,Toronto-f10b,35,97,Normal
2026-02-09 22:09:42.770993,Toronto-f10b,46,94,Normal
2026-02-09 22:09:43.770993,Toronto-f10b,21,22,Normal
2026-02-09 22:09:44.770993,Toronto-f10b,-25,23,Normal
2026-02-09 22:09:45.770993,Toronto-f10b,28,81,Normal
2026-02-09 22:09:46.770993,Toronto-f10b,32,74,Normal
2026-02-09 22:09:47.770993,Toronto-f10b,49,97,Normal
2026-02-09 22:09:48.770993,Toronto-f10b,43,1,Normal
2026-02-09 22:09:49.770993,Toronto-f10b,49,10,Normal
2026-02-09 22:09:50.770993,Toronto-f10b,-3,53,Normal
2026-02-09 22:09:51.770993,Toronto-f10b,-21,8,Normal
2026-02-09 22:09:52.770993,Toronto-f10b,39,15,Normal
2026-02-09 22:09:53.770993,Toronto-f10b,12,42,Normal
2026-02-09 22:09:54.770993,Toronto-f10b,-28,5,Normal
2026-02-09 22:09:55.770993,Toronto-f10b,35,13,Normal
2026-02-09 22:09:56.770993,Toronto-f10b,35,58,Normal
2026-02-09 22:09:57.770993,Toronto-f10b,19,57,Normal
2026-02-09 22:09:58.770993,Toronto-f10b,-21,73,Normal
2026-02-09 22:09:59.770993,Toronto-f10b,28,55,Normal
2026-02-09 22:10:00.770993,Toronto-f10b,-26,39,Normal
2026-02-09 22:10:01.770993,Toronto-f10b,7,88,Normal
2026-02-09 22:10:02.770993,Toronto-f10b,14,66,Normal
2026-02-09 22:10:03.770993,Toronto-f10b,-28,49,Normal
2026-02-09 22:10:04.770993,Toronto-f10b,-29,30,Normal
2026-02-09 22:10:05.770993,Toronto-f10b,6,31,Normal
2026-02-09 22:10:06.770993,Toronto-f10b,44,59,Normal
2026-02-09 22:10:07.770993,Toronto-f10b,31,38,Normal
2026-02-09 22:10:08.770993,Toronto-f10b,-7,62,Normal
2026-02-09 22:10:09.770993,Toronto-f10b,22,50,Normal
2026-02-09 22:10:10.770993,Toronto-f10b,-26,87,Normal
2026-02-09 22:10:11.770993,Toronto-f10b,15,47,Normal
2026-02-09 22:10:12.770993,Toronto-f10b,50,11,Normal
2026-02-09 22:10:13.770993,Toronto-f10b,32,56,Normal
2026-02-09 22:10:14.770993,Toronto-f10b,29,91,Normal
2026-02-09 22:10:15.770993,Toronto-f10b,30,10,Normal
2026-02-09 22:10:16.770993,Toronto-f10b,0,8,Normal
2026-02-09 22:10:17.770993,Toronto-f10b,-28,50,Normal
2026-02-09 22:10:18.770993,Toronto-f10b,6,91,Normal
2026-02-09 22:10:19.770993,Toronto-f10b,29,9,Normal
2026-02-09 22:10:20.770993,Toronto-f10b,43,31,Normal
2026-02-09 22:10:21.770993,Toronto-f10b,-12,61,Normal
2026-02-09 22:10:22.770993,Toronto-f10b,-27,59,Normal
2026-02-09 22:10:23.770993,Toronto-f10b,22,19,Normal
2026-02-09 22:10:24.770993,Toronto-f10b,14,82,Normal
2026-02-09 22:10:25.770993,Toronto-f10b,16,88,Normal
2026-02-09 22:10:26.770993,Toronto-f10b,-12,78,Normal
2026-02-09 22:10:27.770993,Toronto-f10b,21,67,Normal
2026-02-09 22:10:28.770993,Toronto-f10b,-4,23,Normal
2026-02-09 22:10:29.770993,Toronto-f10b,31,40,Normal
2026-02-09 22:10:30.770993,Toronto-f10b,11,30,Normal
2026-02-09 22:10:31.770993,Toronto-f10b,9,26,Normal
2026-02-09 22:10:32.770993,Toronto-f10b,33,99,Normal
2026-02-09 22:10:33.770993,Toronto-f10b,44,13,Normal
2026-02-09 22:10:34.770993,Toronto-f10b,-27,44,Normal
2026-02-09 22:10:35.770993,Toronto-f10b,11,9,Normal
2026-02-09 22:10:36.770993,Toronto-f10b,41,3,Normal
2026-02-09 22:10:37.770993,Toronto-f10b,35,8,Normal
2026-02-09 22:10:38.770993,Toronto-f10b,9,94,Normal
2026-02-09 22:10:39.770993,Toronto-f10b,8,30,Normal
2026-02-09 22:10:40.770993,Toronto-f10b,-1,73,Normal
2026-02-09 22:10:41.770993,Toronto-f10b,24,56,Normal
2026-02-09 22:10:42.770993,Toronto-f10b,25,99,Normal
2026-02-09 22:10:43.770993,Toronto-f10b,12,46,Normal
2026-02-09 22:10:44.770993,Toronto-f10b,19,54,Normal
2026-02-09 22:10:45.770993,Toronto-f10b,-15,11,Normal
2026-02-09 22:10:46.770993,Toronto-f10b,43,78,Normal
2026-02-09 22:10:47.770993,Toronto-f10b,-25,77,Normal
2026-02-09 22:10:48.770993,Toronto-f10b,43,52,Normal
2026-02-09 22:10:49.770993,Toronto-f10b,-30,87,Normal
2026-02-09 22:10:50.770993,Toronto-f10b,-5,8,Normal
2026-02-09 22:10:51.770993,Toronto-f10b,11,1,Normal
2026-02-09 22:10:52.770993,Toronto-f10b,-27,78,Normal
2026-02-09 22:10:53.770993,Toronto-f10b,-25,72,Normal
2026-02-09 22:10:54.770993,Toronto-f10b,-20,86,Normal
2026-02-09 22:10:55.770993,Toronto-f10b,21,35,Normal
2026-02-09 22:10:56.770993,Toronto-f10b,38,19,Normal
2026-02-09 22:10:57.770993,Toronto-f10b,27,66,Normal
2026-02-09 22:10:58.770993,Toronto-f10b,-28,80,Normal
2026-02-09 22:10:59.770993,Toronto-f10b,47,57,Normal
2026-02-09 22:11:00.770993,Toronto-f10b,-13,55,Normal
2026-02-09 22:11:01.770993,Toronto-f10b,7,99,Normal
2026-02-09 22:11:02.770993,Toronto-f10b,41,88,Normal
2026-02-09 22:11:03.770993,Toronto-f10b,5,71,Normal
2026-02-09 22:11:04.770993,Toronto-f10b,37,39,Normal
2026-02-09 22:11:05.770993,Toronto-f10b,36,59,Normal
2026-02-09 22:11:06.770993,Toronto-f10b,15,89,Normal
2026-02-09 22:11:07.770993,Toronto-f10b,-9,27,Normal
2026-02-09 22:11:08.770993,Toronto-f10b,27,88,Normal
2026-02-09 22:11:09.770993,Toronto-f10b,-27,30,Normal
2026-02-09 22:11:10.770993,Toronto-f10b,10,99,Normal
2026-02-09 22:11:11.770993,Toronto-f10b,-18,95,Normal
2026-02-09 22:11:12.770993,Toronto-f10b,44,28,Normal
2026-02-09 22:11:13.770993,Toronto-f10b,12,98,Normal
2026-02-09 22:11:14.770993,Toronto-f10b,-1,67,Normal
2026-02-09 22:11:15.770993,Toronto-f10b,-2,42,Normal
2026-02-09 22:11:16.770993,Toronto-f10b,15,89,Normal
2026-02-09 22:11:17.770993,Toronto-f10b,44,60,Normal
2026-02-09 22:11:18.770993,Toronto-f10b,21,96,Normal
2026-02-09 22:11:19.770993,Toronto-f10b,-23,0,Normal
2026-02-09 22:11:20.770993,Toronto-f10b,43,35,Normal
2026-02-09 22:11:21.770993,Toronto-f10b,26,22,Normal
2026-02-09 22:11:22.770993,Toronto-f10b,-6,10,Normal
2026-02-09 22:11:23.770993,Toronto-f10b,-30,20,Normal
2026-02-09 22:11:24.770993,Toronto-f10b,47,95,Normal
2026-02-09 22:11:25.770993,Toronto-f10b,41,46,Normal
2026-02-09 22:11:26.770993,Toronto-f10b,34,56,Normal
2026-02-09 22:11:27.770993,Toronto-f10b,28,76,Normal
2026-02-09 22:11:28.770993,Toronto-f10b,-23,71,Normal
2026-02-09 22:11:29.770993,Toronto-f10b,43,64,Normal
2026-02-09 22:11:30.770993,Toronto-f10b,47,41,Normal
2026-02-09 22:11:31.770993,Toronto-f10b,1,33,Normal
2026-02-09 22:11:32.770993,Toronto-f10b,-25,95,Normal
2026-02-09 22:11:33.770993,Toronto-f10b,41,67,Normal
2026-02-09 22:11:34.770993,Toronto-f10b,9,67,Normal
2026-02-09 22:11:35.770993,Toronto-f10b,-20,62,Normal
2026-02-09 22:11:36.770993,Toronto-f10b,44,80,Normal
2026-02-09 22:11:37.770993,Toronto-f10b,46,4,Normal
2026-02-09 22:11:38.770993,Toronto-f10b,3,83,Normal
2026-02-09 22:11:39.770993,Toronto-f10b,30,87,Normal
2026-02-09 22:11:40.770993,Toronto-f10b,-1,100,Normal
2026-02-09 22:11:41.770993,Toronto-f10b,40,69,Normal
2026-02-09 22:11:42.770993,Toronto-f10b,46,59,Normal
2026-02-09 22:11:43.770993,Toronto-f10b,15,96,Normal
2026-02-09 22:11:44.770993,Toronto-f10b,37,39,Normal
2026-02-09 22:11:45.770993,Toronto-f10b,49,52,Normal
2026-02-09 22:11:46.770993,Toronto-f10b,6,97,Normal
2026-02-09 22:11:47.770993,Toronto-f10b,-19,33,Normal
2026-02-09 22:11:48.770993,Toronto-f10b,42,15,Normal
2026-02-09 22:11:49.770993,Toronto-f10b,18,72,Normal
2026-02-09 22:11:50.770993,Toronto-f10b,-14,30,Normal
2026-02-09 22:11:51.770993,Toronto-f10b,21,72,Normal
2026-02-09 22:11:52.770993,Toronto-f10b,1,26,Normal
2026-02-09 22:11:53.770993,Toronto-f10b,23,49,Normal
2026-02-09 22:11:54.770993,Toronto-f10b,-7,88,Normal
2026-02-09 22:11:55.770993,Toronto-f10b,-6,82,Normal
